Gene,TotalEvidenceCounts,EvidenceHit:Kansl1l,EvidenceGO:Kansl1l,EvidencePPI:Kansl1l
226,3.0,1,1,1
808,3.0,1,1,1
400916,3.0,1,1,1
805,3.0,1,1,1
3358,3.0,1,1,1
801,3.0,1,1,1
3357,3.0,1,1,1
7534,3.0,1,1,1
2597,3.0,1,1,1
7529,3.0,1,1,1
7314,3.0,1,1,1
27306,3.0,1,1,1
3326,3.0,1,1,1
7167,3.0,1,1,1
6613,3.0,1,1,1
6500,3.0,1,1,1
29119,3.0,1,1,1
64805,3.0,1,1,1
3021,3.0,1,1,1
3183,3.0,1,1,1
3190,3.0,1,1,1
2045,3.0,1,1,1
1602,3.0,1,1,1
5094,3.0,1,1,1
5000,3.0,1,1,1
4900,3.0,1,1,1
1350,3.0,1,1,1
4747,3.0,1,1,1
4718,3.0,1,1,1
4697,3.0,1,1,1
4282,3.0,1,1,1
4067,3.0,1,1,1
4674,2.0,1,0,1
401494,2.0,1,0,1
6019,2.0,1,0,1
3624,2.0,1,1,0
57408,2.0,1,1,0
373509,2.0,1,0,1
55840,2.0,1,1,0
494143,2.0,1,0,1
60592,2.0,1,0,1
1006,2.0,1,0,1
9934,2.0,1,0,1
27429,2.0,1,1,0
3151,2.0,1,0,1
8633,2.0,1,1,0
10209,2.0,1,0,1
122042,2.0,1,0,1
9447,2.0,1,1,0
124512,2.0,1,0,1
9296,2.0,1,1,0
90293,2.0,1,1,0
1687,2.0,1,1,0
1794,2.0,1,0,1
169966,2.0,1,1,0
830,2.0,1,0,1
23204,2.0,1,0,1
23270,2.0,1,0,1
23710,2.0,1,0,1
23741,2.0,1,0,1
23767,2.0,1,1,0
55743,2.0,1,1,0
84707,1.0,1,0,0
59286,1.0,1,0,0
54457,1.0,1,0,0
57689,1.0,1,0,0
87769,1.0,1,0,0
9358,1.0,1,0,0
9480,1.0,1,0,0
79161,1.0,1,0,0
10026,1.0,1,0,0
52,1.0,1,0,0
257415,1.0,1,0,0
10803,1.0,1,0,0
122961,1.0,1,0,0
128344,1.0,1,0,0
143662,1.0,1,0,0
145748,1.0,1,0,0
151647,1.0,1,0,0
1833,1.0,1,0,0
1879,1.0,1,0,0
196294,1.0,1,0,0
212,1.0,1,0,0
23452,1.0,1,0,0
254827,1.0,1,0,0
25907,1.0,1,0,0
5121,1.0,1,0,0
26071,1.0,1,0,0
26539,1.0,1,0,0
284023,1.0,1,0,0
285,1.0,1,0,0
28990,1.0,1,0,0
3006,1.0,1,0,0
403314,1.0,1,0,0
408263,1.0,1,0,0
415117,1.0,1,0,0
4685,1.0,1,0,0
4826,1.0,1,0,0
493860,1.0,1,0,0
3859,1.0,1,0,0
