Gene,TotalEvidenceCounts,EvidenceHit:Npas2,EvidenceGO:Npas2,EvidencePPI:Npas2
9951,3.0,1,1,1
1301,3.0,1,1,1
6139,3.0,1,1,1
6193,3.0,1,1,1
6201,3.0,1,1,1
5621,3.0,1,1,1
4297,3.0,1,1,1
406,3.0,1,1,1
3788,3.0,1,1,1
3787,3.0,1,1,1
3745,3.0,1,1,1
3737,3.0,1,1,1
6160,3.0,1,1,1
811,3.0,1,1,1
126792,3.0,1,1,1
8851,3.0,1,1,1
9759,3.0,1,1,1
9672,3.0,1,1,1
9575,3.0,1,1,1
9196,3.0,1,1,1
6154,3.0,1,1,1
94103,2.0,1,1,0
54112,2.0,1,1,0
8482,2.0,1,1,0
9883,2.0,1,0,1
80274,2.0,1,0,1
3566,2.0,1,1,0
1203,2.0,1,0,1
134548,2.0,1,0,1
56848,2.0,1,1,0
1137,2.0,1,1,0
6324,2.0,1,1,0
6506,2.0,1,0,1
55534,2.0,1,0,1
5027,2.0,1,1,0
9679,1.0,1,0,0
85465,1.0,1,0,0
8445,1.0,1,0,0
64881,1.0,1,0,0
9592,1.0,1,0,0
84206,1.0,1,0,0
682,1.0,1,0,0
8835,1.0,1,0,0
79102,1.0,1,0,0
84919,1.0,1,0,0
80757,1.0,1,0,0
8507,1.0,1,0,0
100131755,1.0,1,0,0
57692,1.0,1,0,0
146057,1.0,1,0,0
10125,1.0,1,0,0
10140,1.0,1,0,0
10252,1.0,1,0,0
10846,1.0,1,0,0
110806277,1.0,1,0,0
11334,1.0,1,0,0
114801,1.0,1,0,0
120103,1.0,1,0,0
124222,1.0,1,0,0
130399,1.0,1,0,0
140775,1.0,1,0,0
1850,1.0,1,0,0
57468,1.0,1,0,0
23216,1.0,1,0,0
23231,1.0,1,0,0
24147,1.0,1,0,0
252995,1.0,1,0,0
2850,1.0,1,0,0
344838,1.0,1,0,0
375743,1.0,1,0,0
3800,1.0,1,0,0
3980,1.0,1,0,0
10123,1.0,1,0,0
5654,1.0,1,0,0
5097,1.0,1,0,0
