Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
Cell Type Signatures,7,M39037,FAN EMBRYONIC CTX OLIG,,-7.3,14,9.9,30286,754,23,8,35,9.9,443|4336|5010|8633|28513|51621|59338|81671,ASPA|MOBP|CLDN11|UNC5C|CDH19|KLF13|PLEKHA1|VMP1,-2.8,Plcl1
Cell Type Signatures,7,M39245,LAKE ADULT KIDNEY C26 MESANGIAL CELLS,,-5,30,11,30286,177,23,4,17,7.9,3908|7704|8476|8633,LAMA2|ZBTB16|CDC42BPA|UNC5C,-0.83,Plcl1
Cell Type Signatures,7,M39247,LAKE ADULT KIDNEY C28 INTERSTITIUM,,-4.4,46,12,30286,86,23,3,13,7,3908|7704|81671,LAMA2|ZBTB16|VMP1,-0.46,Plcl1
DisGeNET,35,C0200641,Blood basophil count (lab test),,-4.3,19,8.4,30286,272,23,4,17,7.9,7704|9844|22807|81671,ZBTB16|ELMO1|IKZF2|VMP1,-0.46,Plcl1
Cell Type Signatures,7,M39213,ZHENG CORD BLOOD C4 PUTATIVE EARLY ERYTHROID COMMITMENT,,-4.3,41,11,30286,97,23,3,13,7,7704|9844|22807,ZBTB16|ELMO1|IKZF2,-0.46,Plcl1
Cell Type Signatures,7,M39099,ZHONG PFC C4 PTGDS POS OPC,,-3.7,27,8.7,30286,147,23,3,13,7,5010|9781|59338,CLDN11|RNF144A|PLEKHA1,-0.0066,Plcl1
Cell Type Signatures,7,M39230,LAKE ADULT KIDNEY C11 THIN ASCENDING LIMB,,-3.6,23,8,30286,169,23,3,13,7,8476|59338|81671,CDC42BPA|PLEKHA1|VMP1,0,Plcl1
DisGeNET,35,C0279628,Adenocarcinoma Of Esophagus,,-3.4,11,6.2,30286,467,23,4,17,7.9,443|7182|9844|81671,ASPA|NR2C2|ELMO1|VMP1,0,Plcl1
COVID,200,COVID053,RNA_Xiong_PBMC_Down,,-3,15,6.4,30286,257,23,3,13,7,3908|22807|59338,LAMA2|IKZF2|PLEKHA1,0,Plcl1
DisGeNET,35,C0200638,Eosinophil count procedure,,-3,8.6,5.3,30286,610,23,4,17,7.9,7704|9844|22807|81671,ZBTB16|ELMO1|IKZF2|VMP1,0,Plcl1
DisGeNET,35,C0334634,"Malignant lymphoma, lymphocytic, intermediate differentiation, diffuse",,-2.8,13,5.9,30286,296,23,3,13,7,7182|8476|152137,NR2C2|CDC42BPA|CCDC50,0,Plcl1
DisGeNET,35,C0023508,White Blood Cell Count procedure,,-2.8,7.7,4.9,30286,681,23,4,17,7.9,3705|7704|22807|81671,ITPK1|ZBTB16|IKZF2|VMP1,0,Plcl1
Cell Type Signatures,7,M39229,LAKE ADULT KIDNEY C10 THIN ASCENDING LIMB,,-2.6,11,5.3,30286,353,23,3,13,7,8476|59338|81671,CDC42BPA|PLEKHA1|VMP1,0,Plcl1
Cell Type Signatures,7,M39209,HAY BONE MARROW STROMAL,,-2.6,6.9,4.5,30286,765,23,4,17,7.9,443|5010|8633|57451,ASPA|CLDN11|UNC5C|TENM2,0,Plcl1
DisGeNET,35,C0037369,Smoking,,-2.5,10,5,30286,391,23,3,13,7,3908|51621|57451,LAMA2|KLF13|TENM2,0,Plcl1
Cell Type Signatures,7,M39224,LAKE ADULT KIDNEY C5 PROXIMAL TUBULE EPITHELIAL CELLS STRESS INFLAM,,-2.4,9.5,4.8,30286,417,23,3,13,7,443|7704|57451,ASPA|ZBTB16|TENM2,0,Plcl1
DisGeNET,35,C0021053,Immune System Diseases,,-2.3,8.8,4.6,30286,451,23,3,13,7,9844|51621|59338,ELMO1|KLF13|PLEKHA1,0,Plcl1
PaGenBase,36,PGB:00065,Cell-specific: DRG,,-2.3,8.7,4.6,30286,455,23,3,13,7,443|8633|28513,ASPA|UNC5C|CDH19,0,Plcl1
DisGeNET,35,C4721414,Mantle cell lymphoma,,-2.3,8.5,4.5,30286,466,23,3,13,7,7182|8476|152137,NR2C2|CDC42BPA|CCDC50,0,Plcl1
DisGeNET,35,C0025362,Mental Retardation,,-2.2,7.8,4.3,30286,504,23,3,13,7,3556|3908|8476,IL1RAP|LAMA2|CDC42BPA,0,Plcl1
DisGeNET,35,C0234985,Mental deterioration,,-2.2,7.8,4.2,30286,508,23,3,13,7,3556|3705|8633,IL1RAP|ITPK1|UNC5C,0,Plcl1
Cell Type Signatures,7,M39068,MANNO MIDBRAIN NEUROTYPES HDA1,,-2,6.8,3.9,30286,584,23,3,13,7,9781|10231|29767,RNF144A|RCAN2|TMOD2,0,Plcl1
