_MEMBER_Plcl1,_LogP_Plcl1,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-7.3,M39037,M1,1,0,Cell Type Signatures,7,FAN EMBRYONIC CTX OLIG,,-7.3,14,9.9,30286,754,23,8,35,9.9,443|4336|5010|8633|28513|51621|59338|81671,ASPA|MOBP|CLDN11|UNC5C|CDH19|KLF13|PLEKHA1|VMP1,-2.8,0
1,-5,M39245,M1,1,0,Cell Type Signatures,7,LAKE ADULT KIDNEY C26 MESANGIAL CELLS,,-5,30,11,30286,177,23,4,17,7.9,3908|7704|8476|8633,LAMA2|ZBTB16|CDC42BPA|UNC5C,-0.83,0
1,-4.4,M39247,M1,1,0,Cell Type Signatures,7,LAKE ADULT KIDNEY C28 INTERSTITIUM,,-4.4,46,12,30286,86,23,3,13,7,3908|7704|81671,LAMA2|ZBTB16|VMP1,-0.46,0
1,-4.3,M39213,M1,1,0,Cell Type Signatures,7,ZHENG CORD BLOOD C4 PUTATIVE EARLY ERYTHROID COMMITMENT,,-4.3,41,11,30286,97,23,3,13,7,7704|9844|22807,ZBTB16|ELMO1|IKZF2,-0.46,0
1,-3.7,M39099,M1,1,0,Cell Type Signatures,7,ZHONG PFC C4 PTGDS POS OPC,,-3.7,27,8.7,30286,147,23,3,13,7,5010|9781|59338,CLDN11|RNF144A|PLEKHA1,-0.0066,0
1,-3.6,M39230,M1,1,0,Cell Type Signatures,7,LAKE ADULT KIDNEY C11 THIN ASCENDING LIMB,,-3.6,23,8,30286,169,23,3,13,7,8476|59338|81671,CDC42BPA|PLEKHA1|VMP1,0,0
1,-2.6,M39229,M1,1,0,Cell Type Signatures,7,LAKE ADULT KIDNEY C10 THIN ASCENDING LIMB,,-2.6,11,5.3,30286,353,23,3,13,7,8476|59338|81671,CDC42BPA|PLEKHA1|VMP1,0,0
1,-2.6,M39209,M1,1,0,Cell Type Signatures,7,HAY BONE MARROW STROMAL,,-2.6,6.9,4.5,30286,765,23,4,17,7.9,443|5010|8633|57451,ASPA|CLDN11|UNC5C|TENM2,0,0
1,-2.4,M39224,M1,1,0,Cell Type Signatures,7,LAKE ADULT KIDNEY C5 PROXIMAL TUBULE EPITHELIAL CELLS STRESS INFLAM,,-2.4,9.5,4.8,30286,417,23,3,13,7,443|7704|57451,ASPA|ZBTB16|TENM2,0,0
1,-2,M39068,M1,1,0,Cell Type Signatures,7,MANNO MIDBRAIN NEUROTYPES HDA1,,-2,6.8,3.9,30286,584,23,3,13,7,9781|10231|29767,RNF144A|RCAN2|TMOD2,0,0
