gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	percent_WT	percent_PS19	percent_difference
Xkr4	2.81590933296787	0.381493381298016	1.19619133137677	0.318923378970596	0.749784615470811	0.999230260972938	0.5	0.833333333333333	0.333333333333333
Gm1992	0.0509789342749624	-0.77369349576825	3.21463390578875	-0.240678571321924	0.809804248440177	NA	0.25	0	0.25
Gm19938	0.0509789342749624	-0.77369349576825	3.21463390578875	-0.240678571321924	0.809804248440177	NA	0.25	0	0.25
Gm37381	0.994586788406072	-1.44146939417919	2.64321306497131	-0.545347408153357	0.5855146040587	NA	0.25	0.166666666666667	0.0833333333333333
Rp1	6.49511242162488	0.956141460447009	1.09070774293205	0.876624803154602	0.380690462600245	0.999230260972938	0.5	1	0.5
Sox17	0.2190000723977	1.00661801216651	3.21052854061994	0.313536540613384	0.753873063743388	NA	0	0.166666666666667	0.166666666666667
Gm37587	0	NA	NA	NA	NA	NA	0	0	0
Gm37323	0.370251778749559	0.547632493863356	2.99774912459991	0.182681228849144	0.855048145106908	NA	0.25	0.333333333333333	0.0833333333333333
Mrpl15	24.6926720862157	0.176767134099682	0.319593794309024	0.553099394441811	0.580195351312206	0.999230260972938	1	1	0
A930006A01Rik	3.23168246734464	-1.24042148347647	1.03415226355395	-1.19945730159083	0.230350178004587	0.999230260972938	0.75	0.666666666666667	0.0833333333333334
Lypla1	99.2143946507896	0.136738807893464	0.17772854539294	0.769368857383871	0.441674370826673	0.999230260972938	1	1	0
Tcea1	134.44244904329	-0.112746114724558	0.170130116903607	-0.662705209263085	0.507519372833955	0.999230260972938	1	1	0
Rgs20	2420.47970720988	0.00239914431200364	0.0660419949597607	0.036327556632192	0.971021177421975	0.999230260972938	1	1	0
Gm16041	8.21411769589998	-0.0263288189433763	0.551365078432579	-0.0477520611537892	0.961913842594691	0.999230260972938	1	1	0
Atp6v1h	134.823954757967	-0.0414150728676609	0.306597140973993	-0.135079775160636	0.892548800690316	0.999230260972938	1	1	0
Oprk1	0	NA	NA	NA	NA	NA	0	0	0
Npbwr1	0	NA	NA	NA	NA	NA	0	0	0
4732440D04Rik	88.5988558655339	-0.149034485096487	0.219108625080058	-0.680185387690845	0.496387083450286	0.999230260972938	1	1	0
Rb1cc1	264.709669623085	0.0742152367249049	0.10398610201995	0.713703420777002	0.475410590702911	0.999230260972938	1	1	0
Alkal1	0	NA	NA	NA	NA	NA	0	0	0
St18	3.3132092428845	2.77804525311947	1.63234616939794	1.7018726206489	0.0887792493038957	0.999230260972938	0.5	0.5	0
Gm57122	1.68647849254087	-0.441117695615471	1.15945730004084	-0.380451867955751	0.70361001886986	NA	1	0.833333333333333	0.166666666666667
Pcmtd1	436.756477348028	-0.12460227618562	0.121965391688283	-1.02161994038502	0.30696081620927	0.999230260972938	1	1	0
Gm26901	1.03655848794219	1.20271757455712	1.63339512179138	0.736329843594781	0.461529988440044	NA	0.25	0.833333333333333	0.583333333333333
Gm30414	0	NA	NA	NA	NA	NA	0	0	0
Sntg1	45.7285644498229	0.494645658847117	0.353895088652885	1.39771834848006	0.162197662095005	0.999230260972938	1	1	0
Rrs1	27.8668057562618	-0.102875482738066	0.300775232793315	-0.342034421460356	0.732324988165906	0.999230260972938	1	1	0
Adhfe1	224.182821941724	0.00979455734618156	0.144790899650352	0.0676462220335251	0.946067259781396	0.999230260972938	1	1	0
2610203C22Rik	23.7934043732848	-0.460221753263759	0.330556372231987	-1.39226404911284	0.163842453827821	0.999230260972938	1	1	0
Vxn	0.53999450875035	-0.494247818145521	3.12985127642295	-0.157914154537844	0.874524444304944	NA	0.25	0.166666666666667	0.0833333333333333
