gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	percent_WT	percent_PS19	percent_difference
Xkr4	3.49468920383141	0.0266995380413764	1.42560803693089	0.0187285266003804	0.985057671306906	0.999768810320583	0.6	0.666666666666667	0.0666666666666667
Gm1992	0	NA	NA	NA	NA	NA	0	0	0
Gm19938	0	NA	NA	NA	NA	NA	0	0	0
Gm37381	0.340725426083946	0.517729370408851	3.61630715744904	0.143165209111844	0.886159705839596	0.999768810320583	0.2	0.333333333333333	0.133333333333333
Rp1	4.19948479520052	-0.668220687497119	0.972795227956696	-0.686907859222008	0.492140794024732	0.999768810320583	1	1	0
Sox17	0.312265036995929	0.0688689977517233	3.59310749005951	0.0191669739751044	0.984707903710624	0.999768810320583	0.2	0.333333333333333	0.133333333333333
Gm37587	0.124250577811408	1.0457941897599	3.62256145688856	0.288689150537734	0.772819265990251	0.999768810320583	0	0.333333333333333	0.333333333333333
Gm37323	0.216474848272538	-0.836045762865577	3.65784495787755	-0.228562383724074	0.81920906407447	0.999768810320583	0.2	0	0.2
Mrpl15	6.19959058095356	0.509587588469558	0.803114529249535	0.634514219218195	0.52574529013412	0.999768810320583	1	1	0
A930006A01Rik	0.695155496567452	-0.422655386783285	2.3702975615311	-0.178313218408861	0.858476998381561	0.999768810320583	0.4	0.666666666666667	0.266666666666667
Lypla1	19.3422977964502	0.176962895487843	0.432713612151221	0.408960778026089	0.682568444965177	0.999768810320583	1	1	0
Tcea1	25.0834193266653	0.0381935028120055	0.40005209648396	0.0954713227294306	0.923940467340516	0.999768810320583	1	1	0
Rgs20	0.57271249950453	-2.17645202073347	3.06097204819475	-0.711032961577375	0.477063810409093	0.999768810320583	0.4	0	0.4
Gm16041	0	NA	NA	NA	NA	NA	0	0	0
Atp6v1h	17.4069265087787	0.29019834308467	0.566474138141461	0.512288776389297	0.608448919119172	0.999768810320583	1	1	0
Oprk1	0	NA	NA	NA	NA	NA	0	0	0
Npbwr1	0	NA	NA	NA	NA	NA	0	0	0
4732440D04Rik	30.9159506562137	0.197255876684335	0.360424512364357	0.547287628664188	0.584181141810604	0.999768810320583	1	1	0
Rb1cc1	59.1293525734124	-0.0408057875598863	0.276417834314382	-0.147623570169051	0.882639852601845	0.999768810320583	1	1	0
Alkal1	0.551487723268317	1.03488522020561	2.58069563655007	0.401010179406148	0.688412629384682	0.999768810320583	0.4	0.666666666666667	0.266666666666667
St18	1.90174882355943	-1.16069205474603	1.75326374622738	-0.662017940679813	0.50795972393914	0.999768810320583	0.6	0.666666666666667	0.0666666666666667
Gm57122	0.216474848272538	-0.836045762865577	3.65784495787755	-0.228562383724074	0.81920906407447	0.999768810320583	0.2	0	0.2
Pcmtd1	60.4945203077412	-0.115156640905089	0.293055522499043	-0.392951615185701	0.694355218139546	0.999768810320583	1	1	0
Gm26901	0	NA	NA	NA	NA	NA	0	0	0
Gm30414	0	NA	NA	NA	NA	NA	0	0	0
Sntg1	2.1074597906515	-4.07063582035363	1.97589762028183	-2.06014511003511	0.0393846704960317	0.999768810320583	0.6	0	0.6
Rrs1	0.412456779151096	1.42513837436799	3.07218790256374	0.463883857227193	0.642730958984133	0.999768810320583	0.2	0.666666666666667	0.466666666666667
Adhfe1	14.9374071095971	-0.35814019720972	0.505946640109092	-0.707861598077809	0.479031209356822	0.999768810320583	1	1	0
2610203C22Rik	1.95832012099005	-0.082636694056559	1.36689455244527	-0.0604557929569095	0.951792623522377	0.999768810320583	1	0.666666666666667	0.333333333333333
Vxn	0	NA	NA	NA	NA	NA	0	0	0
Mybl1	0.685515507071236	0.27073736976516	2.55668028459034	0.105894104709514	0.915666371529532	0.999768810320583	0.4	0.333333333333333	0.0666666666666667
Vcpip1	8.8158400284583	-0.354077448518488	0.776075983904584	-0.456240697897979	0.64821690263663	0.999768810320583	0.8	0.666666666666667	0.133333333333333
1700034P13Rik	1.39849670457098	-1.86983630379033	1.73953707529683	-1.07490454233134	0.282417468120578	0.999768810320583	0.8	0.666666666666667	0.133333333333333
Sgk3	31.3457646643788	0.148047551982712	0.358209964873841	0.413298251026749	0.679388111108308	0.999768810320583	1	1	0
Snhg6	3.32490286319138	0.703945940854964	1.22996596044721	0.572329611950411	0.567098692012303	0.999768810320583	0.6	1	0.4
Mcmdc2	0	NA	NA	NA	NA	NA	0	0	0
Tcf24	0.267954584824369	-1.47900388620307	3.64747583903869	-0.405486959056286	0.685119602381167	0.999768810320583	0.4	0	0.4
