_MEMBER_Lrp1b,_LogP_Lrp1b,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff,GROUP_ID,FirstInGroupByEnrichment,FirstInGroupByLogP,BestLogPInGroup,BestEnrichmentInGroup,URL
1,-7.863838721361779,GO:0098609,M1,1,0,GO Biological Processes,19,cell-cell adhesion,19_GO:0009987 cellular process,-7.863838721361779,30.479033881247904,13.200222723110286,30286,542,11,6,54.54545454545455,15.0131422517231,1496|1740|2895|6091|22871|23245,CTNNA2|DLG2|GRID2|ROBO1|NLGN1|ASTN2,-3.536459350068929,0,1,1,1,-7.863838721361779,33.991021324354655,
1,-4.797807059245856,GO:0010975,M1,1,0,GO Biological Processes,19,regulation of neuron projection development,19_GO:0032502 developmental process,-4.797807059245856,23.941501976284588,9.450859621937264,30286,460,11,4,36.36363636363637,14.504073367590284,1496|2895|6091|22871,CTNNA2|GRID2|ROBO1|NLGN1,-1.6465189470086876,0,1,0,0,-7.863838721361779,33.991021324354655,
1,-4.187738692927334,GO:0120035,M1,1,0,GO Biological Processes,19,regulation of plasma membrane bounded cell projection organization,19_GO:0050789 regulation of biological process,-4.187738692927334,16.711822320320046,7.773086191856221,30286,659,11,4,36.36363636363637,14.504073367590284,1496|2895|6091|22871,CTNNA2|GRID2|ROBO1|NLGN1,-1.0908082430127581,0,1,0,0,-7.863838721361779,33.991021324354655,
1,-4.144777212433244,GO:0031344,M1,1,0,GO Biological Processes,19,regulation of cell projection organization,19_GO:0050789 regulation of biological process,-4.144777212433244,16.291554599246908,7.664323716732783,30286,676,11,4,36.36363636363637,14.504073367590284,1496|2895|6091|22871,CTNNA2|GRID2|ROBO1|NLGN1,-1.0726703462437004,0,1,0,0,-7.863838721361779,33.991021324354655,
1,-4.09544589851813,GO:0050807,M1,1,0,GO Biological Processes,19,regulation of synapse organization,19_GO:0050789 regulation of biological process,-4.09544589851813,33.991021324354655,9.8422706648251,30286,243,11,3,27.272727272727273,13.428162652290842,1496|2895|22871,CTNNA2|GRID2|NLGN1,-1.0468201281781095,0,1,0,0,-7.863838721361779,33.991021324354655,
1,-4.064054573878424,GO:0050803,M1,1,0,GO Biological Processes,19,regulation of synapse structure or activity,19_GO:0065007 biological regulation,-4.064054573878424,33.17196056955093,9.716659402526483,30286,249,11,3,27.272727272727273,13.428162652290842,1496|2895|22871,CTNNA2|GRID2|NLGN1,-1.0377051982495562,0,1,0,0,-7.863838721361779,33.991021324354655,
1,-4.003525005061659,GO:0098742,M1,1,0,GO Biological Processes,19,cell-cell adhesion via plasma-membrane adhesion molecules,19_GO:0009987 cellular process,-4.003525005061659,31.646812957157785,9.478336415180438,30286,261,11,3,27.272727272727273,13.428162652290842,2895|6091|22871,GRID2|ROBO1|NLGN1,-0.9983649285027292,0,1,0,0,-7.863838721361779,33.991021324354655,
1,-3.850690841660491,GO:0051962,M1,1,0,GO Biological Processes,19,positive regulation of nervous system development,19_GO:0032502 developmental process,-3.850690841660491,28.09461966604824,8.898607806124303,30286,294,11,3,27.272727272727273,13.428162652290842,2895|6091|22871,GRID2|ROBO1|NLGN1,-0.9035227120792474,0,1,0,0,-7.863838721361779,33.991021324354655,
1,-3.2996243255912123,GO:0032102,M1,1,0,GO Biological Processes,19,negative regulation of response to external stimulus,19_GO:0048519 negative regulation of biological process,-3.2996243255912123,18.233594220349186,7.044408874315309,30286,453,11,3,27.272727272727273,13.428162652290842,1496|2895|6091,CTNNA2|GRID2|ROBO1,-0.43464295219731897,0,1,0,0,-7.863838721361779,33.991021324354655,
1,-3.2583873577975604,GO:0051960,M1,1,0,GO Biological Processes,19,regulation of nervous system development,19_GO:0032502 developmental process,-3.2583873577975604,17.64918414918415,6.91902155978255,30286,468,11,3,27.272727272727273,13.428162652290842,2895|6091|22871,GRID2|ROBO1|NLGN1,-0.40812924122437344,0,1,0,0,-7.863838721361779,33.991021324354655,
1,-3.215881820908802,GO:0048812,M1,1,0,GO Biological Processes,19,neuron projection morphogenesis,19_GO:0032502 developmental process,-3.215881820908802,17.06574004507889,6.791547880167181,30286,484,11,3,27.272727272727273,13.428162652290842,1496|6091|22871,CTNNA2|ROBO1|NLGN1,-0.3811829315258332,0,1,0,0,-7.863838721361779,33.991021324354655,
1,-3.202896686676784,GO:0120039,M1,1,0,GO Biological Processes,19,plasma membrane bounded cell projection morphogenesis,19_GO:0032502 developmental process,-3.202896686676784,16.891243725599555,6.752958849685383,30286,489,11,3,27.272727272727273,13.428162652290842,1496|6091|22871,CTNNA2|ROBO1|NLGN1,-0.3811829315258332,0,1,0,0,-7.863838721361779,33.991021324354655,
1,-3.190048362940795,GO:0048858,M1,1,0,GO Biological Processes,19,cell projection morphogenesis,19_GO:0032502 developmental process,-3.190048362940795,16.72027972027972,6.714937424751688,30286,494,11,3,27.272727272727273,13.428162652290842,1496|6091|22871,CTNNA2|ROBO1|NLGN1,-0.3811829315258332,0,1,0,0,-7.863838721361779,33.991021324354655,
1,-2.9350974611717136,GO:0032989,M1,1,0,GO Biological Processes,19,cellular anatomical entity morphogenesis,19_GO:0032502 developmental process,-2.9350974611717136,13.65259203606311,5.9921956312000235,30286,605,11,3,27.272727272727273,13.428162652290842,1496|6091|22871,CTNNA2|ROBO1|NLGN1,-0.15178613422913972,0,1,0,0,-7.863838721361779,33.991021324354655,
1,-2.787275519676321,GO:0000902,M1,1,0,GO Biological Processes,19,cell morphogenesis,19_GO:0032502 developmental process,-2.787275519676321,12.128954745694834,5.599038519928275,30286,681,11,3,27.272727272727273,13.428162652290842,1496|6091|22871,CTNNA2|ROBO1|NLGN1,-0.01619864915075864,0,1,0,0,-7.863838721361779,33.991021324354655,
1,-2.7691230862151874,GO:0031175,M1,1,0,GO Biological Processes,19,neuron projection development,19_GO:0032502 developmental process,-2.7691230862151874,11.953427180634128,5.551980506067501,30286,691,11,3,27.272727272727273,13.428162652290842,1496|6091|22871,CTNNA2|ROBO1|NLGN1,-0.009945438989332978,0,1,0,0,-7.863838721361779,33.991021324354655,
1,-6.4652502596272345,GO:0099536,M1,1,0,GO Biological Processes,19,synaptic signaling,19_GO:0050789 regulation of biological process,-6.4652502596272345,29.8619601656478,11.90293645686685,30286,461,11,5,45.45454545454545,15.0131422517231,1740|2895|22871|23236|440279,DLG2|GRID2|NLGN1|PLCB1|UNC13C,-2.5915606622355885,0,2,1,1,-6.4652502596272345,70.5967365967366,
1,-6.321225583173788,GO:0050804,M1,1,0,GO Biological Processes,19,modulation of chemical synaptic transmission,19_GO:0050789 regulation of biological process,-6.321225583173788,27.92365849160981,11.488636013175128,30286,493,11,5,45.45454545454545,15.0131422517231,2895|10718|22871|23236|440279,GRID2|NRG3|NLGN1|PLCB1|UNC13C,-2.5915606622355885,0,2,0,0,-6.4652502596272345,70.5967365967366,
