Gene,_SCORE_GRP2_,_SCORE_GRP1_,_SCORE_GRP3_,_SCORE_GRP4_,GRP1|19_GO:0098609|-7.864|cell-cell adhesion,GRP1|19_GO:0120035|-4.188|regulation of plasma membrane bounded cell projection organization,GRP1|19_GO:0010975|-4.798|regulation of neuron projection development,GRP1|19_GO:0031344|-4.145|regulation of cell projection organization,GRP1|19_GO:0050803|-4.064|regulation of synapse structure or activity,GRP1|19_GO:0050807|-4.095|regulation of synapse organization,GRP1|19_GO:0032102|-3.300|negative regulation of response to external stimulus,GRP1|19_GO:0051962|-3.851|positive regulation of nervous system development,GRP1|19_GO:0098742|-4.004|cell-cell adhesion via plasma-membrane adhesion molecules,GRP1|19_GO:0051960|-3.258|regulation of nervous system development,GRP1|19_GO:0120039|-3.203|plasma membrane bounded cell projection morphogenesis,GRP1|19_GO:0048812|-3.216|neuron projection morphogenesis,GRP1|19_GO:0048858|-3.190|cell projection morphogenesis,GRP1|19_GO:0032989|-2.935|cellular anatomical entity morphogenesis,GRP1|19_GO:0000902|-2.787|cell morphogenesis,GRP1|19_GO:0031175|-2.769|neuron projection development,GRP2|19_GO:0099536|-6.465|synaptic signaling,GRP2|19_GO:0098916|-4.974|anterograde trans-synaptic signaling,GRP2|19_GO:0007268|-4.974|chemical synaptic transmission,GRP2|19_GO:0099537|-4.905|trans-synaptic signaling,GRP2|19_GO:0099177|-6.317|regulation of trans-synaptic signaling,GRP2|19_GO:0050804|-6.321|modulation of chemical synaptic transmission,GRP2|19_GO:0034330|-4.547|cell junction organization,GRP2|19_GO:0050808|-5.330|synapse organization,GRP2|19_GO:0034329|-3.900|cell junction assembly,GRP2|19_GO:0007416|-5.043|synapse assembly,GRP3|6_R-HSA-112316|-4.994|Neuronal System,GRP3|6_R-HSA-6794362|-5.445|Protein-protein interactions at synapses,GRP3|6_R-HSA-6794361|-6.034|Neurexins and neuroligins,GRP3|19_GO:0010035|-3.108|response to inorganic substance,GRP4|19_GO:0060322|-5.348|head development,GRP4|19_GO:0007420|-5.486|brain development,GRP4|19_GO:0030336|-3.519|negative regulation of cell migration,GRP4|19_GO:0021537|-3.936|telencephalon development,GRP4|19_GO:2000146|-3.470|negative regulation of cell motility,GRP4|19_GO:0030900|-3.435|forebrain development,GRP4|19_GO:0040013|-3.363|negative regulation of locomotion,_SORT_,_SORT_GRP1_,_SORT_GRP2_,_SORT_GRP3_,_SORT_GRP4_
1496,0.0,0.8125,0.0,0.2857142857142857,0.4,0.3,0.3,0.3,0.3,0.3,0.2,0.0,0.0,0.0,0.2,0.2,0.2,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,3,3,0,0,5
80059,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0,0,3,0
23245,0.0,0.0625,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,6,0,0,0
22871,1.0,0.9375,1.0,0.0,0.4,0.3,0.3,0.3,0.3,0.3,0.0,0.2,0.3,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.4,0.3,0.3,0.3,0.4,0.4,0.3,0.3,0.2,0.3,0.3,0.3,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,2,2,0
2895,1.0,0.625,0.0,0.2857142857142857,0.4,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.3,0.3,0.3,0.4,0.4,0.3,0.3,0.2,0.3,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,6,4,1,0,4
1740,0.4,0.0625,1.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.3,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,5,5,1,0
6091,0.0,0.875,0.0,1.0,0.4,0.3,0.3,0.3,0.0,0.0,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.2,0.2,0.2,0.2,0.2,2,2,0,0,2
23236,0.3,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.2,0.3,0.3,0.2,0.2,0.2,0.2,0.2,4,0,6,4,1
10718,0.6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.3,0.3,0.2,0.3,0.0,0.0,0.0,0.0,0.3,0.3,0.2,0.2,0.2,0.2,0.2,5,0,4,0,3
440279,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.3,0.3,0.3,0.4,0.4,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0,3,0,0
