Gene,_SCORE_GRP2_,_SCORE_GRP1_,_SCORE_GRP3_,_SCORE_GRP6_,_SCORE_GRP4_,_SCORE_GRP5_,GRP1|19_GO:0050803|-6.548|regulation of synapse structure or activity,GRP1|19_GO:0050807|-6.600|regulation of synapse organization,GRP1|19_GO:1902532|-2.314|negative regulation of intracellular signal transduction,GRP1|19_GO:0099177|-3.748|regulation of trans-synaptic signaling,GRP1|19_GO:0050804|-3.752|modulation of chemical synaptic transmission,GRP1|19_GO:0051668|-2.382|localization within membrane,GRP1|19_GO:0072657|-2.581|protein localization to membrane,GRP1|19_GO:0031344|-3.232|regulation of cell projection organization,GRP1|19_GO:0120035|-3.273|regulation of plasma membrane bounded cell projection organization,GRP1|19_GO:1900271|-5.551|regulation of long-term synaptic potentiation,GRP1|19_GO:1900272|-7.195|negative regulation of long-term synaptic potentiation,GRP1|19_GO:0007613|-4.261|memory,GRP1|19_GO:0048167|-3.569|regulation of synaptic plasticity,GRP1|19_GO:0007611|-3.249|learning or memory,GRP1|19_GO:0050890|-3.064|cognition,GRP1|19_GO:0007610|-2.258|behavior,GRP1|19_GO:0031175|-2.126|neuron projection development,GRP1|19_GO:0031346|-2.924|positive regulation of cell projection organization,GRP1|19_GO:0008285|-2.977|negative regulation of cell population proliferation,GRP1|19_GO:0098771|-2.704|inorganic ion homeostasis,GRP1|19_GO:0030003|-2.724|intracellular monoatomic cation homeostasis,GRP1|19_GO:0006873|-2.698|intracellular monoatomic ion homeostasis,GRP1|19_GO:0055080|-2.525|monoatomic cation homeostasis,GRP1|19_GO:0050801|-2.501|monoatomic ion homeostasis,GRP1|19_GO:0055082|-2.348|intracellular chemical homeostasis,GRP1|19_GO:0019725|-2.140|cellular homeostasis,GRP1|6_R-HSA-5653656|-2.158|Vesicle-mediated transport,GRP1|19_GO:0051129|-2.056|negative regulation of cellular component organization,GRP1|19_GO:0030162|-2.296|regulation of proteolysis,GRP1|19_GO:0044092|-2.028|negative regulation of molecular function,GRP2|19_GO:0034330|-6.349|cell junction organization,GRP2|19_GO:0050808|-5.900|synapse organization,GRP2|19_GO:0034329|-4.686|cell junction assembly,GRP2|19_GO:0007416|-4.357|synapse assembly,GRP2|19_GO:0098916|-2.747|anterograde trans-synaptic signaling,GRP2|19_GO:0007268|-2.747|chemical synaptic transmission,GRP2|19_GO:0099537|-2.698|trans-synaptic signaling,GRP2|19_GO:0099536|-2.618|synaptic signaling,GRP3|19_GO:0010876|-2.847|lipid localization,GRP3|19_GO:0006869|-2.967|lipid transport,GRP3|6_R-HSA-382551|-2.050|Transport of small molecules,GRP4|19_GO:0043269|-2.594|regulation of monoatomic ion transport,GRP4|19_GO:0034765|-2.963|regulation of monoatomic ion transmembrane transport,GRP4|19_GO:0034762|-2.545|regulation of transmembrane transport,GRP5|19_GO:0051640|-2.419|organelle localization,GRP6|19_GO:0098660|-2.068|inorganic ion transmembrane transport,GRP6|19_GO:0030001|-2.230|metal ion transport,_SORT_,_SORT_GRP1_,_SORT_GRP2_,_SORT_GRP3_,_SORT_GRP4_,_SORT_GRP5_,_SORT_GRP6_
2823,0.5,0.2,0.0,1.0,0.0,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.3,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,7,6,4,0,0,0,2
64137,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,9,0,0,2,0,0,0
7534,0.0,0.13333333333333333,0.0,0.0,0.0,1.0,0.4,0.4,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,4,7,0,0,0,2,0
2495,0.0,0.3,0.3333333333333333,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,10,4,0,4,0,0,3
22883,0.0,0.2,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.2,0.2,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,5,0,0,0,0,0
2557,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.3,0.3,0.3,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,8,0,2,0,0,0,4
5764,0.0,0.5333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.1,0.2,0.2,0.3,0.4,0.3,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,3,0,0,0,0,0
81671,0.25,0.0,0.6666666666666666,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.0,0.0,2,0,5,3,2,1,0
1471,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,8,0,0,0,0,0
348,0.75,1.0,1.0,0.0,0.0,0.0,0.4,0.4,0.1,0.2,0.2,0.1,0.1,0.2,0.2,0.3,0.4,0.3,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.3,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1,1,3,1,0,0,0
