_MEMBER_Abi2,_LogP_Abi2,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff,GROUP_ID,FirstInGroupByEnrichment,FirstInGroupByLogP,BestLogPInGroup,BestEnrichmentInGroup,URL
1,-7.194515008132106,GO:1900272,M1,1,0,GO Biological Processes,19,negative regulation of long-term synaptic potentiation,19_GO:0048519 negative regulation of biological process,-7.194515008132106,360.5476190476191,32.813915587076586,30286,14,18,3,16.666666666666668,8.784104611578831,348|5621|5764,APOE|PRNP|PTN,-2.867135636839256,0,1,1,1,-7.194515008132106,360.5476190476191,
1,-6.600203383550963,GO:0050807,M1,1,0,GO Biological Processes,19,regulation of synapse organization,19_GO:0050789 regulation of biological process,-6.600203383550963,34.620484682213075,12.831978901485554,30286,243,18,5,27.77777777777778,10.557179862029056,348|2823|5621|7534|22883,APOE|GPM6A|PRNP|YWHAZ|CLSTN1,-2.69748036309971,0,1,0,0,-7.194515008132106,360.5476190476191,
1,-6.547738479672897,GO:0050803,M1,1,0,GO Biological Processes,19,regulation of synapse structure or activity,19_GO:0065007 biological regulation,-6.547738479672897,33.78625613565372,12.668389351934845,30286,249,18,5,27.77777777777778,10.557179862029056,348|2823|5621|7534|22883,APOE|GPM6A|PRNP|YWHAZ|CLSTN1,-2.69748036309971,0,1,0,0,-7.194515008132106,360.5476190476191,
1,-5.551024825096324,GO:1900271,M1,1,0,GO Biological Processes,19,regulation of long-term synaptic potentiation,19_GO:0048518 positive regulation of biological process,-5.551024825096324,107.39716312056738,17.801370687927072,30286,47,18,3,16.666666666666668,8.784104611578831,348|5621|5764,APOE|PRNP|PTN,-2.001796704187118,0,1,0,0,-7.194515008132106,360.5476190476191,
1,-4.261140445886352,GO:0007613,M1,1,0,GO Biological Processes,19,memory,19_GO:0032501 multicellular organismal process,-4.261140445886352,40.060846560846564,10.714438942959584,30286,126,18,3,16.666666666666668,8.784104611578831,348|5621|5764,APOE|PRNP|PTN,-0.8880035840328274,0,1,0,0,-7.194515008132106,360.5476190476191,
1,-3.751857656044143,GO:0050804,M1,1,0,GO Biological Processes,19,modulation of chemical synaptic transmission,19_GO:0050789 regulation of biological process,-3.751857656044143,13.651566373675907,6.906671789859912,30286,493,18,4,22.22222222222222,9.799078929868854,348|5621|5764|22883,APOE|PRNP|PTN|CLSTN1,-0.46250167118027913,0,1,0,0,-7.194515008132106,360.5476190476191,
1,-3.7484883573149035,GO:0099177,M1,1,0,GO Biological Processes,19,regulation of trans-synaptic signaling,19_GO:0050789 regulation of biological process,-3.7484883573149035,13.623931623931623,6.898687257989227,30286,494,18,4,22.22222222222222,9.799078929868854,348|5621|5764|22883,APOE|PRNP|PTN|CLSTN1,-0.46250167118027913,0,1,0,0,-7.194515008132106,360.5476190476191,
1,-3.5690630428218695,GO:0048167,M1,1,0,GO Biological Processes,19,regulation of synaptic plasticity,19_GO:0050789 regulation of biological process,-3.5690630428218695,23.36882716049383,8.045657747135508,30286,216,18,3,16.666666666666668,8.784104611578831,348|5621|5764,APOE|PRNP|PTN,-0.3208649175766449,0,1,0,0,-7.194515008132106,360.5476190476191,
1,-3.2732116217562717,GO:0120035,M1,1,0,GO Biological Processes,19,regulation of plasma membrane bounded cell projection organization,19_GO:0050789 regulation of biological process,-3.2732116217562717,10.212780306862248,5.8310633848016336,30286,659,18,4,22.22222222222222,9.799078929868854,348|2823|5621|5764,APOE|GPM6A|PRNP|PTN,-0.0803304928371834,0,1,0,0,-7.194515008132106,360.5476190476191,
1,-3.2489430518067763,GO:0007611,M1,1,0,GO Biological Processes,19,learning or memory,19_GO:0032501 multicellular organismal process,-3.2489430518067763,18.15707434052758,7.008180588863052,30286,278,18,3,16.666666666666668,8.784104611578831,348|5621|5764,APOE|PRNP|PTN,-0.0803304928371834,0,1,0,0,-7.194515008132106,360.5476190476191,
