Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
CORUM,33,CORUM:306,"Ribosome, cytoplasmic",,-6,1.4e+02,21,30286,80,8,3,38,17,6139|6217|23521,RPL17|RPS16|RPL13A,-2.4,Btg2
Reactome Gene Sets,6,R-HSA-192823,Viral mRNA Translation,,-5.9,1.3e+02,19,30286,90,8,3,38,17,6139|6217|23521,RPL17|RPS16|RPL13A,-2.4,Btg2
Reactome Gene Sets,6,R-HSA-156902,Peptide chain elongation,,-5.9,1.3e+02,19,30286,90,8,3,38,17,6139|6217|23521,RPL17|RPS16|RPL13A,-2.4,Btg2
Reactome Gene Sets,6,R-HSA-156842,Eukaryotic Translation Elongation,,-5.8,1.2e+02,19,30286,94,8,3,38,17,6139|6217|23521,RPL17|RPS16|RPL13A,-2.4,Btg2
Reactome Gene Sets,6,R-HSA-2408557,Selenocysteine synthesis,,-5.8,1.2e+02,19,30286,94,8,3,38,17,6139|6217|23521,RPL17|RPS16|RPL13A,-2.4,Btg2
Reactome Gene Sets,6,R-HSA-72764,Eukaryotic Translation Termination,,-5.8,1.2e+02,19,30286,94,8,3,38,17,6139|6217|23521,RPL17|RPS16|RPL13A,-2.4,Btg2
Reactome Gene Sets,6,R-HSA-975956,Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC),,-5.8,1.2e+02,19,30286,96,8,3,38,17,6139|6217|23521,RPL17|RPS16|RPL13A,-2.4,Btg2
Reactome Gene Sets,6,R-HSA-72689,Formation of a pool of free 40S subunits,,-5.7,1.1e+02,18,30286,102,8,3,38,17,6139|6217|23521,RPL17|RPS16|RPL13A,-2.4,Btg2
Reactome Gene Sets,6,R-HSA-9633012,Response of EIF2AK4 (GCN2) to amino acid deficiency,,-5.7,1.1e+02,18,30286,102,8,3,38,17,6139|6217|23521,RPL17|RPS16|RPL13A,-2.4,Btg2
CORUM,33,CORUM:3055,Nop56p-associated pre-rRNA complex,,-5.7,1.1e+02,18,30286,104,8,3,38,17,6139|6217|23521,RPL17|RPS16|RPL13A,-2.4,Btg2
Reactome Gene Sets,6,R-HSA-156827,L13a-mediated translational silencing of Ceruloplasmin expression,,-5.6,1e+02,17,30286,112,8,3,38,17,6139|6217|23521,RPL17|RPS16|RPL13A,-2.4,Btg2
Reactome Gene Sets,6,R-HSA-72706,GTP hydrolysis and joining of the 60S ribosomal subunit,,-5.6,1e+02,17,30286,113,8,3,38,17,6139|6217|23521,RPL17|RPS16|RPL13A,-2.4,Btg2
Reactome Gene Sets,6,R-HSA-1799339,SRP-dependent cotranslational protein targeting to membrane,,-5.6,1e+02,17,30286,113,8,3,38,17,6139|6217|23521,RPL17|RPS16|RPL13A,-2.4,Btg2
