Gene,TotalEvidenceCounts,EvidenceHit:Rpl37a,EvidenceGO:Rpl37a,EvidencePPI:Rpl37a
6232,3.0,1,1,1
6227,3.0,1,1,1
6170,3.0,1,1,1
23521,3.0,1,1,1
11113,2.0,1,0,1
4504,2.0,1,1,0
93145,2.0,1,0,1
773,2.0,1,0,1
59284,2.0,1,0,1
118813,2.0,1,1,0
5621,2.0,1,0,1
3984,2.0,1,1,0
1191,2.0,1,0,1
26528,2.0,1,0,1
25851,2.0,1,0,1
201625,2.0,1,0,1
170691,1.0,1,0,0
824,1.0,1,0,0
136227,1.0,1,0,0
727957,1.0,1,0,0
64421,1.0,1,0,0
23299,1.0,1,0,0
5127,1.0,1,0,0
5863,1.0,1,0,0
57447,1.0,1,0,0
57060,1.0,1,0,0
55898,1.0,1,0,0
9645,1.0,1,0,0
