Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
Cell Type Signatures,7,M39237,LAKE ADULT KIDNEY C18 COLLECTING DUCT PRINCIPAL CELLS MEDULLA,,-7.6,8.4,8.9,30286,322,134,12,9,2.5,71|226|658|3326|4869|7314|7529|7534|10209|23741|57142|220988,ACTG1|ALDOA|BMPR1B|HSP90AB1|NPM1|UBB|YWHAB|YWHAZ|EIF1|EID1|RTN4|HNRNPA3,-3.3,Ccdc115
Cell Type Signatures,7,M39228,LAKE ADULT KIDNEY C9 THIN ASCENDING LIMB,,-7.5,9.3,9.1,30286,268,134,11,8.2,2.4,71|226|3326|4869|7314|7529|10209|23741|57142|93986|220988,ACTG1|ALDOA|HSP90AB1|NPM1|UBB|YWHAB|EIF1|EID1|RTN4|FOXP2|HNRNPA3,-3.3,Ccdc115
Cell Type Signatures,7,M39227,LAKE ADULT KIDNEY C8 DECENDING THIN LIMB,,-7.3,8.9,8.9,30286,278,134,11,8.2,2.4,71|226|3326|4869|7314|7529|10209|23741|57142|93986|220988,ACTG1|ALDOA|HSP90AB1|NPM1|UBB|YWHAB|EIF1|EID1|RTN4|FOXP2|HNRNPA3,-3.3,Ccdc115
Cell Type Signatures,7,M39208,HAY BONE MARROW PRO B,,-6.9,8.2,8.4,30286,304,134,11,8.2,2.4,52|71|3151|3187|6613|7314|11164|55840|92610|196294|220988,ACP1|ACTG1|HMGN2|HNRNPH1|SUMO2|UBB|NUDT5|EAF2|TIFA|IMMP1L|HNRNPA3,-3,Ccdc115
DisGeNET,35,C0039590,Testicular Neoplasms,,-5.9,13,8.7,30286,124,134,7,5.2,1.9,367|2263|2321|4869|10973|27306|57515,AR|FGFR2|FLT1|NPM1|ASCC3|HPGDS|SERINC1,-2.1,Ccdc115
Cell Type Signatures,7,M39242,LAKE ADULT KIDNEY C23 ENDOTHELIAL CELLS AVR,,-5.8,13,8.7,30286,126,134,7,5.2,1.9,71|2321|2823|3326|4869|7529|10209,ACTG1|FLT1|GPM6A|HSP90AB1|NPM1|YWHAB|EIF1,-2.1,Ccdc115
Cell Type Signatures,7,M39238,LAKE ADULT KIDNEY C19 COLLECTING DUCT INTERCALATED CELLS TYPE A MEDULLA,,-5.7,6.9,7.2,30286,326,134,10,7.5,2.3,71|226|658|3326|4869|7314|7529|10209|23741|57142,ACTG1|ALDOA|BMPR1B|HSP90AB1|NPM1|UBB|YWHAB|EIF1|EID1|RTN4,-2,Ccdc115
DisGeNET,35,C0023267,Fibroid Tumor,,-5.6,6,6.8,30286,413,134,11,8.2,2.4,52|71|285|367|2246|3151|5354|7010|26136|27306|27328,ACP1|ACTG1|ANGPT2|AR|FGF1|HMGN2|PLP1|TEK|TES|HPGDS|PCDH11X,-2,Ccdc115
DisGeNET,35,C0234985,Mental deterioration,,-5.5,5.3,6.6,30286,508,134,12,9,2.5,71|285|2321|3769|4747|7010|7534|8633|9122|10846|29978|388015,ACTG1|ANGPT2|FLT1|KCNJ13|NEFL|TEK|YWHAZ|UNC5C|SLC16A4|PDE10A|UBQLN2|RTL1,-2,Ccdc115
Cell Type Signatures,7,M39243,LAKE ADULT KIDNEY C24 ENDOTHELIAL CELLS AEA AND DVR,,-5.3,10,7.8,30286,152,134,7,5.2,1.9,71|2321|3326|4869|7529|10209|55082,ACTG1|FLT1|HSP90AB1|NPM1|YWHAB|EIF1|ARGLU1,-1.8,Ccdc115
Cell Type Signatures,7,M41703,FAN OVARY CL1 GPRC5A TNFRS12A HIGH SELECTABLE FOLLICLE STROMAL CELL,,-5.1,5.9,6.5,30286,380,134,10,7.5,2.3,71|3187|3326|4809|4869|7150|7314|11259|57142|220988,ACTG1|HNRNPH1|HSP90AB1|SNU13|NPM1|TOP1|UBB|FILIP1L|RTN4|HNRNPA3,-1.6,Ccdc115
DisGeNET,35,C3811918,GRN-related frontotemporal dementia,,-5,12,7.9,30286,112,134,6,4.5,1.8,4747|5094|29978|93986|220988|347240,NEFL|PCBP2|UBQLN2|FOXP2|HNRNPA3|KIF24,-1.5,Ccdc115
DisGeNET,35,C1704436,Peripheral Arterial Diseases,,-4.9,6.4,6.4,30286,319,134,9,6.7,2.2,285|367|2246|2321|4907|7010|23452|57142|64805,ANGPT2|AR|FGF1|FLT1|NT5E|TEK|ANGPTL2|RTN4|P2RY12,-1.5,Ccdc115
TRRUST,34,TRR00705,Regulated by: LEF1,,-4.8,27,10,30286,34,134,4,3,1.5,367|1540|4907|26292,AR|CYLD|NT5E|MYCBP,-1.5,Ccdc115
DisGeNET,35,C0751072,Frontotemporal Lobar Degeneration,,-4.6,8.1,6.6,30286,195,134,7,5.2,1.9,4747|4869|5094|29978|93986|220988|347240,NEFL|NPM1|PCBP2|UBQLN2|FOXP2|HNRNPA3|KIF24,-1.2,Ccdc115
Cell Type Signatures,7,M39229,LAKE ADULT KIDNEY C10 THIN ASCENDING LIMB,,-4.5,5.8,6,30286,353,134,9,6.7,2.2,71|226|3326|4869|7314|7529|10209|23741|220988,ACTG1|ALDOA|HSP90AB1|NPM1|UBB|YWHAB|EIF1|EID1|HNRNPA3,-1.2,Ccdc115
DisGeNET,35,C0231341,Premature aging syndrome,,-4.5,10,7,30286,136,134,6,4.5,1.8,367|443|1540|2246|23452|27429,AR|ASPA|CYLD|FGF1|ANGPTL2|HTRA2,-1.2,Ccdc115
Cell Type Signatures,7,M41749,RUBENSTEIN SKELETAL MUSCLE NK CELLS,,-4.2,7,6,30286,226,134,7,5.2,1.9,52|71|4869|7314|7534|10209|51714,ACP1|ACTG1|NPM1|UBB|YWHAZ|EIF1|SELENOT,-0.92,Ccdc115
DisGeNET,35,C4721579,Secondary malignant neoplasm of colon and/or rectum,,-4.1,5.1,5.5,30286,397,134,9,6.7,2.2,52|71|285|2321|4907|7010|7150|26136|27306,ACP1|ACTG1|ANGPT2|FLT1|NT5E|TEK|TOP1|TES|HPGDS,-0.92,Ccdc115
DisGeNET,35,C0393571,Multiple System Atrophy,,-4.1,36,10,30286,19,134,3,2.2,1.3,4747|7314|7529,NEFL|UBB|YWHAB,-0.9,Ccdc115
DisGeNET,35,C0152171,Idiopathic pulmonary hypertension,,-4.1,8.4,6.3,30286,161,134,6,4.5,1.8,367|658|2263|2321|3357|7529,AR|BMPR1B|FGFR2|FLT1|HTR2B|YWHAB,-0.89,Ccdc115
DisGeNET,35,C1145670,Respiratory Failure,,-4,5.7,5.6,30286,319,134,8,6,2,2246|3567|4988|4998|5000|9963|27429|29978,FGF1|IL5|OPRM1|ORC1|ORC4|SLC23A1|HTRA2|UBQLN2,-0.89,Ccdc115
DisGeNET,35,C0018790,Cardiac Arrest,,-4,5,5.4,30286,410,134,9,6.7,2.2,285|367|808|4747|4907|7010|7534|27306|27329,ANGPT2|AR|CALM3|NEFL|NT5E|TEK|YWHAZ|HPGDS|ANGPTL3,-0.89,Ccdc115
DisGeNET,35,C1876214,"ALBINOIDISM, OCULOCUTANEOUS, AUTOSOMAL DOMINANT",,-4,17,7.7,30286,54,134,4,3,1.5,7337|23682|283652|388015,UBE3A|RAB38|SLC24A5|RTL1,-0.89,Ccdc115
DisGeNET,35,C0432103,Submucous cleft of hard palate,,-4,16,7.6,30286,55,134,4,3,1.5,4998|5000|7314|93986,ORC1|ORC4|UBB|FOXP2,-0.87,Ccdc115
DisGeNET,35,C0042571,Vertigo,,-3.9,7.8,6,30286,173,134,6,4.5,1.8,808|3769|4869|4907|4988|26136,CALM3|KCNJ13|NPM1|NT5E|OPRM1|TES,-0.81,Ccdc115
DisGeNET,35,C0018681,Headache,,-3.9,5.3,5.4,30286,338,134,8,6,2,367|808|2263|2321|3567|4988|9122|27306,AR|CALM3|FGFR2|FLT1|IL5|OPRM1|SLC16A4|HPGDS,-0.79,Ccdc115
Cell Type Signatures,7,M39255,MENON FETAL KIDNEY 5 PROXIMAL TUBULE CELLS,,-3.8,10,6.4,30286,112,134,5,3.7,1.6,808|5094|23767|57142|552889,CALM3|PCBP2|FLRT3|RTN4|ATXN7L3B,-0.78,Ccdc115
DisGeNET,35,C0240310,Hypoplasia of the maxilla,,-3.8,10,6.4,30286,113,134,5,3.7,1.6,2263|4998|5000|7314|7337,FGFR2|ORC1|ORC4|UBB|UBE3A,-0.78,Ccdc115
DisGeNET,35,C0027796,Neuralgia,,-3.8,3.5,4.7,30286,766,134,12,9,2.5,285|2246|2857|3357|4747|4988|5354|5734|7534|23767|64805|388015,ANGPT2|FGF1|GPR34|HTR2B|NEFL|OPRM1|PLP1|PTGER4|YWHAZ|FLRT3|P2RY12|RTL1,-0.77,Ccdc115
DisGeNET,35,C0012833,Dizziness,,-3.7,14,7,30286,64,134,4,3,1.5,3769|4907|4988|26136,KCNJ13|NT5E|OPRM1|TES,-0.72,Ccdc115
DisGeNET,35,C0020452,Hyperemia,,-3.7,14,7,30286,64,134,4,3,1.5,285|4907|7010|64805,ANGPT2|NT5E|TEK|P2RY12,-0.72,Ccdc115
DisGeNET,35,C0025500,Mesothelioma,,-3.7,4,4.8,30286,559,134,10,7.5,2.3,285|808|2246|2263|2321|4067|4907|7010|23741|27306,ANGPT2|CALM3|FGF1|FGFR2|FLT1|LYN|NT5E|TEK|EID1|HPGDS,-0.71,Ccdc115
DisGeNET,35,C0004936,Mental disorders,,-3.7,3.4,4.6,30286,789,134,12,9,2.5,52|71|367|808|2263|2823|4747|4988|10846|27306|55840|93986,ACP1|ACTG1|AR|CALM3|FGFR2|GPM6A|NEFL|OPRM1|PDE10A|HPGDS|EAF2|FOXP2,-0.71,Ccdc115
DisGeNET,35,C0042133,Uterine Fibroids,,-3.6,4,4.8,30286,569,134,10,7.5,2.3,52|71|285|367|3151|5354|26136|27306|27328|57142,ACP1|ACTG1|ANGPT2|AR|HMGN2|PLP1|TES|HPGDS|PCDH11X|RTN4,-0.68,Ccdc115
DisGeNET,35,C0279628,Adenocarcinoma Of Esophagus,,-3.6,4.4,4.9,30286,467,134,9,6.7,2.2,367|443|1540|2246|2321|5734|7534|9122|27306,AR|ASPA|CYLD|FGF1|FLT1|PTGER4|YWHAZ|SLC16A4|HPGDS,-0.68,Ccdc115
