_MEMBER_Ccdc115,_LogP_Ccdc115,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-3.6,COVID198,M1,1,0,COVID,200,Ubiquitinome_Stukalov_A549-ACE2_24h_Down,,-3.6,6.9,5.5,30286,196,134,6,4.5,1.8,226|3006|7529|7534|8452|11164,ALDOA|H1-2|YWHAB|YWHAZ|CUL3|NUDT5,-0.68,0
1,-3.4,COVID024,M1,1,0,COVID,200,RNA_Keller_B-cells-Infected_CD21pos_Up,,-3.4,5.3,5,30286,300,134,7,5.2,1.9,1687|2321|4907|5734|9934|10758|84707,GSDME|FLT1|NT5E|PTGER4|P2RY14|TRAF3IP2|BEX2,-0.55,0
1,-3.4,COVID039,M1,1,0,COVID,200,RNA_Sun_Calu-3_24h_Down,,-3.4,5.3,5,30286,300,134,7,5.2,1.9,71|3326|4869|7529|7534|57142|79184,ACTG1|HSP90AB1|NPM1|YWHAB|YWHAZ|RTN4|BRCC3,-0.55,0
1,-3.2,COVID257,M1,1,0,COVID,200,RNA_Wilk_CD14+Monocytes_patient-C6_Down,,-3.2,11,5.9,30286,86,134,4,3,1.5,3326|5094|10209|25957,HSP90AB1|PCBP2|EIF1|PNISR,-0.45,0
1,-3,COVID201,M1,1,0,COVID,200,Ubiquitinome_Stukalov_A549-ACE2_6h_Up,,-3,9,5.4,30286,100,134,4,3,1.5,226|3006|3326|4869,ALDOA|H1-2|HSP90AB1|NPM1,-0.4,0
1,-2.9,COVID371,M1,1,0,COVID,200,Interactome_Laurent_HEK293_24h_NSP15,,-2.9,8.5,5.2,30286,106,134,4,3,1.5,658|10758|23283|27429,BMPR1B|TRAF3IP2|CSTF2T|HTRA2,-0.36,0
1,-2.7,COVID245,M1,1,0,COVID,200,RNA_Wilk_CD14+Monocytes_patient-C1A-mild_Down,,-2.7,12,5.6,30286,55,134,3,2.2,1.3,71|5094|10209,ACTG1|PCBP2|EIF1,-0.28,0
1,-2.6,COVID166,M1,1,0,COVID,200,Proteome_Stukalov_A549_72h_NSP8_Down,,-2.6,11,5.3,30286,60,134,3,2.2,1.3,7534|8452|25957,YWHAZ|CUL3|PNISR,-0.23,0
1,-2.5,COVID109,M1,1,0,COVID,200,Interactome_Stukalov_A549_72h_M,,-2.5,6.6,4.4,30286,138,134,4,3,1.5,5000|9122|57142|84899,ORC4|SLC16A4|RTN4|TMTC4,-0.14,0
1,-2.3,COVID200,M1,1,0,COVID,200,Ubiquitinome_Stukalov_A549-ACE2_6h_Down,,-2.3,4.5,3.7,30286,250,134,5,3.7,1.6,71|226|3006|4869|8452,ACTG1|ALDOA|H1-2|NPM1|CUL3,-0.058,0
1,-2.1,COVID035,M1,1,0,COVID,200,RNA_Sun_Calu-3_0h_Down,,-2.1,5.3,3.7,30286,171,134,4,3,1.5,8633|23767|64922|401494,UNC5C|FLRT3|LRRC19|HACD4,-0.015,0
1,-2.1,COVID346,M1,1,0,COVID,200,RNA_Wilk_B-cells_patient-C5_Down,,-2.1,5,3.6,30286,181,134,4,3,1.5,4067|10209|25957|55082,LYN|EIF1|PNISR|ARGLU1,0,0
1,-2,COVID192,M1,1,0,COVID,200,RNA_Stukalov_A549-ACE2_30h_Down,,-2,7,3.9,30286,97,134,3,2.2,1.3,3151|10026|84707,HMGN2|PIGK|BEX2,0,0
