_MEMBER_Ccdc115,_LogP_Ccdc115,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-5.9,C0039590,M1,1,0,DisGeNET,35,Testicular Neoplasms,,-5.9,13,8.7,30286,124,134,7,5.2,1.9,367|2263|2321|4869|10973|27306|57515,AR|FGFR2|FLT1|NPM1|ASCC3|HPGDS|SERINC1,-2.1,0
1,-5.6,C0023267,M1,1,0,DisGeNET,35,Fibroid Tumor,,-5.6,6,6.8,30286,413,134,11,8.2,2.4,52|71|285|367|2246|3151|5354|7010|26136|27306|27328,ACP1|ACTG1|ANGPT2|AR|FGF1|HMGN2|PLP1|TEK|TES|HPGDS|PCDH11X,-2,0
1,-5.5,C0234985,M1,1,0,DisGeNET,35,Mental deterioration,,-5.5,5.3,6.6,30286,508,134,12,9,2.5,71|285|2321|3769|4747|7010|7534|8633|9122|10846|29978|388015,ACTG1|ANGPT2|FLT1|KCNJ13|NEFL|TEK|YWHAZ|UNC5C|SLC16A4|PDE10A|UBQLN2|RTL1,-2,0
1,-5,C3811918,M1,1,0,DisGeNET,35,GRN-related frontotemporal dementia,,-5,12,7.9,30286,112,134,6,4.5,1.8,4747|5094|29978|93986|220988|347240,NEFL|PCBP2|UBQLN2|FOXP2|HNRNPA3|KIF24,-1.5,0
1,-4.9,C1704436,M1,1,0,DisGeNET,35,Peripheral Arterial Diseases,,-4.9,6.4,6.4,30286,319,134,9,6.7,2.2,285|367|2246|2321|4907|7010|23452|57142|64805,ANGPT2|AR|FGF1|FLT1|NT5E|TEK|ANGPTL2|RTN4|P2RY12,-1.5,0
1,-4.6,C0751072,M1,1,0,DisGeNET,35,Frontotemporal Lobar Degeneration,,-4.6,8.1,6.6,30286,195,134,7,5.2,1.9,4747|4869|5094|29978|93986|220988|347240,NEFL|NPM1|PCBP2|UBQLN2|FOXP2|HNRNPA3|KIF24,-1.2,0
1,-4.5,C0231341,M1,1,0,DisGeNET,35,Premature aging syndrome,,-4.5,10,7,30286,136,134,6,4.5,1.8,367|443|1540|2246|23452|27429,AR|ASPA|CYLD|FGF1|ANGPTL2|HTRA2,-1.2,0
1,-4.1,C4721579,M1,1,0,DisGeNET,35,Secondary malignant neoplasm of colon and/or rectum,,-4.1,5.1,5.5,30286,397,134,9,6.7,2.2,52|71|285|2321|4907|7010|7150|26136|27306,ACP1|ACTG1|ANGPT2|FLT1|NT5E|TEK|TOP1|TES|HPGDS,-0.92,0
1,-4.1,C0393571,M1,1,0,DisGeNET,35,Multiple System Atrophy,,-4.1,36,10,30286,19,134,3,2.2,1.3,4747|7314|7529,NEFL|UBB|YWHAB,-0.9,0
1,-4.1,C0152171,M1,1,0,DisGeNET,35,Idiopathic pulmonary hypertension,,-4.1,8.4,6.3,30286,161,134,6,4.5,1.8,367|658|2263|2321|3357|7529,AR|BMPR1B|FGFR2|FLT1|HTR2B|YWHAB,-0.89,0
