_MEMBER_Itm2c,_LogP_Itm2c,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-14,R-HSA-9010553,Regulation of expression of SLITs and ROBOs,M1,1,0
1,-16,R-HSA-72689,Formation of a pool of free 40S subunits,M1,1,0
1,-5.5,R-HSA-9634815,Transcriptional Regulation by NPAS4,M1,1,0
1,-2.9,GO:0048511,rhythmic process,M1,1,0
1,-3,GO:0050807,regulation of synapse organization,M1,1,0
1,-14,R-HSA-9675108,Nervous system development,M1,1,0
1,-16,R-HSA-927802,Nonsense-Mediated Decay (NMD),M1,1,0
1,-16,R-HSA-1799339,SRP-dependent cotranslational protein targeting to membrane,M1,1,0
1,-16,R-HSA-9633012,Response of EIF2AK4 (GCN2) to amino acid deficiency,M1,1,0
1,-16,R-HSA-975957,Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC),M1,1,0
1,-2.3,R-HSA-9679506,SARS-CoV Infections,M1,1,0
1,-2.6,GO:1904951,positive regulation of establishment of protein localization,M1,1,0
1,-3.1,GO:0010035,response to inorganic substance,M1,1,0
1,-9.9,R-HSA-8953854,Metabolism of RNA,M1,1,0
1,-13,R-HSA-376176,Signaling by ROBO receptors,M1,1,0
1,-2.3,GO:0048667,cell morphogenesis involved in neuron differentiation,M1,1,0
1,-3.2,R-HSA-9705683,SARS-CoV-2-host interactions,M1,1,0
1,-16,R-HSA-156827,L13a-mediated translational silencing of Ceruloplasmin expression,M1,1,0
1,-2.5,GO:0007409,axonogenesis,M1,1,0
1,-11,GO:0043043,peptide biosynthetic process,M1,1,0
1,-2.2,GO:0051960,regulation of nervous system development,M1,1,0
1,-16,R-HSA-168255,Influenza Infection,M1,1,0
1,-14,hsa03010,Ribosome,M1,1,0
1,-2.8,GO:0007611,learning or memory,M1,1,0
1,-3,GO:0050803,regulation of synapse structure or activity,M1,1,0
1,-2.1,GO:0048812,neuron projection morphogenesis,M1,1,0
1,-15,R-HSA-72737,Cap-dependent Translation Initiation,M1,1,0
1,-14,CORUM:308,"60S ribosomal subunit, cytoplasmic",M1,1,0
1,-9.5,GO:0006518,peptide metabolic process,M1,1,0
1,-2.5,GO:0031401,positive regulation of protein modification process,M1,1,0
1,-16,R-HSA-72706,GTP hydrolysis and joining of the 60S ribosomal subunit,M1,1,0
1,-2.2,hsa05022,Pathways of neurodegeneration - multiple diseases,M1,1,0
1,-17,R-HSA-168273,Influenza Viral RNA Transcription and Replication,M1,1,0
1,-12,R-HSA-72766,Translation,M1,1,0
1,-2.1,GO:0120039,plasma membrane bounded cell projection morphogenesis,M1,1,0
1,-11,GO:0006412,translation,M1,1,0
1,-15,R-HSA-72613,Eukaryotic Translation Initiation,M1,1,0
1,-2.7,R-HSA-9694516,SARS-CoV-2 Infection,M1,1,0
1,-3,GO:0070201,regulation of establishment of protein localization,M1,1,0
1,-11,R-HSA-71291,Metabolism of amino acids and derivatives,M1,1,0
1,-14,R-HSA-6791226,Major pathway of rRNA processing in the nucleolus and cytosol,M1,1,0
1,-15,R-HSA-2408522,Selenoamino acid metabolism,M1,1,0
1,-15,GO:0002181,cytoplasmic translation,M1,1,0
1,-13,R-HSA-72312,rRNA processing,M1,1,0
1,-14,R-HSA-8868773,rRNA processing in the nucleus and cytosol,M1,1,0
1,-17,R-HSA-156902,Peptide chain elongation,M1,1,0
1,-2.1,GO:1903829,positive regulation of protein localization,M1,1,0
1,-17,R-HSA-192823,Viral mRNA Translation,M1,1,0
1,-6.1,R-HSA-9768919,NPAS4 regulates expression of target genes,M1,1,0
1,-16,R-HSA-72764,Eukaryotic Translation Termination,M1,1,0
1,-2.6,GO:0050890,cognition,M1,1,0
1,-17,CORUM:306,"Ribosome, cytoplasmic",M1,1,0
1,-2.7,GO:0042254,ribosome biogenesis,M1,1,0
1,-2.5,GO:0010038,response to metal ion,M1,1,0
1,-16,R-HSA-975956,Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC),M1,1,0
1,-2.1,GO:0099177,regulation of trans-synaptic signaling,M1,1,0
1,-2.1,GO:0048858,cell projection morphogenesis,M1,1,0
1,-16,R-HSA-2408557,Selenocysteine synthesis,M1,1,0
1,-3.1,GO:0048167,regulation of synaptic plasticity,M1,1,0
1,-2.1,GO:0022613,ribonucleoprotein complex biogenesis,M1,1,0
1,-14,CORUM:3055,Nop56p-associated pre-rRNA complex,M1,1,0
1,-14,R-HSA-9711097,Cellular response to starvation,M1,1,0
1,-9.6,GO:0043604,amide biosynthetic process,M1,1,0
1,-14,R-HSA-422475,Axon guidance,M1,1,0
1,-2.3,GO:0061564,axon development,M1,1,0
1,-2.5,GO:0006979,response to oxidative stress,M1,1,0
1,-2.1,GO:0050804,modulation of chemical synaptic transmission,M1,1,0
1,-16,R-HSA-156842,Eukaryotic Translation Elongation,M1,1,0
1,-13,hsa05171,Coronavirus disease - COVID-19,M1,1,0
