_MEMBER_Itm2c,_LogP_Itm2c,GO,Description,_PATTERN_,_RANK_,CHILD_GO_Itm2c
1,-15.236528648097478,GO:0008152,metabolic process,M1,1,GO:0002181 cytoplasmic translation
1,-3.135008761261957,GO:0050789,regulation of biological process,M1,1,GO:0048167 regulation of synaptic plasticity
1,-3.0666687209132824,GO:0050896,response to stimulus,M1,1,GO:0010035 response to inorganic substance
1,-3.036335637659149,GO:0051179,localization,M1,1,GO:0070201 regulation of establishment of protein localization
1,-2.956758300599663,GO:0065007,biological regulation,M1,1,GO:0050803 regulation of synapse structure or activity
1,-2.865063241390146,GO:0048511,rhythmic process,M1,1,GO:0048511 rhythmic process
1,-2.8195172171860077,GO:0032501,multicellular organismal process,M1,1,GO:0007611 learning or memory
1,-2.6806560290157004,GO:0009987,cellular process,M1,1,GO:0042254 ribosome biogenesis
1,-2.480830341688599,GO:0032502,developmental process,M1,1,GO:0007409 axonogenesis
1,-2.477221349919716,GO:0048518,positive regulation of biological process,M1,1,GO:0031401 positive regulation of protein modification process
