_MEMBER_Kansl1l,_LogP_Kansl1l,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-4.3,COVID198,M1,1,0,COVID,200,Ubiquitinome_Stukalov_A549-ACE2_24h_Down,,-4.3,9.3,6.7,30286,196,100,6,6,2.4,226|3006|7529|7534|26071|59286,ALDOA|H1-2|YWHAB|YWHAZ|RTL8A|UBL5,-1.5,0
1,-3.5,COVID192,M1,1,0,COVID,200,RNA_Stukalov_A549-ACE2_30h_Down,,-3.5,12,6.5,30286,97,100,4,4,2,3151|4282|10026|84707,HMGN2|MIF|PIGK|BEX2,-0.91,0
1,-3.5,COVID201,M1,1,0,COVID,200,Ubiquitinome_Stukalov_A549-ACE2_6h_Up,,-3.5,12,6.4,30286,100,100,4,4,2,226|3006|3183|3326,ALDOA|H1-2|HNRNPC|HSP90AB1,-0.89,0
1,-3.4,COVID254,M1,1,0,COVID,200,RNA_Wilk_CD14+Monocytes_patient-C5_Up,,-3.4,12,6.3,30286,104,100,4,4,2,801|2597|3151|3326,CALM1|GAPDH|HMGN2|HSP90AB1,-0.84,0
1,-3.3,COVID029,M1,1,0,COVID,200,RNA_Liao_BALF-mild_Down,,-3.3,6.1,5.1,30286,300,100,6,6,2.4,805|4718|4900|5094|10209|23204,CALM2|NDUFC2|NRGN|PCBP2|EIF1|ARL6IP1,-0.77,0
1,-3.3,COVID037,M1,1,0,COVID,200,RNA_Sun_Calu-3_12h_Down,,-3.3,6.1,5.1,30286,300,100,6,6,2.4,801|1350|4697|6613|7167|23741,CALM1|COX7C|NDUFA4|SUMO2|TPI1|EID1,-0.77,0
1,-3.3,COVID039,M1,1,0,COVID,200,RNA_Sun_Calu-3_24h_Down,,-3.3,6.1,5.1,30286,300,100,6,6,2.4,801|1350|3326|7529|7534|9480,CALM1|COX7C|HSP90AB1|YWHAB|YWHAZ|ONECUT2,-0.77,0
1,-3,COVID247,M1,1,0,COVID,200,RNA_Wilk_CD14+Monocytes_patient-C1B-severe_Down,,-3,16,6.4,30286,58,100,3,3,1.7,3021|3326|10209,H3-3B|HSP90AB1|EIF1,-0.55,0
1,-2.9,COVID249,M1,1,0,COVID,200,RNA_Wilk_CD14+Monocytes_patient-C2_Down,,-2.9,15,6.2,30286,62,100,3,3,1.7,805|3326|7167,CALM2|HSP90AB1|TPI1,-0.48,0
1,-2.7,COVID282,M1,1,0,COVID,200,RNA_Wilk_Dendritic-cells_patient-C5_Up,,-2.7,12,5.6,30286,73,100,3,3,1.7,801|3151|3326,CALM1|HMGN2|HSP90AB1,-0.33,0
1,-2.6,COVID228,M1,1,0,COVID,200,Translatome_Bojkova_Caco-2_24h_Down,,-2.6,7.1,4.6,30286,170,100,4,4,2,3006|4697|6500|59286,H1-2|NDUFA4|SKP1|UBL5,-0.24,0
1,-2.6,COVID226,M1,1,0,COVID,200,Translatome_Bojkova_Caco-2_10h_Down,,-2.6,11,5.2,30286,83,100,3,3,1.7,4697|6500|10209,NDUFA4|SKP1|EIF1,-0.22,0
1,-2.5,COVID257,M1,1,0,COVID,200,RNA_Wilk_CD14+Monocytes_patient-C6_Down,,-2.5,11,5.1,30286,86,100,3,3,1.7,3326|5094|10209,HSP90AB1|PCBP2|EIF1,-0.19,0
1,-2.5,COVID031,M1,1,0,COVID,200,RNA_Liao_BALF-severe_Down,,-2.5,5,4.1,30286,300,100,5,5,2.2,805|5094|7314|23204|27306,CALM2|PCBP2|UBB|ARL6IP1|HPGDS,-0.17,0
1,-2.5,COVID058,M1,1,0,COVID,200,Phosphoproteome_Bouhaddou_Vero_E6_12h_Up,,-2.5,5,4.1,30286,300,100,5,5,2.2,226|2597|3190|3326|6500,ALDOA|GAPDH|HNRNPK|HSP90AB1|SKP1,-0.17,0
1,-2.5,COVID383,M1,1,0,COVID,200,Interactome_Laurent_HEK293_24h_ORF3B,,-2.5,5,4.1,30286,300,100,5,5,2.2,2045|3151|4067|8633|145748,EPHA7|HMGN2|LYN|UNC5C|LYSMD4,-0.17,0
1,-2.4,COVID253,M1,1,0,COVID,200,RNA_Wilk_CD14+Monocytes_patient-C4_Down,,-2.4,9.4,4.8,30286,97,100,3,3,1.7,805|5094|10209,CALM2|PCBP2|EIF1,-0.09,0
1,-2.3,COVID371,M1,1,0,COVID,200,Interactome_Laurent_HEK293_24h_NSP15,,-2.3,8.6,4.5,30286,106,100,3,3,1.7,7167|9296|27429,TPI1|ATP6V1F|HTRA2,-0.011,0
1,-2.2,COVID182,M1,1,0,COVID,200,Proteome_Stukalov_A549_72h_ORF9B_Down,,-2.2,5.6,3.9,30286,218,100,4,4,2,1350|4697|4718|7167,COX7C|NDUFA4|NDUFC2|TPI1,0,0
1,-2,COVID200,M1,1,0,COVID,200,Ubiquitinome_Stukalov_A549-ACE2_6h_Down,,-2,4.8,3.5,30286,250,100,4,4,2,226|3006|23204|26071,ALDOA|H1-2|ARL6IP1|RTL8A,0,0
