_MEMBER_Plcl1,_LogP_Plcl1,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff,GROUP_ID,FirstInGroupByEnrichment,FirstInGroupByLogP,BestLogPInGroup,BestEnrichmentInGroup,URL
1,-4.377243132491972,GO:0098742,M1,1,0,GO Biological Processes,19,cell-cell adhesion via plasma-membrane adhesion molecules,19_GO:0009987 cellular process,-4.377243132491972,20.18057637847743,8.579502741416869,30286,261,23,4,17.391304347826086,7.903419644751181,3556|5010|28513|57451,IL1RAP|CLDN11|CDH19|TENM2,-0.30676519019718285,0,1,1,1,-4.377243132491972,20.18057637847743,
1,-4.333114565826051,GO:0098609,M1,1,0,GO Biological Processes,19,cell-cell adhesion,19_GO:0009987 cellular process,-4.333114565826051,12.147441039627788,7.219329418022913,30286,542,23,5,21.73913043478261,8.60061487037983,3556|5010|28513|57451|81671,IL1RAP|CLDN11|CDH19|TENM2|VMP1,-0.30676519019718285,0,1,0,0,-4.377243132491972,20.18057637847743,
1,-3.19121180165648,GO:0034330,M1,1,0,GO Biological Processes,19,cell junction organization,19_GO:0009987 cellular process,-3.19121180165648,9.882045843869811,5.7033884511496025,30286,533,23,4,17.391304347826086,7.903419644751181,3556|5010|28513|81671,IL1RAP|CLDN11|CDH19|VMP1,0.0,0,1,0,0,-4.377243132491972,20.18057637847743,
1,-2.9049094018942867,GO:0034329,M1,1,0,GO Biological Processes,19,cell junction assembly,19_GO:0009987 cellular process,-2.9049094018942867,13.958826240589952,6.038071639783022,30286,283,23,3,13.043478260869565,7.02237263554129,5010|28513|81671,CLDN11|CDH19|VMP1,0.0,0,1,0,0,-4.377243132491972,20.18057637847743,
1,-3.9009606607907528,GO:0007272,M1,1,0,GO Biological Processes,19,ensheathment of neurons,19_GO:0032502 developmental process,-3.9009606607907528,30.622851365015165,9.294999370710524,30286,129,23,3,13.043478260869565,7.02237263554129,443|4336|5010,ASPA|MOBP|CLDN11,-0.17564128082586572,0,2,1,1,-3.9009606607907528,30.622851365015165,
1,-3.9009606607907528,GO:0008366,M1,1,0,GO Biological Processes,19,axon ensheathment,19_GO:0032502 developmental process,-3.9009606607907528,30.622851365015165,9.294999370710524,30286,129,23,3,13.043478260869565,7.02237263554129,443|4336|5010,ASPA|MOBP|CLDN11,-0.17564128082586572,0,2,0,0,-3.9009606607907528,30.622851365015165,
1,-3.243955214899724,GO:0010001,M1,1,0,GO Biological Processes,19,glial cell differentiation,19_GO:0032502 developmental process,-3.243955214899724,18.28864734299517,7.029798798959043,30286,216,23,3,13.043478260869565,7.02237263554129,443|3908|4336,ASPA|LAMA2|MOBP,0.0,0,2,0,0,-3.9009606607907528,30.622851365015165,
1,-2.954387310024332,GO:0042063,M1,1,0,GO Biological Processes,19,gliogenesis,19_GO:0032502 developmental process,-2.954387310024332,14.523337595907929,6.176296276108867,30286,272,23,3,13.043478260869565,7.02237263554129,443|3908|4336,ASPA|LAMA2|MOBP,0.0,0,2,0,0,-3.9009606607907528,30.622851365015165,
1,-2.98626319800281,GO:0032989,M1,1,0,GO Biological Processes,19,cellular anatomical entity morphogenesis,19_GO:0032502 developmental process,-2.98626319800281,8.70600071864894,5.278240638724051,30286,605,23,4,17.391304347826086,7.903419644751181,3908|4336|8633|29767,LAMA2|MOBP|UNC5C|TMOD2,0.0,0,3,1,1,-2.98626319800281,8.70600071864894,
1,-2.916138535170819,GO:0007283,M1,1,0,GO Biological Processes,19,spermatogenesis,19_GO:0022414 reproductive process,-2.916138535170819,8.334067143643368,5.136691661310204,30286,632,23,4,17.391304347826086,7.903419644751181,5010|7182|7704|59338,CLDN11|NR2C2|ZBTB16|PLEKHA1,0.0,0,4,1,1,-2.916138535170819,8.334067143643368,
1,-2.873639131553909,GO:0048232,M1,1,0,GO Biological Processes,19,male gamete generation,19_GO:0022414 reproductive process,-2.873639131553909,8.115763381791385,5.0518267080110055,30286,649,23,4,17.391304347826086,7.903419644751181,5010|7182|7704|59338,CLDN11|NR2C2|ZBTB16|PLEKHA1,0.0,0,4,0,0,-2.916138535170819,8.334067143643368,
1,-2.107227595616782,GO:0030036,M1,1,0,GO Biological Processes,19,actin cytoskeleton organization,19_GO:0009987 cellular process,-2.107227595616782,7.2616687979539645,4.062806847923646,30286,544,23,3,13.043478260869565,7.02237263554129,8476|9844|29767,CDC42BPA|ELMO1|TMOD2,0.0,0,5,1,1,-2.107227595616782,7.2616687979539645,
