_MEMBER_Plcl1,_LogP_Plcl1,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-4.3,GO:0098609,cell-cell adhesion,M1,1,0
1,-2.9,GO:0007283,spermatogenesis,M1,1,0
1,-3,GO:0042063,gliogenesis,M1,1,0
1,-4.4,GO:0098742,cell-cell adhesion via plasma-membrane adhesion molecules,M1,1,0
1,-3.9,GO:0008366,axon ensheathment,M1,1,0
1,-3.9,GO:0007272,ensheathment of neurons,M1,1,0
1,-2.9,GO:0034329,cell junction assembly,M1,1,0
1,-3.2,GO:0034330,cell junction organization,M1,1,0
1,-3,GO:0032989,cellular anatomical entity morphogenesis,M1,1,0
1,-3.2,GO:0010001,glial cell differentiation,M1,1,0
1,-2.1,GO:0030036,actin cytoskeleton organization,M1,1,0
1,-2.9,GO:0048232,male gamete generation,M1,1,0
