Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
GO Biological Processes,19,GO:0048511,rhythmic process,19_GO:0048511 rhythmic process,-9.4,21,13,30286,268,49,9,18,5.5,1628|3131|7008|8863|9099|9572|9975|79365|148523,DBP|HLF|TEF|PER3|USP2|NR1D1|NR1D2|BHLHE41|CIART,-5,Gm973
KEGG Pathway,24,hsa04710,Circadian rhythm,,-8.6,91,21,30286,34,49,5,10,4.3,1628|8863|9572|9975|79365,DBP|PER3|NR1D1|NR1D2|BHLHE41,-4.6,Gm973
GO Biological Processes,19,GO:0007623,circadian rhythm,19_GO:0048511 rhythmic process,-7.1,27,12,30286,136,49,6,12,4.7,8863|9099|9572|9975|79365|148523,PER3|USP2|NR1D1|NR1D2|BHLHE41|CIART,-3.3,Gm973
GO Biological Processes,19,GO:0032922,circadian regulation of gene expression,19_GO:0048511 rhythmic process,-7,44,15,30286,70,49,5,10,4.3,8863|9099|9572|79365|148523,PER3|USP2|NR1D1|BHLHE41|CIART,-3.3,Gm973
GO Biological Processes,19,GO:0048512,circadian behavior,19_GO:0048511 rhythmic process,-5.3,88,16,30286,21,49,3,6.1,3.4,9099|9975|148523,USP2|NR1D2|CIART,-1.7,Gm973
GO Biological Processes,19,GO:0007622,rhythmic behavior,19_GO:0032501 multicellular organismal process,-5.2,81,15,30286,23,49,3,6.1,3.4,9099|9975|148523,USP2|NR1D2|CIART,-1.6,Gm973
GO Biological Processes,19,GO:0042752,regulation of circadian rhythm,19_GO:0048511 rhythmic process,-4.5,22,8.9,30286,114,49,4,8.2,3.9,8863|9099|9572|9975,PER3|USP2|NR1D1|NR1D2,-0.97,Gm973
GO Biological Processes,19,GO:0007129,homologous chromosome pairing at meiosis,19_GO:0022414 reproductive process,-4.1,35,10,30286,53,49,3,6.1,3.4,9134|56154|256006,CCNE2|TEX15|ANKRD31,-0.63,Gm973
GO Biological Processes,19,GO:0070192,chromosome organization involved in meiotic cell cycle,19_GO:0022414 reproductive process,-3.8,29,8.9,30286,65,49,3,6.1,3.4,9134|56154|256006,CCNE2|TEX15|ANKRD31,-0.44,Gm973
GO Biological Processes,19,GO:0045143,homologous chromosome segregation,19_GO:0022414 reproductive process,-3.8,28,8.9,30286,66,49,3,6.1,3.4,9134|56154|256006,CCNE2|TEX15|ANKRD31,-0.44,Gm973
Reactome Gene Sets,6,R-HSA-400253,Circadian Clock,,-3.7,26,8.6,30286,70,49,3,6.1,3.4,1628|9572|79365,DBP|NR1D1|BHLHE41,-0.41,Gm973
GO Biological Processes,19,GO:0045132,meiotic chromosome segregation,19_GO:0022414 reproductive process,-3.4,21,7.5,30286,89,49,3,6.1,3.4,9134|56154|256006,CCNE2|TEX15|ANKRD31,-0.14,Gm973
GO Biological Processes,19,GO:0098813,nuclear chromosome segregation,19_GO:0009987 cellular process,-3.3,11,5.9,30286,233,49,4,8.2,3.9,9134|26993|56154|256006,CCNE2|AKAP8L|TEX15|ANKRD31,-0.045,Gm973
GO Biological Processes,19,GO:0007127,meiosis I,19_GO:0022414 reproductive process,-3,15,6.2,30286,125,49,3,6.1,3.4,9134|56154|256006,CCNE2|TEX15|ANKRD31,0,Gm973
GO Biological Processes,19,GO:0051276,chromosome organization,19_GO:0009987 cellular process,-2.9,6.3,4.8,30286,489,49,5,10,4.3,9134|26993|29844|56154|256006,CCNE2|AKAP8L|TFPT|TEX15|ANKRD31,0,Gm973
GO Biological Processes,19,GO:0061982,meiosis I cell cycle process,19_GO:0022414 reproductive process,-2.9,14,6.2,30286,128,49,3,6.1,3.4,9134|56154|256006,CCNE2|TEX15|ANKRD31,0,Gm973
GO Biological Processes,19,GO:0006836,neurotransmitter transport,19_GO:0051179 localization,-2.8,13,5.8,30286,140,49,3,6.1,3.4,8448|11255|55117,DOC2A|HRH3|SLC6A15,0,Gm973
GO Biological Processes,19,GO:0000280,nuclear division,19_GO:0009987 cellular process,-2.7,7.7,4.9,30286,320,49,4,8.2,3.9,9134|26993|56154|256006,CCNE2|AKAP8L|TEX15|ANKRD31,0,Gm973
GO Biological Processes,19,GO:0007059,chromosome segregation,19_GO:0009987 cellular process,-2.7,7.5,4.8,30286,331,49,4,8.2,3.9,9134|26993|56154|256006,CCNE2|AKAP8L|TEX15|ANKRD31,0,Gm973
GO Biological Processes,19,GO:0048285,organelle fission,19_GO:0009987 cellular process,-2.6,7.1,4.6,30286,346,49,4,8.2,3.9,9134|26993|56154|256006,CCNE2|AKAP8L|TEX15|ANKRD31,0,Gm973
GO Biological Processes,19,GO:0140013,meiotic nuclear division,19_GO:0022414 reproductive process,-2.6,11,5.2,30286,171,49,3,6.1,3.4,9134|56154|256006,CCNE2|TEX15|ANKRD31,0,Gm973
GO Biological Processes,19,GO:0023061,signal release,19_GO:0051179 localization,-2.5,9.9,4.9,30286,187,49,3,6.1,3.4,6567|8448|11255,SLC16A2|DOC2A|HRH3,0,Gm973
GO Biological Processes,19,GO:1903046,meiotic cell cycle process,19_GO:0022414 reproductive process,-2.4,9.7,4.8,30286,192,49,3,6.1,3.4,9134|56154|256006,CCNE2|TEX15|ANKRD31,0,Gm973
GO Biological Processes,19,GO:0006282,regulation of DNA repair,19_GO:0050896 response to stimulus,-2.3,8.6,4.5,30286,215,49,3,6.1,3.4,7913|29844|56154,DEK|TFPT|TEX15,0,Gm973
GO Biological Processes,19,GO:0051321,meiotic cell cycle,19_GO:0022414 reproductive process,-2.1,7.3,4,30286,255,49,3,6.1,3.4,9134|56154|256006,CCNE2|TEX15|ANKRD31,0,Gm973
GO Biological Processes,19,GO:0032870,cellular response to hormone stimulus,19_GO:0050896 response to stimulus,-2.1,4.9,3.6,30286,504,49,4,8.2,3.9,2046|9572|9975|64506,EPHA8|NR1D1|NR1D2|CPEB1,0,Gm973
