_MEMBER_Rpl37a,_LogP_Rpl37a,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-7.1,M40009,M1,1,0,Cell Type Signatures,7,BUSSLINGER GASTRIC PPP1R1B POSITIVE CELLS,,-7.1,45,15,30286,121,28,5,18,7.2,1191|6170|6227|6232|23521,CLU|RPL39|RPS21|RPS27|RPL13A,-2.6,0
1,-6.5,M41748,M1,1,0,Cell Type Signatures,7,RUBENSTEIN SKELETAL MUSCLE SATELLITE CELLS,,-6.5,21,11,30286,310,28,6,21,7.8,1191|6170|6227|6232|23521|57447,CLU|RPL39|RPS21|RPS27|RPL13A|NDRG2,-2.3,0
1,-5.5,M40015,M1,1,0,Cell Type Signatures,7,BUSSLINGER GASTRIC LYZ POSITIVE CELLS,,-5.5,39,12,30286,111,28,4,14,6.6,1191|6170|6227|6232,CLU|RPL39|RPS21|RPS27,-1.8,0
1,-5.4,M41648,M1,1,0,Cell Type Signatures,7,TRAVAGLINI LUNG CLUB CELL,,-5.4,38,12,30286,114,28,4,14,6.6,6170|6227|6232|23521,RPL39|RPS21|RPS27|RPL13A,-1.8,0
1,-5.4,M39290,M1,1,0,Cell Type Signatures,7,DURANTE ADULT OLFACTORY NEUROEPITHELIUM OLFACTORY ENSHEATHING GLIA,,-5.4,38,12,30286,115,28,4,14,6.6,1191|4504|5621|57447,CLU|MT3|PRNP|NDRG2,-1.8,0
1,-5.2,M41684,M1,1,0,Cell Type Signatures,7,TRAVAGLINI LUNG CD4 NAIVE T CELL,,-5.2,33,11,30286,132,28,4,14,6.6,6170|6227|6232|23521,RPL39|RPS21|RPS27|RPL13A,-1.7,0
1,-5.2,M39020,M1,1,0,Cell Type Signatures,7,FAN EMBRYONIC CTX BIG GROUPS GLIAL,,-5.2,33,11,30286,133,28,4,14,6.6,1191|4504|5621|57447,CLU|MT3|PRNP|NDRG2,-1.7,0
1,-5.2,M39133,M1,1,0,Cell Type Signatures,7,AIZARANI LIVER C34 MHC II POS B CELLS,,-5.2,32,11,30286,134,28,4,14,6.6,6170|6232|23299|23521,RPL39|RPS27|BICD2|RPL13A,-1.7,0
1,-4.7,M41753,M1,1,0,Cell Type Signatures,7,RUBENSTEIN SKELETAL MUSCLE B CELLS,,-4.7,24,9.5,30286,177,28,4,14,6.6,6170|6227|6232|23521,RPL39|RPS21|RPS27|RPL13A,-1.2,0
1,-4.6,M41752,M1,1,0,Cell Type Signatures,7,RUBENSTEIN SKELETAL MUSCLE T CELLS,,-4.6,24,9.4,30286,181,28,4,14,6.6,6170|6227|6232|23521,RPL39|RPS21|RPS27|RPL13A,-1.2,0
1,-4.5,M41667,M1,1,0,Cell Type Signatures,7,TRAVAGLINI LUNG CAPILLARY INTERMEDIATE 2 CELL,,-4.5,13,7.6,30286,408,28,5,18,7.2,824|6170|6227|6232|57447,CAPN2|RPL39|RPS21|RPS27|NDRG2,-1.1,0
