_MEMBER_Itm2c,_LogP_Itm2c,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-3.7,C0007785,M1,1,0,DisGeNET,35,Cerebral Infarction,,-3.7,8.8,6,30286,687,25,5,20,8,406|3726|4297|5621|266743,BMAL1|JUNB|KMT2A|PRNP|NPAS4,-0.73,0
1,-3.6,C0008479,M1,1,0,DisGeNET,35,Chondrosarcoma,,-3.6,13,6.6,30286,385,25,4,16,7.3,3726|4297|5621|7077,JUNB|KMT2A|PRNP|TIMP2,-0.65,0
1,-3.5,C0016057,M1,1,0,DisGeNET,35,Fibrosarcoma,,-3.5,12,6.3,30286,413,25,4,16,7.3,3726|4297|7077|8851,JUNB|KMT2A|TIMP2|CDK5R1,-0.56,0
1,-3.4,C0917801,M1,1,0,DisGeNET,35,Sleeplessness,,-3.4,21,7.6,30286,174,25,3,12,6.5,406|5621|8851,BMAL1|PRNP|CDK5R1,-0.52,0
1,-3.2,C0079772,M1,1,0,DisGeNET,35,T-Cell Lymphoma,,-3.2,10,5.7,30286,485,25,4,16,7.3,3726|4297|5621|6139,JUNB|KMT2A|PRNP|RPL17,-0.34,0
1,-3.2,C0027092,M1,1,0,DisGeNET,35,Myopia,,-3.2,9.9,5.7,30286,490,25,4,16,7.3,406|3726|4297|7077,BMAL1|JUNB|KMT2A|TIMP2,-0.33,0
1,-3.1,C0033999,M1,1,0,DisGeNET,35,Pterygium,,-3.1,17,6.7,30286,216,25,3,12,6.5,3726|7077|8482,JUNB|TIMP2|SEMA7A,-0.3,0
1,-3,C0023493,M1,1,0,DisGeNET,35,Adult T-Cell Lymphoma/Leukemia,,-3,9,5.4,30286,540,25,4,16,7.3,3726|4297|6139|8851,JUNB|KMT2A|RPL17|CDK5R1,-0.2,0
1,-2.9,C0003578,M1,1,0,DisGeNET,35,Apnea,,-2.9,14,6,30286,261,25,3,12,6.5,514|5621|8851,ATP5F1E|PRNP|CDK5R1,-0.092,0
1,-2.8,C4086152,M1,1,0,DisGeNET,35,Childhood Astrocytoma,,-2.8,7.9,5,30286,615,25,4,16,7.3,3726|5621|7077|8851,JUNB|PRNP|TIMP2|CDK5R1,-0.022,0
1,-2.7,C0005699,M1,1,0,DisGeNET,35,Blast Phase,,-2.7,12,5.6,30286,299,25,3,12,6.5,406|514|4297,BMAL1|ATP5F1E|KMT2A,0,0
1,-2.7,C0037317,M1,1,0,DisGeNET,35,Sleep disturbances,,-2.7,12,5.5,30286,310,25,3,12,6.5,406|4297|5621,BMAL1|KMT2A|PRNP,0,0
1,-2.5,C0236734,M1,1,0,DisGeNET,35,Caffeine related disorders,,-2.5,10,5,30286,359,25,3,12,6.5,5621|6139|8851,PRNP|RPL17|CDK5R1,0,0
1,-2.5,C0851578,M1,1,0,DisGeNET,35,Sleep Disorders,,-2.5,10,5,30286,359,25,3,12,6.5,406|4297|5621,BMAL1|KMT2A|PRNP,0,0
1,-2.5,C0151744,M1,1,0,DisGeNET,35,Myocardial Ischemia,,-2.5,6.4,4.3,30286,756,25,4,16,7.3,406|3726|4297|6139,BMAL1|JUNB|KMT2A|RPL17,0,0
1,-2.5,C0233794,M1,1,0,DisGeNET,35,Memory impairment,,-2.5,6.4,4.3,30286,763,25,4,16,7.3,4297|5621|8851|266743,KMT2A|PRNP|CDK5R1|NPAS4,0,0
1,-2.5,C0013080,M1,1,0,DisGeNET,35,Down Syndrome,,-2.5,6.3,4.3,30286,765,25,4,16,7.3,4297|5621|6139|6175,KMT2A|PRNP|RPL17|RPLP0,0,0
1,-2.4,C0278595,M1,1,0,DisGeNET,35,Adult Fibrosarcoma,,-2.4,9.4,4.8,30286,387,25,3,12,6.5,3726|7077|8851,JUNB|TIMP2|CDK5R1,0,0
1,-2.3,C0036202,M1,1,0,DisGeNET,35,Sarcoidosis,,-2.3,8.8,4.6,30286,413,25,3,12,6.5,6139|6161|7077,RPL17|RPL32|TIMP2,0,0
1,-2.3,C0542476,M1,1,0,DisGeNET,35,Forgetful,,-2.3,8.5,4.5,30286,429,25,3,12,6.5,4297|5621|8851,KMT2A|PRNP|CDK5R1,0,0
1,-2.2,C0021053,M1,1,0,DisGeNET,35,Immune System Diseases,,-2.2,8.1,4.3,30286,451,25,3,12,6.5,3726|6139|7077,JUNB|RPL17|TIMP2,0,0
1,-2.2,C0023492,M1,1,0,DisGeNET,35,"Leukemia, T-Cell",,-2.2,8,4.3,30286,457,25,3,12,6.5,4297|6139|8851,KMT2A|RPL17|CDK5R1,0,0
1,-2.2,C0085584,M1,1,0,DisGeNET,35,Encephalopathies,,-2.2,8,4.3,30286,457,25,3,12,6.5,514|5621|8851,ATP5F1E|PRNP|CDK5R1,0,0
1,-2.2,C4721532,M1,1,0,DisGeNET,35,"Lymphoma, Non-Hodgkin, Familial",,-2.2,7.9,4.3,30286,462,25,3,12,6.5,4297|7077|8851,KMT2A|TIMP2|CDK5R1,0,0
1,-2.2,C0278764,M1,1,0,DisGeNET,35,Adult Burkitt Lymphoma,,-2.2,7.7,4.2,30286,475,25,3,12,6.5,406|3726|4297,BMAL1|JUNB|KMT2A,0,0
1,-2.2,C0278879,M1,1,0,DisGeNET,35,Childhood Burkitt Lymphoma,,-2.2,7.6,4.2,30286,477,25,3,12,6.5,406|3726|4297,BMAL1|JUNB|KMT2A,0,0
1,-2,C0040822,M1,1,0,DisGeNET,35,Tremor,,-2,6.9,3.9,30286,528,25,3,12,6.5,406|5621|8851,BMAL1|PRNP|CDK5R1,0,0
1,-2,C0038220,M1,1,0,DisGeNET,35,Status Epilepticus,,-2,6.8,3.9,30286,533,25,3,12,6.5,3726|8851|266743,JUNB|CDK5R1|NPAS4,0,0
1,-2,C0598935,M1,1,0,DisGeNET,35,Tumor Initiation,,-2,6.8,3.9,30286,533,25,3,12,6.5,406|4297|6139,BMAL1|KMT2A|RPL17,0,0
1,-2,C1535926,M1,1,0,DisGeNET,35,Neurodevelopmental Disorders,,-2,6.8,3.9,30286,534,25,3,12,6.5,406|4297|266743,BMAL1|KMT2A|NPAS4,0,0
