_MEMBER_Ccdc115,_LogP_Ccdc115,GO,Description,_PATTERN_,_RANK_,CHILD_GO_Ccdc115
1,-5.705006505949376,GO:0032502,developmental process,M1,1,GO:0060322 head development
1,-5.253738030605411,GO:0065007,biological regulation,M1,1,GO:0051338 regulation of transferase activity
1,-5.144741814721141,GO:0050789,regulation of biological process,M1,1,GO:1902115 regulation of organelle assembly
1,-4.865951366327915,GO:0040007,growth,M1,1,GO:0060736 prostate gland growth
1,-4.643808481778267,GO:0050896,response to stimulus,M1,1,GO:0002831 regulation of response to biotic stimulus
1,-4.583692028130576,GO:0008152,metabolic process,M1,1,GO:0043549 regulation of kinase activity
1,-4.439188966698346,GO:0048518,positive regulation of biological process,M1,1,GO:0031401 positive regulation of protein modification process
1,-4.286000206258117,GO:0022414,reproductive process,M1,1,GO:0030850 prostate gland development
1,-3.930807606150345,GO:0009987,cellular process,M1,1,GO:0050673 epithelial cell proliferation
1,-3.805455929767501,GO:0044419,biological process involved in interspecies interaction between organisms,M1,1,GO:0045088 regulation of innate immune response
1,-3.7115030136172864,GO:0048519,negative regulation of biological process,M1,1,GO:0032102 negative regulation of response to external stimulus
1,-3.5716051416050503,GO:0040011,locomotion,M1,1,GO:0030335 positive regulation of cell migration
1,-3.0225697227111437,GO:0042592,homeostatic process,M1,1,GO:0019725 cellular homeostasis
1,-2.8882670650964792,GO:0002376,immune system process,M1,1,GO:0030217 T cell differentiation
1,-2.748005925936075,GO:0032501,multicellular organismal process,M1,1,GO:0007610 behavior
1,-2.642383067228942,GO:0051179,localization,M1,1,GO:0070588 calcium ion transmembrane transport
