_MEMBER_Sulf1,_LogP_Sulf1,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff,GROUP_ID,FirstInGroupByEnrichment,FirstInGroupByLogP,BestLogPInGroup,BestEnrichmentInGroup,URL
1,-4.603909505681457,GO:0050778,M1,1,0,GO Biological Processes,19,positive regulation of immune response,19_GO:0002376 immune system process,-4.603909505681457,9.923328964613367,7.017913175718622,30286,654,28,6,21.428571428571427,7.754430690597277,710|721|2634|3554|55601|84166,SERPING1|C4B|GBP2|IL1R1|DDX60|NLRC5,-0.27653013438860796,0,1,1,1,-4.603909505681457,16.224642857142854,
1,-3.233743039234086,GO:0031349,M1,1,0,GO Biological Processes,19,positive regulation of defense response,19_GO:0048518 positive regulation of biological process,-3.233743039234086,10.25253893026405,5.8225852181310875,30286,422,28,4,14.285714285714286,6.613000712661083,2634|9180|55601|84166,GBP2|OSMR|DDX60|NLRC5,-0.006329540527349279,0,1,0,0,-4.603909505681457,16.224642857142854,
1,-3.1851973290079254,GO:0045087,M1,1,0,GO Biological Processes,19,innate immune response,19_GO:0044419 biological process involved in interspecies interaction between organisms,-3.1851973290079254,6.978341013824886,5.128758713708641,30286,775,28,5,17.857142857142858,7.237888244444443,710|721|2634|55601|84166,SERPING1|C4B|GBP2|DDX60|NLRC5,-0.006329540527349279,0,1,0,0,-4.603909505681457,16.224642857142854,
1,-3.165885792518343,GO:0045088,M1,1,0,GO Biological Processes,19,regulation of innate immune response,19_GO:0044419 biological process involved in interspecies interaction between organisms,-3.165885792518343,9.833116883116885,5.677667344401869,30286,440,28,4,14.285714285714286,6.613000712661083,710|2634|55601|84166,SERPING1|GBP2|DDX60|NLRC5,-0.006329540527349279,0,1,0,0,-4.603909505681457,16.224642857142854,
1,-3.0846991333252483,M5913,M1,1,0,Hallmark Gene Sets,23,HALLMARK INTERFERON GAMMA RESPONSE,,-3.0846991333252483,16.224642857142854,6.571319470296453,30286,200,28,3,10.714285714285714,5.845122059892653,710|55601|84166,SERPING1|DDX60|NLRC5,-0.006329540527349279,0,1,0,0,-4.603909505681457,16.224642857142854,
1,-2.884550937249453,GO:0002831,M1,1,0,GO Biological Processes,19,regulation of response to biotic stimulus,19_GO:0050896 response to stimulus,-2.884550937249453,8.25681570338059,5.097454717130455,30286,524,28,4,14.285714285714286,6.613000712661083,710|2634|55601|84166,SERPING1|GBP2|DDX60|NLRC5,0.0,0,1,0,0,-4.603909505681457,16.224642857142854,
1,-2.77588379332032,GO:0032103,M1,1,0,GO Biological Processes,19,positive regulation of response to external stimulus,19_GO:0048518 positive regulation of biological process,-2.77588379332032,7.712248535777949,4.8815891296461285,30286,561,28,4,14.285714285714286,6.613000712661083,2634|9180|55601|84166,GBP2|OSMR|DDX60|NLRC5,0.0,0,1,0,0,-4.603909505681457,16.224642857142854,
1,-2.7016398140630553,GO:0051607,M1,1,0,GO Biological Processes,19,defense response to virus,19_GO:0044419 biological process involved in interspecies interaction between organisms,-2.7016398140630553,11.929884453781511,5.5082136751855835,30286,272,28,3,10.714285714285714,5.845122059892653,2634|55601|84166,GBP2|DDX60|NLRC5,0.0,0,1,0,0,-4.603909505681457,16.224642857142854,
1,-2.6614833152040163,GO:0045089,M1,1,0,GO Biological Processes,19,positive regulation of innate immune response,19_GO:0044419 biological process involved in interspecies interaction between organisms,-2.6614833152040163,11.547788510421961,5.4036903331034605,30286,281,28,3,10.714285714285714,5.845122059892653,2634|55601|84166,GBP2|DDX60|NLRC5,0.0,0,1,0,0,-4.603909505681457,16.224642857142854,
1,-2.552752562253223,GO:0002833,M1,1,0,GO Biological Processes,19,positive regulation of response to biotic stimulus,19_GO:0048518 positive regulation of biological process,-2.552752562253223,10.569799906933456,5.126679517400075,30286,307,28,3,10.714285714285714,5.845122059892653,2634|55601|84166,GBP2|DDX60|NLRC5,0.0,0,1,0,0,-4.603909505681457,16.224642857142854,
1,-2.296697462381046,GO:0009615,M1,1,0,GO Biological Processes,19,response to virus,19_GO:0044419 biological process involved in interspecies interaction between organisms,-2.296697462381046,8.561816811157179,4.506423751024779,30286,379,28,3,10.714285714285714,5.845122059892653,2634|55601|84166,GBP2|DDX60|NLRC5,0.0,0,1,0,0,-4.603909505681457,16.224642857142854,
1,-2.2777827360188256,GO:0002253,M1,1,0,GO Biological Processes,19,activation of immune response,19_GO:0002376 immune system process,-2.2777827360188256,8.42838589981447,4.462257833623397,30286,385,28,3,10.714285714285714,5.845122059892653,710|721|2634,SERPING1|C4B|GBP2,0.0,0,1,0,0,-4.603909505681457,16.224642857142854,
1,-2.2777827360188256,GO:0002697,M1,1,0,GO Biological Processes,19,regulation of immune effector process,19_GO:0002376 immune system process,-2.2777827360188256,8.42838589981447,4.462257833623397,30286,385,28,3,10.714285714285714,5.845122059892653,710|3554|55601,SERPING1|IL1R1|DDX60,0.0,0,1,0,0,-4.603909505681457,16.224642857142854,
1,-4.147482376772362,M5897,M1,1,0,Hallmark Gene Sets,23,HALLMARK IL6 JAK STAT3 SIGNALING,,-4.147482376772362,37.29802955665024,10.313809144669799,30286,87,28,3,10.714285714285714,5.845122059892653,960|3554|9180,CD44|IL1R1|OSMR,-0.1648748993250402,0,2,1,1,-4.147482376772362,37.29802955665024,
