Gene,_SCORE_GRP2_,_SCORE_GRP4_,_SCORE_GRP5_,_SCORE_GRP3_,_SCORE_GRP1_,GRP1|6_R-HSA-8953854|-3.114|Metabolism of RNA,GRP1|6_R-HSA-9675108|-2.764|Nervous system development,GRP1|6_R-HSA-422475|-2.849|Axon guidance,GRP1|6_R-HSA-168255|-4.019|Influenza Infection,GRP1|6_R-HSA-168273|-4.261|Influenza Viral RNA Transcription and Replication,GRP1|6_R-HSA-9705683|-2.438|SARS-CoV-2-host interactions,GRP1|19_GO:0043043|-2.421|peptide biosynthetic process,GRP1|19_GO:0006412|-2.532|translation,GRP1|19_GO:0043604|-2.039|amide biosynthetic process,GRP1|19_GO:0006518|-2.014|peptide metabolic process,GRP1|6_R-HSA-975957|-4.531|Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC),GRP1|6_R-HSA-927802|-4.531|Nonsense-Mediated Decay (NMD),GRP1|6_R-HSA-156902|-3.454|Peptide chain elongation,"GRP1|33_CORUM:306|-3.605|Ribosome, cytoplasmic",GRP1|6_R-HSA-192823|-3.454|Viral mRNA Translation,GRP1|6_R-HSA-156842|-3.399|Eukaryotic Translation Elongation,GRP1|6_R-HSA-2408557|-3.399|Selenocysteine synthesis,GRP1|6_R-HSA-72764|-3.399|Eukaryotic Translation Termination,GRP1|6_R-HSA-975956|-3.372|Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC),GRP1|6_R-HSA-72689|-3.295|Formation of a pool of free 40S subunits,GRP1|6_R-HSA-9633012|-3.295|Response of EIF2AK4 (GCN2) to amino acid deficiency,GRP1|6_R-HSA-156827|-3.177|L13a-mediated translational silencing of Ceruloplasmin expression,GRP1|6_R-HSA-1799339|-3.166|SRP-dependent cotranslational protein targeting to membrane,GRP1|6_R-HSA-72706|-3.166|GTP hydrolysis and joining of the 60S ribosomal subunit,GRP1|6_R-HSA-2408522|-3.100|Selenoamino acid metabolism,GRP1|6_R-HSA-72613|-3.090|Eukaryotic Translation Initiation,GRP1|6_R-HSA-72737|-3.090|Cap-dependent Translation Initiation,GRP1|19_GO:0002181|-3.019|cytoplasmic translation,GRP1|6_R-HSA-9711097|-2.754|Cellular response to starvation,GRP1|24_hsa03010|-2.656|Ribosome,GRP1|6_R-HSA-9010553|-2.641|Regulation of expression of SLITs and ROBOs,GRP1|6_R-HSA-6791226|-2.552|Major pathway of rRNA processing in the nucleolus and cytosol,GRP1|6_R-HSA-8868773|-2.487|rRNA processing in the nucleus and cytosol,GRP1|6_R-HSA-72312|-2.427|rRNA processing,GRP1|6_R-HSA-376176|-2.347|Signaling by ROBO receptors,GRP1|24_hsa05171|-2.272|Coronavirus disease - COVID-19,GRP1|6_R-HSA-72766|-2.004|Translation,GRP2|19_GO:0051259|-3.223|protein complex oligomerization,GRP2|19_GO:0051260|-3.675|protein homooligomerization,GRP3|19_GO:0008202|-2.150|steroid metabolic process,GRP3|6_R-HSA-8957322|-2.770|Metabolism of steroids,GRP3|19_GO:0016042|-2.008|lipid catabolic process,GRP4|19_GO:0099177|-2.178|regulation of trans-synaptic signaling,GRP4|19_GO:0050804|-2.181|modulation of chemical synaptic transmission,GRP4|6_R-HSA-112316|-2.462|Neuronal System,GRP4|6_R-HSA-112315|-2.096|Transmission across Chemical Synapses,GRP5|24_hsa04144|-2.187|Endocytosis,_SORT_,_SORT_GRP1_,_SORT_GRP2_,_SORT_GRP3_,_SORT_GRP4_,_SORT_GRP5_
8541,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.0,11,0,0,0,2,0
6307,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,15,0,0,2,0,0
6235,0.0,0.0,0.0,0.0,1.0,0.2,0.1,0.1,0.3,0.3,0.1,0.1,0.1,0.1,0.1,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,2,0,0,0,0
51170,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,13,0,0,1,0,0
79734,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,2,0,0,0
1759,1.0,0.5,1.0,0.0,0.05405405405405406,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.1,1,9,1,0,4,2
3748,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,3,0,3,0,6,0
55621,0.0,0.0,0.0,0.0,0.02702702702702703,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,7,0,0,0,0
118813,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,6,0,0,0,0,1
23225,0.0,0.0,0.0,0.0,0.10810810810810811,0.2,0.0,0.0,0.3,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,5,0,0,0,0
2720,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,16,0,0,5,0,0
39,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,14,0,0,4,0,0
57576,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,12,0,0,0,5,0
55005,0.0,0.0,0.0,0.0,0.10810810810810811,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,4,0,0,0,0
2901,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.0,10,0,0,0,1,0
56006,0.0,0.0,0.0,0.0,0.08108108108108109,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,6,0,0,0,0
5621,1.0,0.5,0.0,0.0,0.05405405405405406,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,2,8,4,0,3,0
6167,0.0,0.0,0.0,0.0,0.972972972972973,0.2,0.1,0.1,0.3,0.3,0.0,0.1,0.1,0.1,0.1,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,3,0,0,0,0
3949,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,5,0,0,3,0,3
