_MEMBER_Tbc1d13,_LogP_Tbc1d13,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff,GROUP_ID,FirstInGroupByEnrichment,FirstInGroupByLogP,BestLogPInGroup,BestEnrichmentInGroup,URL
1,-4.531004746390381,R-HSA-927802,M1,1,0,Reactome Gene Sets,6,Nonsense-Mediated Decay (NMD),,-4.531004746390381,22.70314842578711,9.134102724164622,30286,116,46,4,8.695652173913043,4.154491677851779,6167|6223|6235|56006,RPL37|RPS19|RPS29|SMG9,-0.5046553707615126,0,1,1,1,-4.531004746390381,24.689673913043478,
1,-4.531004746390381,R-HSA-975957,M1,1,0,Reactome Gene Sets,6,Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC),,-4.531004746390381,22.70314842578711,9.134102724164622,30286,116,46,4,8.695652173913043,4.154491677851779,6167|6223|6235|56006,RPL37|RPS19|RPS29|SMG9,-0.5046553707615126,0,1,0,0,-4.531004746390381,24.689673913043478,
1,-4.260934555861545,R-HSA-168273,M1,1,0,Reactome Gene Sets,6,Influenza Viral RNA Transcription and Replication,,-4.260934555861545,19.364450127877237,8.371543466586209,30286,136,46,4,8.695652173913043,4.154491677851779,6167|6223|6235|23225,RPL37|RPS19|RPS29|NUP210,-0.410676439288358,0,1,0,0,-4.531004746390381,24.689673913043478,
1,-4.018983449582924,R-HSA-168255,M1,1,0,Reactome Gene Sets,6,Influenza Infection,,-4.018983449582924,16.774300747715316,7.728752422130283,30286,157,46,4,8.695652173913043,4.154491677851779,6167|6223|6235|23225,RPL37|RPS19|RPS29|NUP210,-0.2936640696180372,0,1,0,0,-4.531004746390381,24.689673913043478,
1,-3.6051696869156977,CORUM:306,M1,1,0,CORUM,33,"Ribosome, cytoplasmic",,-3.6051696869156977,24.689673913043478,8.274833778771614,30286,80,46,3,6.521739130434782,3.640475457952884,6167|6223|6235,RPL37|RPS19|RPS29,-0.12403594072556044,0,1,0,0,-4.531004746390381,24.689673913043478,
1,-3.4544764481790167,R-HSA-156902,M1,1,0,Reactome Gene Sets,6,Peptide chain elongation,,-3.4544764481790167,21.946376811594202,7.76170745380451,30286,90,46,3,6.521739130434782,3.640475457952884,6167|6223|6235,RPL37|RPS19|RPS29,-0.12403594072556044,0,1,0,0,-4.531004746390381,24.689673913043478,
1,-3.4544764481790167,R-HSA-192823,M1,1,0,Reactome Gene Sets,6,Viral mRNA Translation,,-3.4544764481790167,21.946376811594202,7.76170745380451,30286,90,46,3,6.521739130434782,3.640475457952884,6167|6223|6235,RPL37|RPS19|RPS29,-0.12403594072556044,0,1,0,0,-4.531004746390381,24.689673913043478,
1,-3.3990365080970246,R-HSA-156842,M1,1,0,Reactome Gene Sets,6,Eukaryotic Translation Elongation,,-3.3990365080970246,21.012488436632747,7.57915677946432,30286,94,46,3,6.521739130434782,3.640475457952884,6167|6223|6235,RPL37|RPS19|RPS29,-0.12403594072556044,0,1,0,0,-4.531004746390381,24.689673913043478,
1,-3.3990365080970246,R-HSA-2408557,M1,1,0,Reactome Gene Sets,6,Selenocysteine synthesis,,-3.3990365080970246,21.012488436632747,7.57915677946432,30286,94,46,3,6.521739130434782,3.640475457952884,6167|6223|6235,RPL37|RPS19|RPS29,-0.12403594072556044,0,1,0,0,-4.531004746390381,24.689673913043478,
1,-3.3990365080970246,R-HSA-72764,M1,1,0,Reactome Gene Sets,6,Eukaryotic Translation Termination,,-3.3990365080970246,21.012488436632747,7.57915677946432,30286,94,46,3,6.521739130434782,3.640475457952884,6167|6223|6235,RPL37|RPS19|RPS29,-0.12403594072556044,0,1,0,0,-4.531004746390381,24.689673913043478,
1,-3.372234065970785,R-HSA-975956,M1,1,0,Reactome Gene Sets,6,Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC),,-3.372234065970785,20.574728260869566,7.492066322770796,30286,96,46,3,6.521739130434782,3.640475457952884,6167|6223|6235,RPL37|RPS19|RPS29,-0.12403594072556044,0,1,0,0,-4.531004746390381,24.689673913043478,
1,-3.2951995511348855,R-HSA-72689,M1,1,0,Reactome Gene Sets,6,Formation of a pool of free 40S subunits,,-3.2951995511348855,19.364450127877237,7.245884888551384,30286,102,46,3,6.521739130434782,3.640475457952884,6167|6223|6235,RPL37|RPS19|RPS29,-0.11394821552027405,0,1,0,0,-4.531004746390381,24.689673913043478,
1,-3.2951995511348855,R-HSA-9633012,M1,1,0,Reactome Gene Sets,6,Response of EIF2AK4 (GCN2) to amino acid deficiency,,-3.2951995511348855,19.364450127877237,7.245884888551384,30286,102,46,3,6.521739130434782,3.640475457952884,6167|6223|6235,RPL37|RPS19|RPS29,-0.11394821552027405,0,1,0,0,-4.531004746390381,24.689673913043478,
1,-3.1767928949296,R-HSA-156827,M1,1,0,Reactome Gene Sets,6,L13a-mediated translational silencing of Ceruloplasmin expression,,-3.1767928949296,17.635481366459626,6.8790703672233535,30286,112,46,3,6.521739130434782,3.640475457952884,6167|6223|6235,RPL37|RPS19|RPS29,-0.10484248576321156,0,1,0,0,-4.531004746390381,24.689673913043478,
1,-3.1655675646417762,R-HSA-1799339,M1,1,0,Reactome Gene Sets,6,SRP-dependent cotranslational protein targeting to membrane,,-3.1655675646417762,17.479415159676797,6.845002036531782,30286,113,46,3,6.521739130434782,3.640475457952884,6167|6223|6235,RPL37|RPS19|RPS29,-0.10484248576321156,0,1,0,0,-4.531004746390381,24.689673913043478,
1,-3.1655675646417762,R-HSA-72706,M1,1,0,Reactome Gene Sets,6,GTP hydrolysis and joining of the 60S ribosomal subunit,,-3.1655675646417762,17.479415159676797,6.845002036531782,30286,113,46,3,6.521739130434782,3.640475457952884,6167|6223|6235,RPL37|RPS19|RPS29,-0.10484248576321156,0,1,0,0,-4.531004746390381,24.689673913043478,
1,-3.1137246461360637,R-HSA-8953854,M1,1,0,Reactome Gene Sets,6,Metabolism of RNA,,-3.1137246461360637,5.4412504491555875,4.7241444802569665,30286,726,46,6,13.043478260869565,4.965567310610093,6167|6223|6235|23225|55621|56006,RPL37|RPS19|RPS29|NUP210|TRMT1|SMG9,-0.10484248576321156,0,1,0,0,-4.531004746390381,24.689673913043478,
1,-3.1003342863432515,R-HSA-2408522,M1,1,0,Reactome Gene Sets,6,Selenoamino acid metabolism,,-3.1003342863432515,16.59810010960906,6.649376647213141,30286,119,46,3,6.521739130434782,3.640475457952884,6167|6223|6235,RPL37|RPS19|RPS29,-0.10484248576321156,0,1,0,0,-4.531004746390381,24.689673913043478,
1,-3.089799176233855,R-HSA-72613,M1,1,0,Reactome Gene Sets,6,Eukaryotic Translation Initiation,,-3.089799176233855,16.45978260869565,6.618155296898021,30286,120,46,3,6.521739130434782,3.640475457952884,6167|6223|6235,RPL37|RPS19|RPS29,-0.10484248576321156,0,1,0,0,-4.531004746390381,24.689673913043478,
1,-3.089799176233855,R-HSA-72737,M1,1,0,Reactome Gene Sets,6,Cap-dependent Translation Initiation,,-3.089799176233855,16.45978260869565,6.618155296898021,30286,120,46,3,6.521739130434782,3.640475457952884,6167|6223|6235,RPL37|RPS19|RPS29,-0.10484248576321156,0,1,0,0,-4.531004746390381,24.689673913043478,
1,-3.018546414091953,GO:0002181,M1,1,0,GO Biological Processes,19,cytoplasmic translation,19_GO:0008152 metabolic process,-3.018546414091953,15.55255049640534,6.4096500406690655,30286,127,46,3,6.521739130434782,3.640475457952884,6167|6223|6235,RPL37|RPS19|RPS29,-0.052894878816696383,0,1,0,0,-4.531004746390381,24.689673913043478,
1,-2.848953756144978,R-HSA-422475,M1,1,0,Reactome Gene Sets,6,Axon guidance,,-2.848953756144978,6.007219930180895,4.613525010032418,30286,548,46,5,10.869565217391305,4.589233794446206,1759|5621|6167|6223|6235,DNM1|PRNP|RPL37|RPS19|RPS29,0.0,0,1,0,0,-4.531004746390381,24.689673913043478,
1,-2.76394516717283,R-HSA-9675108,M1,1,0,Reactome Gene Sets,6,Nervous system development,,-2.76394516717283,5.7451248197890585,4.472532570150019,30286,573,46,5,10.869565217391305,4.589233794446206,1759|5621|6167|6223|6235,DNM1|PRNP|RPL37|RPS19|RPS29,0.0,0,1,0,0,-4.531004746390381,24.689673913043478,
1,-2.754068005743316,R-HSA-9711097,M1,1,0,Reactome Gene Sets,6,Cellular response to starvation,,-2.754068005743316,12.580725560786485,5.674074696522957,30286,157,46,3,6.521739130434782,3.640475457952884,6167|6223|6235,RPL37|RPS19|RPS29,0.0,0,1,0,0,-4.531004746390381,24.689673913043478,
1,-2.655749868056976,hsa03010,M1,1,0,KEGG Pathway,24,Ribosome,,-2.655749868056976,11.618670076726342,5.41499120163069,30286,170,46,3,6.521739130434782,3.640475457952884,6167|6223|6235,RPL37|RPS19|RPS29,0.0,0,1,0,0,-4.531004746390381,24.689673913043478,
1,-2.6413395464202805,R-HSA-9010553,M1,1,0,Reactome Gene Sets,6,Regulation of expression of SLITs and ROBOs,,-2.6413395464202805,11.483569261880687,5.3776307767103475,30286,172,46,3,6.521739130434782,3.640475457952884,6167|6223|6235,RPL37|RPS19|RPS29,0.0,0,1,0,0,-4.531004746390381,24.689673913043478,
1,-2.5518387930307793,R-HSA-6791226,M1,1,0,Reactome Gene Sets,6,Major pathway of rRNA processing in the nucleolus and cytosol,,-2.5518387930307793,10.676615746180964,5.148974126618249,30286,185,46,3,6.521739130434782,3.640475457952884,6167|6223|6235,RPL37|RPS19|RPS29,0.0,0,1,0,0,-4.531004746390381,24.689673913043478,
1,-2.532040925528688,GO:0006412,M1,1,0,GO Biological Processes,19,translation,19_GO:0008152 metabolic process,-2.532040925528688,6.718278615794144,4.444451198027482,30286,392,46,4,8.695652173913043,4.154491677851779,6167|6223|6235|55005,RPL37|RPS19|RPS29|RMND1,0.0,0,1,0,0,-4.531004746390381,24.689673913043478,
1,-2.4874727097251674,R-HSA-8868773,M1,1,0,Reactome Gene Sets,6,rRNA processing in the nucleus and cytosol,,-2.4874727097251674,10.129096989966555,4.988025073860847,30286,195,46,3,6.521739130434782,3.640475457952884,6167|6223|6235,RPL37|RPS19|RPS29,0.0,0,1,0,0,-4.531004746390381,24.689673913043478,
1,-2.4384907869584773,R-HSA-9705683,M1,1,0,Reactome Gene Sets,6,SARS-CoV-2-host interactions,,-2.4384907869584773,9.72992075390876,4.8674282675051,30286,203,46,3,6.521739130434782,3.640475457952884,6223|6235|23225,RPS19|RPS29|NUP210,0.0,0,1,0,0,-4.531004746390381,24.689673913043478,
1,-2.426570928419304,R-HSA-72312,M1,1,0,Reactome Gene Sets,6,rRNA processing,,-2.426570928419304,9.634994697773065,4.838321044124875,30286,205,46,3,6.521739130434782,3.640475457952884,6167|6223|6235,RPL37|RPS19|RPS29,0.0,0,1,0,0,-4.531004746390381,24.689673913043478,
1,-2.4214541617556056,GO:0043043,M1,1,0,GO Biological Processes,19,peptide biosynthetic process,19_GO:0008152 metabolic process,-2.4214541617556056,6.255499328720438,4.2352161959648535,30286,421,46,4,8.695652173913043,4.154491677851779,6167|6223|6235|55005,RPL37|RPS19|RPS29|RMND1,0.0,0,1,0,0,-4.531004746390381,24.689673913043478,
1,-2.346505269678737,R-HSA-376176,M1,1,0,Reactome Gene Sets,6,Signaling by ROBO receptors,,-2.346505269678737,9.01905896366885,4.6451765706894275,30286,219,46,3,6.521739130434782,3.640475457952884,6167|6223|6235,RPL37|RPS19|RPS29,0.0,0,1,0,0,-4.531004746390381,24.689673913043478,
1,-2.2718197969663905,hsa05171,M1,1,0,KEGG Pathway,24,Coronavirus disease - COVID-19,,-2.2718197969663905,8.477141257697332,4.468599593200116,30286,233,46,3,6.521739130434782,3.640475457952884,6167|6223|6235,RPL37|RPS19|RPS29,0.0,0,1,0,0,-4.531004746390381,24.689673913043478,
1,-2.0389019586648898,GO:0043604,M1,1,0,GO Biological Processes,19,amide biosynthetic process,19_GO:0008152 metabolic process,-2.0389019586648898,4.8589764158511155,3.535687660668105,30286,542,46,4,8.695652173913043,4.154491677851779,6167|6223|6235|55005,RPL37|RPS19|RPS29|RMND1,0.0,0,1,0,0,-4.531004746390381,24.689673913043478,
1,-2.0144982329170347,GO:0006518,M1,1,0,GO Biological Processes,19,peptide metabolic process,19_GO:0008152 metabolic process,-2.0144982329170347,4.779610194902549,3.492131998720238,30286,551,46,4,8.695652173913043,4.154491677851779,6167|6223|6235|55005,RPL37|RPS19|RPS29|RMND1,0.0,0,1,0,0,-4.531004746390381,24.689673913043478,
1,-2.003565014196886,R-HSA-72766,M1,1,0,Reactome Gene Sets,6,Translation,,-2.003565014196886,6.764294222751638,3.8603100162571438,30286,292,46,3,6.521739130434782,3.640475457952884,6167|6223|6235,RPL37|RPS19|RPS29,0.0,0,1,0,0,-4.531004746390381,24.689673913043478,
1,-3.6745122430014168,GO:0051260,M1,1,0,GO Biological Processes,19,protein homooligomerization,19_GO:0009987 cellular process,-3.6745122430014168,13.645415634151837,6.873545816023363,30286,193,46,4,8.695652173913043,4.154491677851779,1759|3748|5621|79734,DNM1|KCNC3|PRNP|KCTD17,-0.12403594072556044,0,2,1,1,-3.6745122430014168,13.645415634151837,
1,-3.223407704933429,GO:0051259,M1,1,0,GO Biological Processes,19,protein complex oligomerization,19_GO:0009987 cellular process,-3.223407704933429,10.36836699760356,5.847772082409132,30286,254,46,4,8.695652173913043,4.154491677851779,1759|3748|5621|79734,DNM1|KCNC3|PRNP|KCTD17,-0.10484248576321156,0,2,0,0,-3.6745122430014168,13.645415634151837,
1,-2.769961179458531,R-HSA-8957322,M1,1,0,Reactome Gene Sets,6,Metabolism of steroids,,-2.769961179458531,12.74305750350631,5.716656210789523,30286,155,46,3,6.521739130434782,3.640475457952884,39|6307|51170,ACAT2|MSMO1|HSD17B11,0.0,0,3,1,1,-2.769961179458531,12.74305750350631,
1,-2.1499180321234967,GO:0008202,M1,1,0,GO Biological Processes,19,steroid metabolic process,19_GO:0008152 metabolic process,-2.1499180321234967,7.655712841253791,4.187386388453097,30286,258,46,3,6.521739130434782,3.640475457952884,3949|6307|51170,LDLR|MSMO1|HSD17B11,0.0,0,3,0,0,-2.769961179458531,12.74305750350631,
1,-2.0075937111231403,GO:0016042,M1,1,0,GO Biological Processes,19,lipid catabolic process,19_GO:0008152 metabolic process,-2.0075937111231403,6.7875392200806814,3.8691700722345845,30286,291,46,3,6.521739130434782,3.640475457952884,39|2720|51170,ACAT2|GLB1|HSD17B11,0.0,0,3,0,0,-2.769961179458531,12.74305750350631,
1,-2.462358896806485,R-HSA-112316,M1,1,0,Reactome Gene Sets,6,Neuronal System,,-2.462358896806485,6.423329798515377,4.312196369037529,30286,410,46,4,8.695652173913043,4.154491677851779,2901|3748|8541|57576,GRIK5|KCNC3|PPFIA3|KIF17,0.0,0,4,1,1,-2.462358896806485,7.315458937198067,
1,-2.1806462380324985,GO:0050804,M1,1,0,GO Biological Processes,19,modulation of chemical synaptic transmission,19_GO:0050789 regulation of biological process,-2.1806462380324985,5.34191727665579,3.790964326412963,30286,493,46,4,8.695652173913043,4.154491677851779,1759|2901|5621|8541,DNM1|GRIK5|PRNP|PPFIA3,0.0,0,4,0,0,-2.462358896806485,7.315458937198067,
