_MEMBER_Abi2,_LogP_Abi2,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-6.2,M39290,M1,1,0,Cell Type Signatures,7,DURANTE ADULT OLFACTORY NEUROEPITHELIUM OLFACTORY ENSHEATHING GLIA,,-6.2,59,15,30286,115,18,4,22,9.8,348|1471|5621|5764,APOE|CST3|PRNP|PTN,-2,0
1,-4.9,M40001,M1,1,0,Cell Type Signatures,7,BUSSLINGER ESOPHAGEAL QUIESCENT BASAL CELLS,,-4.9,66,14,30286,77,18,3,17,8.8,2495|5621|22883,FTH1|PRNP|CLSTN1,-1.1,0
1,-4.7,M39079,M1,1,0,Cell Type Signatures,7,ZHONG PFC MAJOR TYPES OPC,,-4.7,55,13,30286,91,18,3,17,8.8,1471|5764|79966,CST3|PTN|SCD5,-1.1,0
1,-4.4,M39053,M1,1,0,Cell Type Signatures,7,MANNO MIDBRAIN NEUROTYPES HRGL2C,,-4.4,21,8.7,30286,326,18,4,22,9.8,1471|2823|5764|79966,CST3|GPM6A|PTN|SCD5,-1.1,0
1,-4.2,M39020,M1,1,0,Cell Type Signatures,7,FAN EMBRYONIC CTX BIG GROUPS GLIAL,,-4.2,38,10,30286,133,18,3,17,8.8,1471|5621|5764,CST3|PRNP|PTN,-0.94,0
1,-3.8,M41701,M1,1,0,Cell Type Signatures,7,TRAVAGLINI LUNG NONCLASSICAL MONOCYTE CELL,,-3.8,28,8.9,30286,180,18,3,17,8.8,1471|2495|81671,CST3|FTH1|VMP1,-0.69,0
1,-3.7,M41690,M1,1,0,Cell Type Signatures,7,TRAVAGLINI LUNG BASOPHIL MAST 2 CELL,,-3.7,13,6.8,30286,502,18,4,22,9.8,2495|5621|7534|81671,FTH1|PRNP|YWHAZ|VMP1,-0.63,0
1,-3.7,M41692,M1,1,0,Cell Type Signatures,7,TRAVAGLINI LUNG MACROPHAGE CELL,,-3.7,25,8.4,30286,201,18,3,17,8.8,348|1471|2495,APOE|CST3|FTH1,-0.62,0
1,-3.2,M39271,M1,1,0,Cell Type Signatures,7,HU FETAL RETINA RPE,,-3.2,17,6.8,30286,292,18,3,17,8.8,348|1471|5621,APOE|CST3|PRNP,-0.33,0
1,-3.1,M39074,M1,1,0,Cell Type Signatures,7,ZHONG PFC MAJOR TYPES ASTROCYTES,,-3.1,16,6.4,30286,325,18,3,17,8.8,348|1471|5764,APOE|CST3|PTN,-0.26,0
1,-3,M41751,M1,1,0,Cell Type Signatures,7,RUBENSTEIN SKELETAL MUSCLE MYELOID CELLS,,-3,15,6.2,30286,347,18,3,17,8.8,1471|2495|81671,CST3|FTH1|VMP1,-0.2,0
1,-2.9,M39052,M1,1,0,Cell Type Signatures,7,MANNO MIDBRAIN NEUROTYPES HOPC,,-2.9,14,6,30286,366,18,3,17,8.8,2823|5764|79966,GPM6A|PTN|SCD5,-0.15,0
1,-2.9,M39231,M1,1,0,Cell Type Signatures,7,LAKE ADULT KIDNEY C12 THICK ASCENDING LIMB,,-2.9,13,5.9,30286,381,18,3,17,8.8,1471|2495|79966,CST3|FTH1|SCD5,-0.12,0
1,-2.7,M41720,M1,1,0,Cell Type Signatures,7,FAN OVARY CL18 B LYMPHOCYTE,,-2.7,12,5.5,30286,422,18,3,17,8.8,1471|2495|7534,CST3|FTH1|YWHAZ,-0.035,0
1,-2.7,M39054,M1,1,0,Cell Type Signatures,7,MANNO MIDBRAIN NEUROTYPES HRGL2B,,-2.7,11,5.4,30286,440,18,3,17,8.8,1471|5764|79966,CST3|PTN|SCD5,-0.015,0
1,-2.6,M41715,M1,1,0,Cell Type Signatures,7,FAN OVARY CL13 MONOCYTE MACROPHAGE,,-2.6,11,5.3,30286,458,18,3,17,8.8,1471|2495|7534,CST3|FTH1|YWHAZ,0,0
1,-2.5,M39167,M1,1,0,Cell Type Signatures,7,GAO LARGE INTESTINE ADULT CJ IMMUNE CELLS,,-2.5,10,5,30286,505,18,3,17,8.8,348|5764|79966,APOE|PTN|SCD5,0,0
