Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
DisGeNET,35,C0018523,Hallervorden-Spatz Syndrome,,-6.6,2.3e+02,26,30286,22,18,3,17,8.8,348|5764|7534,APOE|PTN|YWHAZ,-2.1,Abi2
Cell Type Signatures,7,M39290,DURANTE ADULT OLFACTORY NEUROEPITHELIUM OLFACTORY ENSHEATHING GLIA,,-6.2,59,15,30286,115,18,4,22,9.8,348|1471|5621|5764,APOE|CST3|PRNP|PTN,-2,Abi2
DisGeNET,35,C0085220,Cerebral Amyloid Angiopathy,,-5.1,78,15,30286,65,18,3,17,8.8,348|1471|5621,APOE|CST3|PRNP,-1.1,Abi2
DisGeNET,35,C0234985,Mental deterioration,,-5,17,8.6,30286,508,18,5,28,11,348|1471|2557|5621|7534,APOE|CST3|GABRA4|PRNP|YWHAZ,-1.1,Abi2
Cell Type Signatures,7,M40001,BUSSLINGER ESOPHAGEAL QUIESCENT BASAL CELLS,,-4.9,66,14,30286,77,18,3,17,8.8,2495|5621|22883,FTH1|PRNP|CLSTN1,-1.1,Abi2
DisGeNET,35,C0751713,"Inclusion Body Myopathy, Sporadic",,-4.8,60,13,30286,84,18,3,17,8.8,348|1471|5621,APOE|CST3|PRNP,-1.1,Abi2
DisGeNET,35,C0525045,Mood Disorders,,-4.8,15,8,30286,580,18,5,28,11,348|2823|5621|7534|27445,APOE|GPM6A|PRNP|YWHAZ|PCLO,-1.1,Abi2
Cell Type Signatures,7,M39079,ZHONG PFC MAJOR TYPES OPC,,-4.7,55,13,30286,91,18,3,17,8.8,1471|5764|79966,CST3|PTN|SCD5,-1.1,Abi2
DisGeNET,35,C4086152,Childhood Astrocytoma,,-4.6,14,7.7,30286,615,18,5,28,11,348|1471|2495|5621|7534,APOE|CST3|FTH1|PRNP|YWHAZ,-1.1,Abi2
DisGeNET,35,C0750900,"Alzheimer's Disease, Focal Onset",,-4.6,51,12,30286,99,18,3,17,8.8,348|1471|5621,APOE|CST3|PRNP,-1.1,Abi2
DisGeNET,35,C0546126,Acute Confusional Senile Dementia,,-4.6,51,12,30286,99,18,3,17,8.8,348|1471|5621,APOE|CST3|PRNP,-1.1,Abi2
DisGeNET,35,C0041696,Unipolar Depression,,-4.5,13,7.6,30286,641,18,5,28,11,348|2495|2823|5621|27445,APOE|FTH1|GPM6A|PRNP|PCLO,-1.1,Abi2
Cell Type Signatures,7,M39053,MANNO MIDBRAIN NEUROTYPES HRGL2C,,-4.4,21,8.7,30286,326,18,4,22,9.8,1471|2823|5764|79966,CST3|GPM6A|PTN|SCD5,-1.1,Abi2
DisGeNET,35,C1842937,"AURAL ATRESIA, CONGENITAL",,-4.4,46,12,30286,110,18,3,17,8.8,348|1471|5621,APOE|CST3|PRNP,-1.1,Abi2
DisGeNET,35,C3811918,GRN-related frontotemporal dementia,,-4.4,45,11,30286,112,18,3,17,8.8,348|1471|5621,APOE|CST3|PRNP,-1.1,Abi2
DisGeNET,35,C2936349,"Plaque, Amyloid",,-4.3,41,11,30286,123,18,3,17,8.8,348|1471|5621,APOE|CST3|PRNP,-0.99,Abi2
DisGeNET,35,C0242422,Parkinsonian Disorders,,-4.2,18,8.1,30286,373,18,4,22,9.8,348|1471|5621|7534,APOE|CST3|PRNP|YWHAZ,-0.94,Abi2
Cell Type Signatures,7,M39020,FAN EMBRYONIC CTX BIG GROUPS GLIAL,,-4.2,38,10,30286,133,18,3,17,8.8,1471|5621|5764,CST3|PRNP|PTN,-0.94,Abi2
DisGeNET,35,C0271084,Exudative age-related macular degeneration,,-4,32,9.5,30286,158,18,3,17,8.8,348|1471|5764,APOE|CST3|PTN,-0.76,Abi2
DisGeNET,35,C0002895,"Anemia, Sickle Cell",,-4,16,7.4,30286,433,18,4,22,9.8,348|1471|5621|79966,APOE|CST3|PRNP|SCD5,-0.76,Abi2
DisGeNET,35,C0018378,Guillain-Barre Syndrome,,-3.9,31,9.4,30286,163,18,3,17,8.8,348|1471|7534,APOE|CST3|YWHAZ,-0.75,Abi2
