_MEMBER_Abi2,Gene,_PATTERN_,_WEIGHTED_RANK_,_RANK_
1,7534,M1,0.05555555555555555,1
1,64137,M1,0.05555555555555555,1
1,27445,M1,0.05555555555555555,1
1,56255,M1,0.05555555555555555,1
1,5621,M1,0.05555555555555555,1
1,348,M1,0.05555555555555555,1
1,161725,M1,0.05555555555555555,1
1,79966,M1,0.05555555555555555,1
1,1471,M1,0.05555555555555555,1
1,5764,M1,0.05555555555555555,1
1,64840,M1,0.05555555555555555,1
1,81671,M1,0.05555555555555555,1
1,2557,M1,0.05555555555555555,1
1,22883,M1,0.05555555555555555,1
1,2495,M1,0.05555555555555555,1
1,116966,M1,0.05555555555555555,1
1,2823,M1,0.05555555555555555,1
1,3760,M1,0.05555555555555555,1
