Gene,_SCORE_GRP2_,_SCORE_GRP11_,_SCORE_GRP4_,_SCORE_GRP1_,_SCORE_GRP7_,_SCORE_GRP5_,_SCORE_GRP9_,_SCORE_GRP8_,_SCORE_GRP6_,_SCORE_GRP3_,_SCORE_GRP10_,_SCORE_GRP12_,GRP1|19_GO:1903522|-5.610|regulation of blood circulation,GRP1|19_GO:0008016|-6.111|regulation of heart contraction,GRP1|19_GO:0044057|-3.991|regulation of system process,GRP1|19_GO:0034765|-4.973|regulation of monoatomic ion transmembrane transport,GRP1|19_GO:1904062|-5.229|regulation of monoatomic cation transmembrane transport,GRP1|19_GO:0010959|-4.719|regulation of metal ion transport,GRP1|19_GO:0043269|-4.354|regulation of monoatomic ion transport,GRP1|19_GO:0034762|-4.272|regulation of transmembrane transport,GRP1|19_GO:0042391|-4.462|regulation of membrane potential,GRP1|19_GO:0002027|-5.733|regulation of heart rate,GRP1|19_GO:0022898|-4.379|regulation of transmembrane transporter activity,GRP1|19_GO:0032412|-4.439|regulation of monoatomic ion transmembrane transporter activity,GRP1|19_GO:0032409|-4.165|regulation of transporter activity,GRP1|6_R-HSA-5576891|-3.709|Cardiac conduction,GRP1|6_R-HSA-5576892|-5.481|Phase 0 - rapid depolarisation,GRP1|6_R-HSA-397014|-3.150|Muscle contraction,GRP1|19_GO:0003013|-2.038|circulatory system process,GRP1|19_GO:0008015|-2.271|blood circulation,GRP1|19_GO:0051899|-4.845|membrane depolarization,GRP2|19_GO:0099177|-5.496|regulation of trans-synaptic signaling,GRP2|19_GO:0050804|-5.502|modulation of chemical synaptic transmission,GRP2|19_GO:0050803|-2.906|regulation of synapse structure or activity,GRP2|19_GO:0050807|-2.937|regulation of synapse organization,GRP2|19_GO:0050808|-2.532|synapse organization,GRP2|19_GO:0051960|-2.135|regulation of nervous system development,GRP3|19_GO:0070848|-3.022|response to growth factor,GRP3|19_GO:0071363|-3.124|cellular response to growth factor stimulus,GRP3|19_GO:0009791|-4.246|post-embryonic development,GRP4|6_R-HSA-372790|-3.518|Signaling by GPCR,GRP4|6_R-HSA-388396|-3.743|GPCR downstream signalling,GRP4|6_R-HSA-418594|-2.603|G alpha (i) signalling events,GRP4|19_GO:0090257|-2.926|regulation of muscle system process,GRP4|24_hsa04024|-3.033|cAMP signaling pathway,GRP5|24_hsa04261|-3.512|Adrenergic signaling in cardiomyocytes,GRP5|24_hsa04728|-3.709|Dopaminergic synapse,GRP6|19_GO:0008277|-3.563|regulation of G protein-coupled receptor signaling pathway,GRP7|19_GO:0031401|-2.413|positive regulation of protein modification process,GRP7|19_GO:0010563|-3.537|negative regulation of phosphorus metabolic process,GRP7|19_GO:0045936|-3.542|negative regulation of phosphate metabolic process,GRP7|19_GO:0031400|-3.345|negative regulation of protein modification process,GRP7|19_GO:0042326|-2.611|negative regulation of phosphorylation,GRP7|19_GO:0001933|-2.692|negative regulation of protein phosphorylation,GRP7|19_GO:0045859|-2.130|regulation of protein kinase activity,GRP7|19_GO:0010035|-3.000|response to inorganic substance,GRP7|19_GO:0010038|-2.452|response to metal ion,GRP7|24_hsa05022|-2.115|Pathways of neurodegeneration - multiple diseases,GRP7|19_GO:0051924|-2.916|regulation of calcium ion transport,GRP7|6_R-HSA-5653656|-2.611|Vesicle-mediated transport,GRP7|6_R-HSA-199991|-2.705|Membrane Trafficking,GRP7|6_R-HSA-195258|-2.573|RHO GTPase Effectors,GRP7|6_R-HSA-5684996|-2.734|MAPK1/MAPK3 signaling,GRP7|6_R-HSA-5673001|-2.760|RAF/MAP kinase cascade,GRP7|6_R-HSA-5683057|-2.577|MAPK family signaling cascades,GRP7|6_R-HSA-5663202|-2.159|Diseases of signal transduction by growth factor receptors and second messengers,GRP8|24_hsa04151|-2.455|PI3K-Akt signaling pathway,GRP8|24_hsa04390|-3.487|Hippo signaling pathway,GRP9|6_R-HSA-71387|-2.717|Metabolism of carbohydrates,GRP10|19_GO:0061564|-2.262|axon development,GRP10|19_GO:0007409|-2.431|axonogenesis,GRP10|19_GO:0048667|-2.209|cell morphogenesis involved in neuron differentiation,GRP10|19_GO:0048812|-2.096|neuron projection morphogenesis,GRP10|19_GO:0120039|-2.083|plasma membrane bounded cell projection morphogenesis,GRP10|19_GO:0048858|-2.071|cell projection morphogenesis,GRP11|19_GO:0098916|-2.279|anterograde trans-synaptic signaling,GRP11|19_GO:0007268|-2.279|chemical synaptic transmission,GRP11|19_GO:0099537|-2.231|trans-synaptic signaling,GRP11|19_GO:0099536|-2.153|synaptic signaling,GRP12|19_GO:0009611|-2.248|response to wounding,_SORT_,_SORT_GRP1_,_SORT_GRP2_,_SORT_GRP3_,_SORT_GRP4_,_SORT_GRP5_,_SORT_GRP6_,_SORT_GRP7_,_SORT_GRP8_,_SORT_GRP9_,_SORT_GRP10_,_SORT_GRP11_,_SORT_GRP12_
801,0.0,0.0,1.0,0.8421052631578947,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3,0.4,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.0,0.1,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,0,0,2,2,0,1,0,2,0,0,0
140735,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,0,0,0,0,0,0,6,0,0,0,0,0
9951,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0,0,0,0,0,0,0,0,1,0,0,0
3096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,0,0,4,0,0,0,0,0,0,0,0,0
55534,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,0,0,0,0,0,0,12,0,0,0,0,0
147381,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.0,5,0,2,0,0,0,0,0,0,0,0,2,0
6327,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.4,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.3,0.2,0.1,0.1,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.0,6,2,0,0,0,0,0,0,0,0,0,1,0
94032,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,0,0,0,0,0,0,4,0,0,0,0,0
6324,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.4,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.3,0.2,0.1,0.1,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,3,1,0,0,0,3,0,0,0,0,2,0,0
9883,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0,0,0,0,0,0,0,0,3,0,0,0
