_MEMBER_Hdac4,_LogP_Hdac4,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff,GROUP_ID,FirstInGroupByEnrichment,FirstInGroupByLogP,BestLogPInGroup,BestEnrichmentInGroup,URL
1,-6.111287037362058,GO:0008016,M1,1,0,GO Biological Processes,19,regulation of heart contraction,19_GO:0032501 multicellular organismal process,-6.111287037362058,28.55015082956259,11.573153468682767,30286,204,26,5,19.23076923076923,7.729201466043273,801|1129|5999|6324|6327,CALM1|CHRM2|RGS4|SCN1B|SCN2B,-1.932008227182555,0,1,1,1,-6.111287037362058,102.78054298642533,
1,-5.73270091275509,GO:0002027,M1,1,0,GO Biological Processes,19,regulation of heart rate,19_GO:0032501 multicellular organismal process,-5.73270091275509,44.80177514792899,13.115968798368984,30286,104,26,4,15.384615384615385,7.07589393082923,801|5999|6324|6327,CALM1|RGS4|SCN1B|SCN2B,-1.932008227182555,0,1,0,0,-6.111287037362058,102.78054298642533,
1,-5.610416283349376,GO:1903522,M1,1,0,GO Biological Processes,19,regulation of blood circulation,19_GO:0032501 multicellular organismal process,-5.610416283349376,22.574537865235538,10.201267884649907,30286,258,26,5,19.23076923076923,7.729201466043273,801|1129|5999|6324|6327,CALM1|CHRM2|RGS4|SCN1B|SCN2B,-1.932008227182555,0,1,0,0,-6.111287037362058,102.78054298642533,
1,-5.481236348091761,R-HSA-5576892,M1,1,0,Reactome Gene Sets,6,Phase 0 - rapid depolarisation,,-5.481236348091761,102.78054298642533,17.405767466954835,30286,34,26,3,11.538461538461538,6.265626800161944,801|6324|6327,CALM1|SCN1B|SCN2B,-1.932008227182555,0,1,0,0,-6.111287037362058,102.78054298642533,
1,-5.228758761301684,GO:1904062,M1,1,0,GO Biological Processes,19,regulation of monoatomic cation transmembrane transport,19_GO:0051179 localization,-5.228758761301684,18.84864326611899,9.243924004937316,30286,309,26,5,19.23076923076923,7.729201466043273,801|5621|5999|6324|6327,CALM1|PRNP|RGS4|SCN1B|SCN2B,-1.7464774300230914,0,1,0,0,-6.111287037362058,102.78054298642533,
1,-4.972877466122969,GO:0034765,M1,1,0,GO Biological Processes,19,regulation of monoatomic ion transmembrane transport,19_GO:0051179 localization,-4.972877466122969,16.688340312982145,8.64075273473864,30286,349,26,5,19.23076923076923,7.729201466043273,801|5621|5999|6324|6327,CALM1|PRNP|RGS4|SCN1B|SCN2B,-1.5485880818220632,0,1,0,0,-6.111287037362058,102.78054298642533,
1,-4.844540938143129,GO:0051899,M1,1,0,GO Biological Processes,19,membrane depolarization,19_GO:0065007 biological regulation,-4.844540938143129,63.537062937062935,13.606880476045674,30286,55,26,3,11.538461538461538,6.265626800161944,4297|6324|6327,KMT2A|SCN1B|SCN2B,-1.4714040762896041,0,1,0,0,-6.111287037362058,102.78054298642533,
1,-4.719434890379593,GO:0010959,M1,1,0,GO Biological Processes,19,regulation of metal ion transport,19_GO:0051179 localization,-4.719434890379593,14.782311597032407,8.071582492927604,30286,394,26,5,19.23076923076923,7.729201466043273,801|5621|5999|6324|6327,CALM1|PRNP|RGS4|SCN1B|SCN2B,-1.3920555190867434,0,1,0,0,-6.111287037362058,102.78054298642533,
1,-4.462062956310037,GO:0042391,M1,1,0,GO Biological Processes,19,regulation of membrane potential,19_GO:0065007 biological regulation,-4.462062956310037,13.05881338392549,7.520359387021309,30286,446,26,5,19.23076923076923,7.729201466043273,801|4297|5999|6324|6327,CALM1|KMT2A|RGS4|SCN1B|SCN2B,-1.191133722143461,0,1,0,0,-6.111287037362058,102.78054298642533,
1,-4.439331847388686,GO:0032412,M1,1,0,GO Biological Processes,19,regulation of monoatomic ion transmembrane transporter activity,19_GO:0051179 localization,-4.439331847388686,21.08318830490776,8.78343100536921,30286,221,26,4,15.384615384615385,7.07589393082923,801|5621|6324|6327,CALM1|PRNP|SCN1B|SCN2B,-1.191133722143461,0,1,0,0,-6.111287037362058,102.78054298642533,
