sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52
1	B_7	614	489	448	35	196	261	15	23	524	236	1266	130	196	298	239	180	32	221	174	510	237	250	193	139	189	173	20	113	221	126	18	58	77	59	105	42	131	63	46	39	16	22	41	32	44	2	26	20	16	2	1	1	1
2	P_65	557	1007	275	243	386	469	155	262	160	197	44	228	225	212	211	229	94	163	180	49	136	115	124	189	165	131	98	268	199	95	10	153	59	84	197	58	115	60	77	19	31	27	18	46	4	15	29	39	9	1	14	2	NA
3	P_69	745	537	446	76	226	472	52	34	256	227	893	272	193	255	203	233	43	212	111	458	242	158	229	201	189	184	40	217	257	128	262	83	79	43	101	40	122	81	51	61	7	27	26	26	20	9	16	21	50	NA	66	1	6
4	J_3	226	163	88	92	109	220	44	114	159	145	6	172	226	48	77	124	101	17	72	9	38	34	74	95	58	59	55	34	45	9	165	39	20	18	29	131	22	29	5	5	32	6	5	12	49	10	10	2	26	1	22	1	1
5	J_4	513	258	276	366	92	229	315	337	779	398	55	101	126	179	173	158	81	145	241	24	164	154	107	149	160	110	94	114	76	68	43	50	62	159	53	55	44	41	36	41	16	28	14	15	27	16	36	14	23	NA	4	4	3
6	P_52	705	215	503	426	271	99	407	47	119	208	113	47	305	238	171	110	202	107	214	291	162	164	183	176	174	180	60	107	92	109	61	36	55	104	54	56	50	75	54	21	24	12	227	20	29	4	40	17	57	1	24	10	4
7	P_62	326	112	405	485	353	174	474	635	121	215	10	350	112	211	325	262	357	137	309	32	180	155	161	116	119	139	243	93	67	66	1	62	107	89	37	116	77	74	56	61	69	48	11	26	26	19	31	17	13	2	2	1	8
8	P_67	375	237	294	431	396	395	238	355	45	179	4	130	266	190	183	163	290	242	114	36	175	199	149	156	116	166	272	132	77	81	3	79	81	28	110	48	46	73	37	63	31	49	11	39	34	41	18	29	4	3	3	10	2
9	B_10	190	149	268	420	409	309	334	336	30	160	1	167	183	193	147	194	350	234	116	18	107	163	112	77	94	110	321	88	100	190	60	90	55	54	50	101	35	45	46	50	58	44	3	39	8	57	14	33	4	242	4	1	1
10	B_8	308	35	191	289	190	178	286	65	89	128	63	69	143	85	89	95	53	282	86	143	66	96	106	141	79	110	75	22	55	122	24	65	17	22	10	35	34	55	20	17	26	9	4	13	10	11	14	14	10	2	3	4	1
11	B_9	709	405	340	466	373	258	340	380	132	300	50	259	198	210	185	216	207	183	166	26	147	176	206	235	212	106	235	179	129	167	536	113	73	41	62	94	76	74	38	39	34	28	21	29	30	40	14	17	44	4	62	17	5
12	P_71	351	162	306	362	294	184	383	444	100	117	8	159	75	220	170	138	270	106	283	26	152	109	180	67	144	161	199	87	94	43	74	91	68	85	47	99	34	65	49	50	54	65	7	20	16	65	39	23	22	1	5	1	8
13	J_1	389	197	208	246	174	214	166	252	349	286	54	157	157	136	114	148	110	132	91	32	109	115	85	112	121	75	93	70	69	38	36	40	58	55	25	41	30	41	25	30	18	24	3	17	16	9	17	13	22	NA	8	9	1
14	J_2	752	701	497	6	154	464	6	5	597	301	1256	109	346	305	231	209	34	234	149	724	249	215	196	216	187	193	14	182	140	114	136	48	114	75	98	29	136	95	76	64	3	27	43	29	40	7	31	37	13	1	15	1	1
15	P_53	380	368	167	273	305	178	276	298	79	231	6	45	166	146	152	133	147	89	196	29	95	124	82	144	159	89	106	141	34	77	1	29	54	86	44	59	30	31	39	34	33	29	1	22	16	8	23	12	11	NA	NA	11	1
16	P_54	190	282	326	353	367	174	252	309	227	209	14	89	123	127	170	183	197	95	105	27	96	84	113	57	62	93	146	85	31	37	2	30	49	32	18	28	21	38	30	30	20	20	5	7	12	12	11	38	4	13	2	6	3
17	P_64	538	278	303	518	424	262	378	469	232	326	10	999	296	232	270	298	376	285	196	17	173	186	160	185	182	134	65	112	127	224	3	146	96	74	58	82	82	84	54	54	41	43	28	52	32	83	24	34	14	28	NA	3	6
18	P_68	247	233	393	565	384	173	522	191	66	150	54	106	238	169	218	190	297	268	126	307	122	102	109	84	58	124	167	51	77	143	NA	37	66	71	61	37	54	55	43	NA	19	13	2	18	45	7	19	11	8	1	1	2	4
