Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
Reactome Gene Sets,6,R-HSA-1296072,Voltage gated Potassium channels,,-7.1,47,15,30286,43,75,5,6.7,2.9,3737|3745|3787|3788|9196,KCNA2|KCNB1|KCNS1|KCNS2|KCNAB3,-3,Npas2
Reactome Gene Sets,6,R-HSA-168255,Influenza Infection,,-6.9,18,11,30286,157,75,7,9.3,3.4,811|6139|6154|6160|6193|6201|9883,CALR|RPL17|RPL26|RPL31|RPS5|RPS7|POM121,-3,Npas2
GO Biological Processes,19,GO:1903530,regulation of secretion by cell,19_GO:0051179 localization,-6.8,7.8,8.2,30286,566,75,11,15,4.1,406|1137|2850|3566|3737|3745|5027|9575|56848|130399|140775,BMAL1|CHRNA4|GPR27|IL4R|KCNA2|KCNB1|P2RX7|CLOCK|SPHK2|ACVR1C|SMCR8,-3,Npas2
GO Biological Processes,19,GO:0051046,regulation of secretion,19_GO:0051179 localization,-6.4,7.2,7.7,30286,621,75,11,15,4.1,406|1137|2850|3566|3737|3745|5027|9575|56848|130399|140775,BMAL1|CHRNA4|GPR27|IL4R|KCNA2|KCNB1|P2RX7|CLOCK|SPHK2|ACVR1C|SMCR8,-2.7,Npas2
Reactome Gene Sets,6,R-HSA-168273,Influenza Viral RNA Transcription and Replication,,-5.9,18,9.8,30286,136,75,6,8,3.1,6139|6154|6160|6193|6201|9883,RPL17|RPL26|RPL31|RPS5|RPS7|POM121,-2.3,Npas2
CORUM,33,CORUM:306,"Ribosome, cytoplasmic",,-5.8,25,11,30286,80,75,5,6.7,2.9,6139|6154|6160|6193|6201,RPL17|RPL26|RPL31|RPS5|RPS7,-2.2,Npas2
Reactome Gene Sets,6,R-HSA-192823,Viral mRNA Translation,,-5.5,22,10,30286,90,75,5,6.7,2.9,6139|6154|6160|6193|6201,RPL17|RPL26|RPL31|RPS5|RPS7,-2.2,Npas2
Reactome Gene Sets,6,R-HSA-156902,Peptide chain elongation,,-5.5,22,10,30286,90,75,5,6.7,2.9,6139|6154|6160|6193|6201,RPL17|RPL26|RPL31|RPS5|RPS7,-2.2,Npas2
GO Biological Processes,19,GO:0071805,potassium ion transmembrane transport,19_GO:0051179 localization,-5.5,15,8.8,30286,165,75,6,8,3.1,3737|3745|3787|3788|9196|57468,KCNA2|KCNB1|KCNS1|KCNS2|KCNAB3|SLC12A5,-2.2,Npas2
Reactome Gene Sets,6,R-HSA-156842,Eukaryotic Translation Elongation,,-5.4,21,9.9,30286,94,75,5,6.7,2.9,6139|6154|6160|6193|6201,RPL17|RPL26|RPL31|RPS5|RPS7,-2.2,Npas2
