_MEMBER_Plcl1,_LogP_Plcl1,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-4.5,C0029231,M1,1,0,DisGeNET,35,"Organic Mental Disorders, Substance-Induced",,-4.5,46,12,30286,115,17,3,18,9.2,1826|2917|79632,DSCAM|GRM7|FAM184A,-0.51,0
1,-4.5,C4316881,M1,1,0,DisGeNET,35,Prescription Drug Abuse,,-4.5,46,12,30286,115,17,3,18,9.2,1826|2917|79632,DSCAM|GRM7|FAM184A,-0.51,0
1,-4.4,C0013222,M1,1,0,DisGeNET,35,Drug Use Disorders,,-4.4,44,11,30286,121,17,3,18,9.2,1826|2917|79632,DSCAM|GRM7|FAM184A,-0.51,0
1,-4.3,C0236969,M1,1,0,DisGeNET,35,Substance-Related Disorders,,-4.3,42,11,30286,128,17,3,18,9.2,1826|2917|79632,DSCAM|GRM7|FAM184A,-0.51,0
1,-4.1,C0038580,M1,1,0,DisGeNET,35,Substance Dependence,,-4.1,34,9.9,30286,156,17,3,18,9.2,1826|2917|79632,DSCAM|GRM7|FAM184A,-0.34,0
1,-3.8,C0740858,M1,1,0,DisGeNET,35,Substance abuse problem,,-3.8,29,9,30286,185,17,3,18,9.2,1826|2917|79632,DSCAM|GRM7|FAM184A,-0.22,0
1,-3.8,C0025362,M1,1,0,DisGeNET,35,Mental Retardation,,-3.8,14,7,30286,504,17,4,24,10,1826|2070|2917|4952,DSCAM|EYA4|GRM7|OCRL,-0.22,0
1,-3.8,C0013170,M1,1,0,DisGeNET,35,Drug habituation,,-3.8,27,8.7,30286,196,17,3,18,9.2,1826|2917|79632,DSCAM|GRM7|FAM184A,-0.22,0
1,-3.6,C0038586,M1,1,0,DisGeNET,35,Substance Use Disorders,,-3.6,25,8.3,30286,218,17,3,18,9.2,1826|2917|79632,DSCAM|GRM7|FAM184A,-0.13,0
1,-3.5,C1510472,M1,1,0,DisGeNET,35,Drug Dependence,,-3.5,22,7.7,30286,248,17,3,18,9.2,1826|2917|79632,DSCAM|GRM7|FAM184A,-0.0064,0
1,-2.9,C0013146,M1,1,0,DisGeNET,35,Drug abuse,,-2.9,13,5.9,30286,404,17,3,18,9.2,1826|2917|79632,DSCAM|GRM7|FAM184A,0,0
1,-2.2,C1378703,M1,1,0,DisGeNET,35,Renal carcinoma,,-2.2,8,4.3,30286,665,17,3,18,9.2,896|1628|9975,CCND3|DBP|NR1D2,0,0
