Gene,Gene Symbol,Description,Biological Process (GO),Kinase Class (UniProt),Protein Function (Protein Atlas),Subcellular Location (Protein Atlas),Canonical Pathways,Hallmark Gene Sets
54112,GPR88,G protein-coupled receptor 88,GO:0061743 motor learning;GO:0071875 adrenergic receptor signaling pathway;GO:0019228 neuronal action potential,,Human disease related genes:Nervous system diseases:Other nervous and sensory system diseases; Potential drug targets; G-protein coupled receptors:GPCRs excl olfactory receptors; Disease related genes,,,
6139,RPL17,ribosomal protein L17,GO:0002181 cytoplasmic translation;GO:0006412 translation;GO:0043043 peptide biosynthetic process,,Ribosomal proteins; Predicted intracellular proteins,Cytosol;Endoplasmic reticulum (Supported),,
120103,SLC36A4,solute carrier family 36 member 4,GO:1904556 L-tryptophan transmembrane transport;GO:1904271 L-proline import across plasma membrane;GO:1904555 L-proline transmembrane transport,,Transporters:Electrochemical Potential-driven transporters,Cytosol;Golgi apparatus;Plasma membrane (Approved),,
8851,CDK5R1,cyclin dependent kinase 5 regulatory subunit 1,GO:0021586 pons maturation;GO:0021718 superior olivary nucleus development;GO:0021722 superior olivary nucleus maturation,,Predicted intracellular proteins,Nucleoplasm;Vesicles (Approved),(M163)PID LIS1 PATHWAY; (M69)PID REELIN PATHWAY; (M270)PID MAPK TRK PATHWAY,(M5919)HALLMARK HEDGEHOG SIGNALING; (M5921)HALLMARK COMPLEMENT; (M5939)HALLMARK P53 PATHWAY
5097,PCDH1,protocadherin 1,GO:0007156 homophilic cell adhesion via plasma membrane adhesion molecules;GO:0098742 cell-cell adhesion via plasma-membrane adhesion molecules;GO:0098609 cell-cell adhesion,,Predicted intracellular proteins,Cell Junctions;Nucleoplasm (Approved); Additional: Nucleoli,,(M5915)HALLMARK APICAL JUNCTION
5654,HTRA1,HtrA serine peptidase 1,GO:0060718 chorionic trophoblast cell differentiation;GO:0060717 chorion development;GO:1903867 extraembryonic membrane development,,Predicted secreted proteins; Enzymes; Disease related genes; Peptidases:Serine-type peptidases; Human disease related genes:Congenital malformations:Congenital malformations of the nervous system; Predicted intracellular proteins; Human disease related genes:Nervous system diseases:Eye disease; Potential drug targets,Plasma membrane (Supported),(M3468)NABA ECM REGULATORS; (M5885)NABA MATRISOME ASSOCIATED; (M5889)NABA MATRISOME,(M5946)HALLMARK COAGULATION; (M5930)HALLMARK EPITHELIAL MESENCHYMAL TRANSITION
811,CALR,calreticulin,GO:1903416 response to glycoside;GO:0051208 sequestering of calcium ion;GO:0002397 MHC class I protein complex assembly,,Disease related genes; Transporters:Accessory Factors Involved in Transport; Predicted intracellular proteins; Cancer-related genes:Candidate cancer biomarkers; Human disease related genes:Cancers:Cancers of haematopoietic and lymphoid tissues; Potential drug targets,Endoplasmic reticulum (Supported),,(M5923)HALLMARK PI3K AKT MTOR SIGNALING; (M5922)HALLMARK UNFOLDED PROTEIN RESPONSE; (M5924)HALLMARK MTORC1 SIGNALING
8482,SEMA7A,semaphorin 7A (JohnMiltonHagen blood group),GO:0060907 positive regulation of macrophage cytokine production;GO:0048843 negative regulation of axon extension involved in axon guidance;GO:0048841 regulation of axon extension involved in axon guidance,,Human disease related genes:Digestive system diseases:Liver diseases; CD markers; Disease related genes; Blood group antigen proteins,Vesicles (Uncertain),(M5880)NABA ECM AFFILIATED; (M5885)NABA MATRISOME ASSOCIATED; (M5889)NABA MATRISOME,
110806277,PNMA8C,PNMA family member 8C,,,Predicted intracellular proteins,,,
9951,HS3ST4,heparan sulfate-glucosamine 3-sulfotransferase 4,GO:0030201 heparan sulfate proteoglycan metabolic process;GO:0015012 heparan sulfate proteoglycan biosynthetic process;GO:0030166 proteoglycan biosynthetic process,,Enzymes; ENZYME proteins:Transferases,,,
8445,DYRK2,dual specificity tyrosine phosphorylation regulated kinase 2,GO:0045725 positive regulation of glycogen biosynthetic process;GO:0070885 negative regulation of calcineurin-NFAT signaling cascade;GO:0106057 negative regulation of calcineurin-mediated signaling,yes,Enzymes; Kinases:CMGC Ser/Thr protein kinases; ENZYME proteins:Transferases; Predicted intracellular proteins; Cancer-related genes:Candidate cancer biomarkers,Nucleoplasm (Supported); Additional: Cytosol,(M261)PID P53 REGULATION PATHWAY,(M5921)HALLMARK COMPLEMENT
6154,RPL26,ribosomal protein L26,"GO:1902167 positive regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator;GO:1904803 regulation of translation involved in cellular response to UV;GO:1902164 positive regulation of DNA damage response, signal transduction by p53 class mediator resulting in transcription of p21 class mediator",,Human disease related genes:Other congenital disorders:Ribosomopathies; Human disease related genes:Cardiovascular diseases:Hematologic diseases; Predicted intracellular proteins; Ribosomal proteins; Disease related genes,Cytosol;Endoplasmic reticulum (Approved); Additional: Nucleoli,,
24147,FJX1,four-jointed box kinase 1,GO:0010842 retina layer formation;GO:0060042 retina morphogenesis in camera-type eye;GO:0003407 neural retina development,,Predicted intracellular proteins,Vesicles (Approved),,(M5890)HALLMARK TNFA SIGNALING VIA NFKB
55534,MAML3,mastermind like transcriptional coactivator 3,GO:0007221 positive regulation of transcription of Notch receptor target;GO:0007219 Notch signaling pathway;GO:0045944 positive regulation of transcription by RNA polymerase II,,Predicted intracellular proteins,Nuclear speckles (Supported),,
6506,SLC1A2,solute carrier family 1 member 2,GO:0042883 cysteine transport;GO:1903712 cysteine transmembrane transport;GO:0070777 D-aspartate transport,,Disease related genes; Human disease related genes:Nervous system diseases:Epilepsy; Predicted intracellular proteins; Transporters:Electrochemical Potential-driven transporters; Potential drug targets,,,(M5932)HALLMARK INFLAMMATORY RESPONSE
10123,ARL4C,ADP ribosylation factor like GTPase 4C,GO:0032456 endocytic recycling;GO:0098876 vesicle-mediated transport to the plasma membrane;GO:0016197 endosomal transport,,Predicted intracellular proteins,Plasma membrane (Supported); Additional: Cytosol,,
344838,PAQR9,progestin and adipoQ receptor family member 9,,,Predicted intracellular proteins,,,
126792,B3GALT6,"beta-1,3-galactosyltransferase 6",GO:0030206 chondroitin sulfate biosynthetic process;GO:0050650 chondroitin sulfate proteoglycan biosynthetic process;GO:0030204 chondroitin sulfate metabolic process,,Enzymes; Human disease related genes:Congenital malformations:Congenital malformations of the musculoskeletal system; Potential drug targets; ENZYME proteins:Transferases; Human disease related genes:Congenital malformations:Congenital malformations of skin; Predicted intracellular proteins; Disease related genes,,,(M5891)HALLMARK HYPOXIA; (M5937)HALLMARK GLYCOLYSIS
57468,SLC12A5,solute carrier family 12 member 5,GO:0040040 thermosensory behavior;GO:0030002 intracellular monoatomic anion homeostasis;GO:0030644 intracellular chloride ion homeostasis,,Human disease related genes:Nervous system diseases:Epilepsy; Predicted intracellular proteins; FDA approved drug targets:Small molecule drugs; Transporters:Electrochemical Potential-driven transporters; Disease related genes,,,
3566,IL4R,interleukin 4 receptor,GO:0045626 negative regulation of T-helper 1 cell differentiation;GO:0035771 interleukin-4-mediated signaling pathway;GO:0045630 positive regulation of T-helper 2 cell differentiation,,Predicted secreted proteins; Transporters:Accessory Factors Involved in Transport; Human disease related genes:Immune system diseases:Allergies and autoimmune diseases; CD markers; Predicted intracellular proteins; Cancer-related genes:Candidate cancer biomarkers; FDA approved drug targets:Biotech drugs; Human disease related genes:Skin diseases:Skin and soft tissue diseases,Plasma membrane (Supported); Additional: Centriolar satellite;Nucleoplasm,(M1718)SIG IL4RECEPTOR IN B LYPHOCYTES; (M28)PID IL4 2PATHWAY; (M19)PID P73PATHWAY,(M5897)HALLMARK IL6 JAK STAT3 SIGNALING; (M5911)HALLMARK INTERFERON ALPHA RESPONSE; (M5947)HALLMARK IL2 STAT5 SIGNALING
1203,CLN5,CLN5 intracellular trafficking protein,GO:1904426 positive regulation of GTP binding;GO:1904424 regulation of GTP binding;GO:0006465 signal peptide processing,,Predicted intracellular proteins; Human disease related genes:Congenital disorders of metabolism:Congenital disorders of lipid/glycolipid metabolism; Human disease related genes:Congenital disorders of metabolism:Lysosomal storage diseases; Disease related genes,,,(M5910)HALLMARK PROTEIN SECRETION
9759,HDAC4,histone deacetylase 4,GO:0034983 peptidyl-lysine deacetylation;GO:0014877 response to muscle inactivity involved in regulation of muscle adaptation;GO:0014894 response to denervation involved in regulation of muscle adaptation,,Enzymes; Human disease related genes:Congenital malformations:Congenital malformations of the nervous system; Predicted intracellular proteins; Human disease related genes:Other congenital disorders:Chromosomal abnormalities; ENZYME proteins:Hydrolases; FDA approved drug targets:Small molecule drugs; Disease related genes,Nuclear speckles (Supported); Additional: Cytosol;Nucleoplasm,(M140)PID RANBP2 PATHWAY; (M32)PID HDAC CLASSIII PATHWAY; (M30)PID HDAC CLASSII PATHWAY,
94103,ORMDL3,ORMDL sphingolipid biosynthesis regulator 3,GO:0090156 intracellular sphingolipid homeostasis;GO:0090155 negative regulation of sphingolipid biosynthetic process;GO:1900060 negative regulation of ceramide biosynthetic process,,Disease related genes,Endoplasmic reticulum (Supported),,
3788,KCNS2,potassium voltage-gated channel modifier subfamily S member 2,GO:1902259 regulation of delayed rectifier potassium channel activity;GO:1901016 regulation of potassium ion transmembrane transporter activity;GO:1901379 regulation of potassium ion transmembrane transport,,Transporters:Transporter channels and pores; Voltage-gated ion channels:Voltage-Gated Potassium Channels,,,
85465,SELENOI,selenoprotein I,GO:0006646 phosphatidylethanolamine biosynthetic process;GO:0046337 phosphatidylethanolamine metabolic process;GO:0046474 glycerophospholipid biosynthetic process,,Human disease related genes:Nervous system diseases:Other nervous and sensory system diseases; Enzymes; Disease related genes; ENZYME proteins:Transferases; Potential drug targets,,,
6324,SCN1B,sodium voltage-gated channel beta subunit 1,GO:0021966 corticospinal neuron axon guidance;GO:1905152 positive regulation of voltage-gated sodium channel activity;GO:0086017 Purkinje myocyte action potential,,Predicted secreted proteins; Human disease related genes:Nervous system diseases:Epilepsy; Predicted intracellular proteins; FDA approved drug targets:Small molecule drugs; Human disease related genes:Cardiovascular diseases:Cardiac diseases; Disease related genes,,,(M5932)HALLMARK INFLAMMATORY RESPONSE; (M5953)HALLMARK KRAS SIGNALING UP
130399,ACVR1C,activin A receptor type 1C,GO:1901383 negative regulation of chorionic trophoblast cell proliferation;GO:0001834 trophectodermal cell proliferation;GO:1901382 regulation of chorionic trophoblast cell proliferation,yes,Enzymes; Kinases:TKL Ser/Thr protein kinases; ENZYME proteins:Transferases; Predicted intracellular proteins,,,
5027,P2RX7,purinergic receptor P2X 7,GO:0006649 phospholipid transfer to membrane;GO:1904170 regulation of bleb assembly;GO:1904172 positive regulation of bleb assembly,,Transporters:Transporter channels and pores,,,(M5932)HALLMARK INFLAMMATORY RESPONSE
10125,RASGRP1,RAS guanyl releasing protein 1,GO:0032825 positive regulation of natural killer cell differentiation;GO:0033089 positive regulation of T cell differentiation in thymus;GO:0032823 regulation of natural killer cell differentiation,,Human disease related genes:Immune system diseases:Primary immunodeficiency; Predicted intracellular proteins; Disease related genes; RAS pathway related proteins,Cytosol (Supported); Additional: Plasma membrane,(M269)PID RAS PATHWAY; (M88)PID CD8 TCR PATHWAY; (M34)PID TCR PATHWAY,(M5941)HALLMARK UV RESPONSE UP; (M5906)HALLMARK ESTROGEN RESPONSE EARLY; (M5921)HALLMARK COMPLEMENT
6201,RPS7,ribosomal protein S7,GO:1902255 positive regulation of intrinsic apoptotic signaling pathway by p53 class mediator;GO:1904667 negative regulation of ubiquitin protein ligase activity;GO:0051444 negative regulation of ubiquitin-protein transferase activity,,Human disease related genes:Other congenital disorders:Ribosomopathies; Human disease related genes:Cardiovascular diseases:Hematologic diseases; Predicted intracellular proteins; Ribosomal proteins; Disease related genes,Cytosol;Endoplasmic reticulum (Supported),,
3980,LIG3,DNA ligase 3,"GO:0006288 base-excision repair, DNA ligation;GO:0090298 negative regulation of mitochondrial DNA replication;GO:1901859 negative regulation of mitochondrial DNA metabolic process",,Enzymes; Disease related genes; Predicted intracellular proteins; ENZYME proteins:Ligase; Human disease related genes:Congenital disorders of metabolism:Mitochondrial diseases; Potential drug targets,Nucleoplasm (Supported),,(M5901)HALLMARK G2M CHECKPOINT
9883,POM121,POM121 transmembrane nucleoporin,GO:0006405 RNA export from nucleus;GO:0006606 protein import into nucleus;GO:0051170 import into nucleus,,Transporters:Transporter channels and pores; Predicted intracellular proteins,Nuclear membrane;Nucleoplasm (Enhanced),,(M5898)HALLMARK DNA REPAIR; (M5939)HALLMARK P53 PATHWAY
8835,SOCS2,suppressor of cytokine signaling 2,GO:0040015 negative regulation of multicellular organism growth;GO:0060396 growth hormone receptor signaling pathway;GO:0060749 mammary gland alveolus development,,Predicted intracellular proteins,Endoplasmic reticulum (Approved),(M122)PID IL2 1PATHWAY,(M5947)HALLMARK IL2 STAT5 SIGNALING
375743,PTAR1,protein prenyltransferase alpha subunit repeat containing 1,GO:0018342 protein prenylation;GO:0097354 prenylation;GO:0036211 protein modification process,,Predicted intracellular proteins,Centriolar satellite (Approved); Additional: Rods & Rings,,
84919,PPP1R15B,protein phosphatase 1 regulatory subunit 15B,GO:1902310 positive regulation of peptidyl-serine dephosphorylation;GO:1903898 negative regulation of PERK-mediated unfolded protein response;GO:1902308 regulation of peptidyl-serine dephosphorylation,,Human disease related genes:Congenital malformations:Other congenital malformations; Predicted intracellular proteins; Disease related genes,Golgi apparatus (Approved),,(M5905)HALLMARK ADIPOGENESIS
100131755,ARMCX4,armadillo repeat containing X-linked 4,,,Predicted intracellular proteins,Nucleoplasm (Approved); Additional: Vesicles,,
114801,TMEM200A,transmembrane protein 200A,,,,,,
682,BSG,basigin (Ok blood group),GO:0046689 response to mercury ion;GO:0046697 decidualization;GO:0001893 maternal placenta development,,Predicted intracellular proteins; CD markers; Transporters:Accessory Factors Involved in Transport; Blood group antigen proteins,Vesicles (Approved),(M198)PID SYNDECAN 1 PATHWAY,(M5941)HALLMARK UV RESPONSE UP; (M5945)HALLMARK HEME METABOLISM
3737,KCNA2,potassium voltage-gated channel subfamily A member 2,"GO:0021633 optic nerve structural organization;GO:0045188 regulation of circadian sleep/wake cycle, non-REM sleep;GO:0021631 optic nerve morphogenesis",,Transporters:Transporter channels and pores; Human disease related genes:Nervous system diseases:Epilepsy; Voltage-gated ion channels:Voltage-Gated Potassium Channels; Predicted intracellular proteins; FDA approved drug targets:Small molecule drugs; Disease related genes,,,
146057,TTBK2,tau tubulin kinase 2,GO:0021935 cerebellar granule cell precursor tangential migration;GO:1904527 negative regulation of microtubule binding;GO:0021934 hindbrain tangential cell migration,yes,Enzymes; Potential drug targets; ENZYME proteins:Transferases; Predicted intracellular proteins; Kinases:CK1 Ser/Thr protein kinases; Human disease related genes:Nervous system diseases:Neurodegenerative diseases; Disease related genes,,,
6193,RPS5,ribosomal protein S5,GO:0000028 ribosomal small subunit assembly;GO:0006450 regulation of translational fidelity;GO:0042255 ribosome assembly,,Ribosomal proteins; Predicted intracellular proteins,Cytosol;Endoplasmic reticulum (Supported),,(M5926)HALLMARK MYC TARGETS V1
1301,COL11A1,collagen type XI alpha 1 chain,GO:0035989 tendon development;GO:0050910 detection of mechanical stimulus involved in sensory perception of sound;GO:0001502 cartilage condensation,,Predicted secreted proteins; Human disease related genes:Congenital malformations:Congenital malformations of the musculoskeletal system; Human disease related genes:Musculoskeletal diseases:Skeletal diseases; Predicted intracellular proteins; Cancer-related genes:Candidate cancer biomarkers; Human disease related genes:Nervous system diseases:Eye disease; Human disease related genes:Nervous system diseases:Ear disease; Human disease related genes:Congenital malformations:Other congenital malformations; Disease related genes,Endoplasmic reticulum (Supported),(M3005)NABA COLLAGENS; (M198)PID SYNDECAN 1 PATHWAY; (M18)PID INTEGRIN1 PATHWAY,(M5942)HALLMARK UV RESPONSE DN; (M5930)HALLMARK EPITHELIAL MESENCHYMAL TRANSITION
252995,FNDC5,fibronectin type III domain containing 5,GO:0090336 positive regulation of brown fat cell differentiation;GO:0090335 regulation of brown fat cell differentiation;GO:0014850 response to muscle activity,,,,,
9196,KCNAB3,potassium voltage-gated channel subfamily A regulatory beta subunit 3,GO:1901379 regulation of potassium ion transmembrane transport;GO:0043266 regulation of potassium ion transport;GO:0071805 potassium ion transmembrane transport,,Predicted intracellular proteins,Mitochondria (Approved),,
79102,RNF26,ring finger protein 26,GO:1905719 protein localization to perinuclear region of cytoplasm;GO:0050687 negative regulation of defense response to virus;GO:0070979 protein K11-linked ubiquitination,,Enzymes; ENZYME proteins:Transferases,Nucleoplasm (Approved); Additional: Cytosol;Vesicles,,
