Gene,Gene Symbol,Description,Biological Process (GO),Kinase Class (UniProt),Protein Function (Protein Atlas),Subcellular Location (Protein Atlas),Canonical Pathways,Hallmark Gene Sets
3183,HNRNPC,heterogeneous nuclear ribonucleoprotein C,GO:0070935 3'-UTR-mediated mRNA stabilization;GO:0032211 negative regulation of telomere maintenance via telomerase;GO:1904357 negative regulation of telomere maintenance via telomere lengthening,,Predicted intracellular proteins,Nucleoplasm (Enhanced),(M105)PID TELOMERASE PATHWAY,(M5926)HALLMARK MYC TARGETS V1
10803,CCR9,C-C motif chemokine receptor 9,"GO:0002304 gamma-delta intraepithelial T cell differentiation;GO:0002305 CD8-positive, gamma-delta intraepithelial T cell differentiation;GO:0042492 gamma-delta T cell differentiation",,Predicted intracellular proteins; CD markers; G-protein coupled receptors:Chemokines and chemotactic factors receptors; G-protein coupled receptors:GPCRs excl olfactory receptors,Plasma membrane (Approved); Additional: Endoplasmic reticulum,,
801,CALM1,calmodulin 1,GO:1901842 negative regulation of high voltage-gated calcium channel activity;GO:0051343 positive regulation of cyclic-nucleotide phosphodiesterase activity;GO:1905913 negative regulation of calcium ion export across plasma membrane,,Predicted intracellular proteins; FDA approved drug targets:Small molecule drugs; Human disease related genes:Cardiovascular diseases:Cardiac diseases; Disease related genes; RAS pathway related proteins,Cytosol (Supported),,(M5921)HALLMARK COMPLEMENT
6500,SKP1,S-phase kinase associated protein 1,GO:1904668 positive regulation of ubiquitin protein ligase activity;GO:1904666 regulation of ubiquitin protein ligase activity;GO:0051443 positive regulation of ubiquitin-protein transferase activity,,Predicted intracellular proteins,Nucleoplasm (Approved); Additional: Cytosol,(M31)PID BETA CATENIN DEG PATHWAY; (M17)PID NOTCH PATHWAY; (M223)PID BETA CATENIN NUC PATHWAY,(M5903)HALLMARK NOTCH SIGNALING
57689,LRRC4C,leucine rich repeat containing 4C,GO:0099560 synaptic membrane adhesion;GO:0050770 regulation of axonogenesis;GO:0098742 cell-cell adhesion via plasma-membrane adhesion molecules,,Predicted intracellular proteins,Cytosol (Approved),,
6613,SUMO2,small ubiquitin like modifier 2,GO:0016925 protein sumoylation;GO:0032436 positive regulation of proteasomal ubiquitin-dependent protein catabolic process;GO:2000060 positive regulation of ubiquitin-dependent protein catabolic process,,Predicted intracellular proteins,Nuclear bodies;Nucleoplasm (Approved),(M115)PID REG GR PATHWAY,
4674,NAP1L2,nucleosome assembly protein 1 like 2,GO:2000035 regulation of stem cell division;GO:0045666 positive regulation of neuron differentiation;GO:0006334 nucleosome assembly,,Predicted intracellular proteins,Cytosol;Plasma membrane (Enhanced),,(M5953)HALLMARK KRAS SIGNALING UP
29119,CTNNA3,catenin alpha 3,GO:0086073 bundle of His cell-Purkinje myocyte adhesion involved in cell communication;GO:0086042 cardiac muscle cell-cardiac muscle cell adhesion;GO:0098911 regulation of ventricular cardiac muscle cell action potential,,Predicted intracellular proteins; Human disease related genes:Cardiovascular diseases:Cardiac diseases; Disease related genes,,,
55840,EAF2,ELL associated factor 2,GO:0060770 negative regulation of epithelial cell proliferation involved in prostate gland development;GO:0060767 epithelial cell proliferation involved in prostate gland development;GO:0060768 regulation of epithelial cell proliferation involved in prostate gland development,,Predicted intracellular proteins,,,
9296,ATP6V1F,ATPase H+ transporting V1 subunit F,GO:0061795 Golgi lumen acidification;GO:0048388 endosomal lumen acidification;GO:0097401 synaptic vesicle lumen acidification,,Transporters:Primary Active Transporters; Predicted intracellular proteins,,,(M5941)HALLMARK UV RESPONSE UP; (M5936)HALLMARK OXIDATIVE PHOSPHORYLATION
