_MEMBER_Hdac4,_LogP_Hdac4,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-4.9,C0037052,M1,1,0,DisGeNET,35,Sick Sinus Syndrome,,-4.9,69,14,30286,51,26,3,12,6.3,1490|6324|6327,CCN2|SCN1B|SCN2B,-0.65,0
1,-4.9,C0041696,M1,1,0,DisGeNET,35,Unipolar Depression,,-4.9,11,7.4,30286,641,26,6,23,8.3,1129|1490|4297|4747|5621|5999,CHRM2|CCN2|KMT2A|NEFL|PRNP|RGS4,-0.65,0
1,-4.6,C0006287,M1,1,0,DisGeNET,35,Bronchopulmonary Dysplasia,,-4.6,14,7.8,30286,423,26,5,19,7.7,1129|1490|4297|10846|23576,CHRM2|CCN2|KMT2A|PDE10A|DDAH1,-0.54,0
1,-4.3,C0004936,M1,1,0,DisGeNET,35,Mental disorders,,-4.3,8.9,6.6,30286,789,26,6,23,8.3,801|1129|4692|4747|5999|10846,CALM1|CHRM2|NDN|NEFL|RGS4|PDE10A,-0.44,0
1,-4.1,C0042510,M1,1,0,DisGeNET,35,Ventricular Fibrillation,,-4.1,36,10,30286,96,26,3,12,6.3,801|6324|6327,CALM1|SCN1B|SCN2B,-0.31,0
1,-3.9,C0525045,M1,1,0,DisGeNET,35,Mood Disorders,,-3.9,10,6.4,30286,580,26,5,19,7.7,406|801|1129|5621|94032,BMAL1|CALM1|CHRM2|PRNP|CAMK2N2,-0.24,0
1,-3.8,C0039070,M1,1,0,DisGeNET,35,Syncope,,-3.8,29,9.1,30286,119,26,3,12,6.3,801|6324|6327,CALM1|SCN1B|SCN2B,-0.24,0
1,-3.6,C0349204,M1,1,0,DisGeNET,35,Nonorganic psychosis,,-3.6,12,6.5,30286,376,26,4,15,7.1,406|5621|5999|10846,BMAL1|PRNP|RGS4|PDE10A,0,0
1,-3.5,C0023462,M1,1,0,DisGeNET,35,Acute Megakaryocytic Leukemias,,-3.5,22,7.8,30286,158,26,3,12,6.3,801|1490|4297,CALM1|CCN2|KMT2A,0,0
1,-3.4,C0018790,M1,1,0,DisGeNET,35,Cardiac Arrest,,-3.4,11,6.2,30286,410,26,4,15,7.1,801|4747|6324|6327,CALM1|NEFL|SCN1B|SCN2B,0,0
1,-3.4,C0917801,M1,1,0,DisGeNET,35,Sleeplessness,,-3.4,20,7.4,30286,174,26,3,12,6.3,406|5621|23576,BMAL1|PRNP|DDAH1,0,0
1,-3.3,C1449563,M1,1,0,DisGeNET,35,"Cardiomyopathy, Familial Idiopathic",,-3.3,7.5,5.4,30286,772,26,5,19,7.7,1129|1490|3096|6327|23576,CHRM2|CCN2|HIVEP1|SCN2B|DDAH1,0,0
1,-3.3,C0032897,M1,1,0,DisGeNET,35,Prader-Willi Syndrome,,-3.3,19,7.2,30286,184,26,3,12,6.3,4692|5621|9883,NDN|PRNP|POM121,0,0
1,-3.3,C0740858,M1,1,0,DisGeNET,35,Substance abuse problem,,-3.3,19,7.2,30286,185,26,3,12,6.3,1129|10846|84247,CHRM2|PDE10A|RTL6,0,0
1,-3.1,C0038586,M1,1,0,DisGeNET,35,Substance Use Disorders,,-3.1,16,6.5,30286,218,26,3,12,6.3,801|1129|84247,CALM1|CHRM2|RTL6,0,0
1,-3,C0040822,M1,1,0,DisGeNET,35,Tremor,,-3,8.8,5.3,30286,528,26,4,15,7.1,406|5621|6324|10846,BMAL1|PRNP|SCN1B|PDE10A,0,0
1,-2.9,C4721453,M1,1,0,DisGeNET,35,Peripheral Nervous System Diseases,,-2.9,8.5,5.2,30286,549,26,4,15,7.1,1490|4297|4747|5621,CCN2|KMT2A|NEFL|PRNP,0,0
1,-2.9,C0949664,M1,1,0,DisGeNET,35,Tauopathies,,-2.9,14,6.1,30286,245,26,3,12,6.3,406|4747|5621,BMAL1|NEFL|PRNP,0,0
1,-2.9,C0033975,M1,1,0,DisGeNET,35,Psychotic Disorders,,-2.9,8.3,5.1,30286,560,26,4,15,7.1,406|5621|5999|10846,BMAL1|PRNP|RGS4|PDE10A,0,0
1,-2.9,C0001973,M1,1,0,DisGeNET,35,"Alcoholic Intoxication, Chronic",,-2.9,8.1,5,30286,577,26,4,15,7.1,406|1129|5999|10846,BMAL1|CHRM2|RGS4|PDE10A,0,0
1,-2.9,C0276496,M1,1,0,DisGeNET,35,Familial Alzheimer Disease (FAD),,-2.9,13,5.9,30286,260,26,3,12,6.3,801|4747|5621,CALM1|NEFL|PRNP,0,0
1,-2.8,C1536220,M1,1,0,DisGeNET,35,ST segment elevation myocardial infarction,,-2.8,13,5.9,30286,263,26,3,12,6.3,801|1490|80274,CALM1|CCN2|SCUBE1,0,0
1,-2.8,C0027708,M1,1,0,DisGeNET,35,Nephroblastoma,,-2.8,8,5,30286,586,26,4,15,7.1,1490|4297|4747|5999,CCN2|KMT2A|NEFL|RGS4,0,0
1,-2.8,C0020676,M1,1,0,DisGeNET,35,Hypothyroidism,,-2.8,7.6,4.8,30286,613,26,4,15,7.1,406|801|4747|10846,BMAL1|CALM1|NEFL|PDE10A,0,0
1,-2.7,C0041341,M1,1,0,DisGeNET,35,Tuberous Sclerosis,,-2.7,12,5.6,30286,289,26,3,12,6.3,406|1490|7529,BMAL1|CCN2|YWHAB,0,0
1,-2.6,C0037317,M1,1,0,DisGeNET,35,Sleep disturbances,,-2.6,11,5.3,30286,310,26,3,12,6.3,406|4297|5621,BMAL1|KMT2A|PRNP,0,0
1,-2.6,C0007682,M1,1,0,DisGeNET,35,CNS disorder,,-2.6,11,5.2,30286,319,26,3,12,6.3,4747|5621|10846,NEFL|PRNP|PDE10A,0,0
1,-2.6,C4551686,M1,1,0,DisGeNET,35,Malignant neoplasm of soft tissue,,-2.6,6.7,4.4,30286,699,26,4,15,7.1,801|1490|4297|55534,CALM1|CCN2|KMT2A|MAML3,0,0
1,-2.6,C0085281,M1,1,0,DisGeNET,35,Addictive Behavior,,-2.6,11,5.1,30286,332,26,3,12,6.3,801|1129|4297,CALM1|CHRM2|KMT2A,0,0
1,-2.5,C1333015,M1,1,0,DisGeNET,35,Childhood Kidney Wilms Tumor,,-2.5,10,5.1,30286,338,26,3,12,6.3,1490|4297|4747,CCN2|KMT2A|NEFL,0,0
1,-2.5,C0006111,M1,1,0,DisGeNET,35,Brain Diseases,,-2.5,10,5,30286,345,26,3,12,6.3,4692|4747|5621,NDN|NEFL|PRNP,0,0
1,-2.5,C0031117,M1,1,0,DisGeNET,35,Peripheral Neuropathy,,-2.5,10,4.9,30286,351,26,3,12,6.3,1490|4747|5621,CCN2|NEFL|PRNP,0,0
1,-2.5,C0014556,M1,1,0,DisGeNET,35,"Epilepsy, Temporal Lobe",,-2.5,9.9,4.9,30286,354,26,3,12,6.3,5621|6324|10846,PRNP|SCN1B|PDE10A,0,0
1,-2.5,C0007786,M1,1,0,DisGeNET,35,Brain Ischemia,,-2.5,9.8,4.9,30286,358,26,3,12,6.3,4297|5621|7529,KMT2A|PRNP|YWHAB,0,0
1,-2.5,C0236734,M1,1,0,DisGeNET,35,Caffeine related disorders,,-2.5,9.7,4.9,30286,359,26,3,12,6.3,1490|5621|7529,CCN2|PRNP|YWHAB,0,0
1,-2.5,C0851578,M1,1,0,DisGeNET,35,Sleep Disorders,,-2.5,9.7,4.9,30286,359,26,3,12,6.3,406|4297|5621,BMAL1|KMT2A|PRNP,0,0
1,-2.4,C0026650,M1,1,0,DisGeNET,35,Movement Disorders,,-2.4,9.7,4.9,30286,362,26,3,12,6.3,4297|5621|10846,KMT2A|PRNP|PDE10A,0,0
1,-2.4,C0151744,M1,1,0,DisGeNET,35,Myocardial Ischemia,,-2.4,6.2,4.2,30286,756,26,4,15,7.1,406|1490|4297|23576,BMAL1|CCN2|KMT2A|DDAH1,0,0
1,-2.4,C0409959,M1,1,0,DisGeNET,35,"Osteoarthritis, Knee",,-2.4,9.5,4.8,30286,368,26,3,12,6.3,801|1490|5621,CALM1|CCN2|PRNP,0,0
1,-2.4,C0155877,M1,1,0,DisGeNET,35,Allergic asthma,,-2.4,9.4,4.8,30286,371,26,3,12,6.3,406|1129|94032,BMAL1|CHRM2|CAMK2N2,0,0
1,-2.4,C0242422,M1,1,0,DisGeNET,35,Parkinsonian Disorders,,-2.4,9.4,4.8,30286,373,26,3,12,6.3,4747|5621|10846,NEFL|PRNP|PDE10A,0,0
1,-2.4,C0017601,M1,1,0,DisGeNET,35,Glaucoma,,-2.4,6.1,4.2,30286,769,26,4,15,7.1,1490|4297|4747|5621,CCN2|KMT2A|NEFL|PRNP,0,0
1,-2.4,C3203102,M1,1,0,DisGeNET,35,Idiopathic pulmonary arterial hypertension,,-2.4,6,4.1,30286,776,26,4,15,7.1,1490|7529|23576|147381,CCN2|YWHAB|DDAH1|CBLN2,0,0
1,-2.4,C1854301,M1,1,0,DisGeNET,35,Motor delay,,-2.4,9.1,4.7,30286,384,26,3,12,6.3,4692|4747|10846,NDN|NEFL|PDE10A,0,0
1,-2.4,C0008479,M1,1,0,DisGeNET,35,Chondrosarcoma,,-2.4,9.1,4.7,30286,385,26,3,12,6.3,1490|4297|5621,CCN2|KMT2A|PRNP,0,0
1,-2.4,C0011168,M1,1,0,DisGeNET,35,Deglutition Disorders,,-2.4,9,4.6,30286,389,26,3,12,6.3,1490|4297|5621,CCN2|KMT2A|PRNP,0,0
1,-2.3,C0520947,M1,1,0,DisGeNET,35,Clumsiness - motor delay,,-2.3,8.9,4.6,30286,393,26,3,12,6.3,4692|4747|10846,NDN|NEFL|PDE10A,0,0
1,-2.3,C1531647,M1,1,0,DisGeNET,35,Cerebral ventriculomegaly,,-2.3,8.5,4.5,30286,410,26,3,12,6.3,4297|4692|5621,KMT2A|NDN|PRNP,0,0
1,-2.2,C3278923,M1,1,0,DisGeNET,35,Dilated ventricles (finding),,-2.2,8.2,4.4,30286,427,26,3,12,6.3,4297|4692|5621,KMT2A|NDN|PRNP,0,0
