Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
DisGeNET,35,C0037052,Sick Sinus Syndrome,,-4.9,69,14,30286,51,26,3,12,6.3,1490|6324|6327,CCN2|SCN1B|SCN2B,-0.65,Hdac4
DisGeNET,35,C0041696,Unipolar Depression,,-4.9,11,7.4,30286,641,26,6,23,8.3,1129|1490|4297|4747|5621|5999,CHRM2|CCN2|KMT2A|NEFL|PRNP|RGS4,-0.65,Hdac4
DisGeNET,35,C0006287,Bronchopulmonary Dysplasia,,-4.6,14,7.8,30286,423,26,5,19,7.7,1129|1490|4297|10846|23576,CHRM2|CCN2|KMT2A|PDE10A|DDAH1,-0.54,Hdac4
DisGeNET,35,C0004936,Mental disorders,,-4.3,8.9,6.6,30286,789,26,6,23,8.3,801|1129|4692|4747|5999|10846,CALM1|CHRM2|NDN|NEFL|RGS4|PDE10A,-0.44,Hdac4
DisGeNET,35,C0042510,Ventricular Fibrillation,,-4.1,36,10,30286,96,26,3,12,6.3,801|6324|6327,CALM1|SCN1B|SCN2B,-0.31,Hdac4
DisGeNET,35,C0525045,Mood Disorders,,-3.9,10,6.4,30286,580,26,5,19,7.7,406|801|1129|5621|94032,BMAL1|CALM1|CHRM2|PRNP|CAMK2N2,-0.24,Hdac4
Cell Type Signatures,7,M39161,GAO LARGE INTESTINE ADULT CA ENTEROENDOCRINE CELLS,,-3.9,15,7.3,30286,312,26,4,15,7.1,4747|5999|94032|147381,NEFL|RGS4|CAMK2N2|CBLN2,-0.24,Hdac4
DisGeNET,35,C0039070,Syncope,,-3.8,29,9.1,30286,119,26,3,12,6.3,801|6324|6327,CALM1|SCN1B|SCN2B,-0.24,Hdac4
DisGeNET,35,C0349204,Nonorganic psychosis,,-3.6,12,6.5,30286,376,26,4,15,7.1,406|5621|5999|10846,BMAL1|PRNP|RGS4|PDE10A,0,Hdac4
DisGeNET,35,C0023462,Acute Megakaryocytic Leukemias,,-3.5,22,7.8,30286,158,26,3,12,6.3,801|1490|4297,CALM1|CCN2|KMT2A,0,Hdac4
DisGeNET,35,C0018790,Cardiac Arrest,,-3.4,11,6.2,30286,410,26,4,15,7.1,801|4747|6324|6327,CALM1|NEFL|SCN1B|SCN2B,0,Hdac4
DisGeNET,35,C0917801,Sleeplessness,,-3.4,20,7.4,30286,174,26,3,12,6.3,406|5621|23576,BMAL1|PRNP|DDAH1,0,Hdac4
DisGeNET,35,C1449563,"Cardiomyopathy, Familial Idiopathic",,-3.3,7.5,5.4,30286,772,26,5,19,7.7,1129|1490|3096|6327|23576,CHRM2|CCN2|HIVEP1|SCN2B|DDAH1,0,Hdac4
DisGeNET,35,C0032897,Prader-Willi Syndrome,,-3.3,19,7.2,30286,184,26,3,12,6.3,4692|5621|9883,NDN|PRNP|POM121,0,Hdac4
DisGeNET,35,C0740858,Substance abuse problem,,-3.3,19,7.2,30286,185,26,3,12,6.3,1129|10846|84247,CHRM2|PDE10A|RTL6,0,Hdac4
Cell Type Signatures,7,M39072,MANNO MIDBRAIN NEUROTYPES HSERT,,-3.3,10,5.9,30286,450,26,4,15,7.1,9951|57469|94032|147381,HS3ST4|PNMA8B|CAMK2N2|CBLN2,0,Hdac4
DisGeNET,35,C0038586,Substance Use Disorders,,-3.1,16,6.5,30286,218,26,3,12,6.3,801|1129|84247,CALM1|CHRM2|RTL6,0,Hdac4
DisGeNET,35,C0040822,Tremor,,-3,8.8,5.3,30286,528,26,4,15,7.1,406|5621|6324|10846,BMAL1|PRNP|SCN1B|PDE10A,0,Hdac4
DisGeNET,35,C4721453,Peripheral Nervous System Diseases,,-2.9,8.5,5.2,30286,549,26,4,15,7.1,1490|4297|4747|5621,CCN2|KMT2A|NEFL|PRNP,0,Hdac4
DisGeNET,35,C0949664,Tauopathies,,-2.9,14,6.1,30286,245,26,3,12,6.3,406|4747|5621,BMAL1|NEFL|PRNP,0,Hdac4
DisGeNET,35,C0033975,Psychotic Disorders,,-2.9,8.3,5.1,30286,560,26,4,15,7.1,406|5621|5999|10846,BMAL1|PRNP|RGS4|PDE10A,0,Hdac4
Cell Type Signatures,7,M41709,FAN OVARY CL7 ANGEIOGENIC ENDOTHELIAL CELL,,-2.9,14,6,30286,251,26,3,12,6.3,801|1490|7529,CALM1|CCN2|YWHAB,0,Hdac4
DisGeNET,35,C0001973,"Alcoholic Intoxication, Chronic",,-2.9,8.1,5,30286,577,26,4,15,7.1,406|1129|5999|10846,BMAL1|CHRM2|RGS4|PDE10A,0,Hdac4
DisGeNET,35,C0276496,Familial Alzheimer Disease (FAD),,-2.9,13,5.9,30286,260,26,3,12,6.3,801|4747|5621,CALM1|NEFL|PRNP,0,Hdac4
DisGeNET,35,C1536220,ST segment elevation myocardial infarction,,-2.8,13,5.9,30286,263,26,3,12,6.3,801|1490|80274,CALM1|CCN2|SCUBE1,0,Hdac4
DisGeNET,35,C0027708,Nephroblastoma,,-2.8,8,5,30286,586,26,4,15,7.1,1490|4297|4747|5999,CCN2|KMT2A|NEFL|RGS4,0,Hdac4
DisGeNET,35,C0020676,Hypothyroidism,,-2.8,7.6,4.8,30286,613,26,4,15,7.1,406|801|4747|10846,BMAL1|CALM1|NEFL|PDE10A,0,Hdac4
DisGeNET,35,C0041341,Tuberous Sclerosis,,-2.7,12,5.6,30286,289,26,3,12,6.3,406|1490|7529,BMAL1|CCN2|YWHAB,0,Hdac4
DisGeNET,35,C0037317,Sleep disturbances,,-2.6,11,5.3,30286,310,26,3,12,6.3,406|4297|5621,BMAL1|KMT2A|PRNP,0,Hdac4
DisGeNET,35,C0007682,CNS disorder,,-2.6,11,5.2,30286,319,26,3,12,6.3,4747|5621|10846,NEFL|PRNP|PDE10A,0,Hdac4
