Gene,Gene Symbol,Description,Biological Process (GO),Kinase Class (UniProt),Protein Function (Protein Atlas),Subcellular Location (Protein Atlas),Canonical Pathways,Hallmark Gene Sets
60386,SLC25A19,solute carrier family 25 member 19,GO:0030302 deoxynucleotide transport;GO:0030974 thiamine pyrophosphate transmembrane transport;GO:0009229 thiamine diphosphate biosynthetic process,,Disease related genes; Human disease related genes:Congenital malformations:Congenital malformations of the nervous system; Predicted intracellular proteins; Transporters:Electrochemical Potential-driven transporters; Potential drug targets,Mitochondria (Supported),,(M5949)HALLMARK PEROXISOME
8541,PPFIA3,PTPRF interacting protein alpha 3,GO:0016081 synaptic vesicle docking;GO:0048172 regulation of short-term neuronal synaptic plasticity;GO:0006904 vesicle docking involved in exocytosis,,Predicted intracellular proteins,Nucleoli fibrillar center;Vesicles (Uncertain),,
6223,RPS19,ribosomal protein S19,GO:0060265 positive regulation of respiratory burst involved in inflammatory response;GO:0060266 negative regulation of respiratory burst involved in inflammatory response;GO:0060268 negative regulation of respiratory burst,,Human disease related genes:Other congenital disorders:Ribosomopathies; Human disease related genes:Cardiovascular diseases:Hematologic diseases; Predicted intracellular proteins; Ribosomal proteins; Disease related genes,Nucleoplasm (Supported),,(M5950)HALLMARK ALLOGRAFT REJECTION
3274,HRH2,histamine receptor H2,GO:0001696 gastric acid secretion;GO:0098664 G protein-coupled serotonin receptor signaling pathway;GO:0046717 acid secretion,,FDA approved drug targets:Small molecule drugs; G-protein coupled receptors:GPCRs excl olfactory receptors,,,
6235,RPS29,ribosomal protein S29,GO:0002181 cytoplasmic translation;GO:0006412 translation;GO:0043043 peptide biosynthetic process,,Human disease related genes:Other congenital disorders:Ribosomopathies; Human disease related genes:Cardiovascular diseases:Hematologic diseases; Predicted intracellular proteins; Ribosomal proteins; Disease related genes,Cytosol;Endoplasmic reticulum (Supported),,
84444,DOT1L,DOT1 like histone lysine methyltransferase,GO:2000677 regulation of transcription regulatory region DNA binding;GO:0046425 regulation of receptor signaling pathway via JAK-STAT;GO:0051101 regulation of DNA binding,,Enzymes; ENZYME proteins:Transferases; Predicted intracellular proteins,Nucleoplasm (Enhanced),,
402665,IGLON5,IgLON family member 5,,,Predicted secreted proteins,,,
51170,HSD17B11,hydroxysteroid 17-beta dehydrogenase 11,GO:0006710 androgen catabolic process;GO:0006703 estrogen biosynthetic process;GO:0042447 hormone catabolic process,,Enzymes; Predicted intracellular proteins; ENZYME proteins:Oxidoreductases,Lipid droplets (Supported),,(M5949)HALLMARK PEROXISOME; (M5948)HALLMARK BILE ACID METABOLISM; (M5935)HALLMARK FATTY ACID METABOLISM
84940,CORO6,coronin 6,GO:0007015 actin filament organization;GO:0030036 actin cytoskeleton organization;GO:0097435 supramolecular fiber organization,,Predicted intracellular proteins,Golgi apparatus (Approved),,
6307,MSMO1,methylsterol monooxygenase 1,GO:0006695 cholesterol biosynthetic process;GO:1902653 secondary alcohol biosynthetic process;GO:0016126 sterol biosynthetic process,,Enzymes; Disease related genes; Human disease related genes:Congenital malformations:Congenital malformations of the nervous system; Potential drug targets; ENZYME proteins:Oxidoreductases,Endoplasmic reticulum (Approved),,
79734,KCTD17,potassium channel tetramerization domain containing 17,GO:0032469 endoplasmic reticulum calcium ion homeostasis;GO:0045724 positive regulation of cilium assembly;GO:1902017 regulation of cilium assembly,,Human disease related genes:Nervous system diseases:Other nervous and sensory system diseases; Predicted intracellular proteins; Disease related genes,,,
56616,DIABLO,diablo IAP-binding mitochondrial protein,GO:0008635 activation of cysteine-type endopeptidase activity involved in apoptotic process by cytochrome c;GO:0008631 intrinsic apoptotic signaling pathway in response to oxidative stress;GO:0008625 extrinsic apoptotic signaling pathway via death domain receptors,,Predicted intracellular proteins; Human disease related genes:Nervous system diseases:Ear disease; Disease related genes,Mitochondria (Supported),(M220)PID CASPASE PATHWAY; (M153)PID P75 NTR PATHWAY,(M5902)HALLMARK APOPTOSIS
25851,TECPR1,tectonin beta-propeller repeat containing 1,GO:1901096 regulation of autophagosome maturation;GO:0097352 autophagosome maturation;GO:0043244 regulation of protein-containing complex disassembly,,Predicted intracellular proteins,Vesicles (Supported),,
25900,IFFO1,intermediate filament family orphan 1,GO:1990683 DNA double-strand break attachment to nuclear envelope;GO:0097240 chromosome attachment to the nuclear envelope;GO:1990166 protein localization to site of double-strand break,,Predicted intracellular proteins,,,
57732,ZFYVE28,zinc finger FYVE-type containing 28,GO:0007175 negative regulation of epidermal growth factor-activated receptor activity;GO:0007176 regulation of epidermal growth factor-activated receptor activity;GO:0061099 negative regulation of protein tyrosine kinase activity,,Predicted intracellular proteins,Cytosol;Plasma membrane (Approved); Additional: Nucleoplasm,(M214)PID ERBB1 INTERNALIZATION PATHWAY,
57464,STRIP2,striatin interacting protein 2,GO:0008360 regulation of cell shape;GO:0022604 regulation of cell morphogenesis;GO:0016477 cell migration,,Predicted intracellular proteins,Cytosol (Approved),,
283987,HID1,HID1 domain containing,,,Predicted intracellular proteins; Human disease related genes:Nervous system diseases:Epilepsy; Disease related genes,Cytosol;Golgi apparatus (Supported),,
1759,DNM1,dynamin 1,GO:0099049 clathrin coat assembly involved in endocytosis;GO:0099050 vesicle scission;GO:0016185 synaptic vesicle budding from presynaptic endocytic zone membrane,,Enzymes; Disease related genes; Human disease related genes:Nervous system diseases:Epilepsy; Predicted intracellular proteins; ENZYME proteins:Hydrolases; Potential drug targets,,(M252)PID IL8 CXCR1 PATHWAY; (M257)PID EPHRINB REV PATHWAY; (M210)PID IL8 CXCR2 PATHWAY,
