Name,Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value)
Kansl1l,Reactome Gene Sets,6,R-HSA-9620244,Long-term potentiation,,-9.4,1.3e+02,25,30286,24,50,5,10,4.2,801|805|808|4747|4900,CALM1|CALM2|CALM3|NEFL|NRGN,-5.1
Kansl1l,Reactome Gene Sets,6,R-HSA-109582,Hemostasis,,-8.3,11,10,30286,622,50,11,22,5.9,226|801|805|808|830|1794|3021|4067|4282|7534|64805,ALDOA|CALM1|CALM2|CALM3|CAPZA2|DOCK2|H3-3B|LYN|MIF|YWHAZ|P2RY12,-4.5
Kansl1l,GO Biological Processes,19,GO:0051343,positive regulation of cyclic-nucleotide phosphodiesterase activity,19_GO:0065007 biological regulation,-7.8,4.5e+02,37,30286,4,50,3,6,3.4,801|805|808,CALM1|CALM2|CALM3,-4.3
Kansl1l,GO Biological Processes,19,GO:0032516,positive regulation of phosphoprotein phosphatase activity,19_GO:0048518 positive regulation of biological process,-7.6,1.3e+02,22,30286,19,50,4,8,3.8,801|805|808|3326,CALM1|CALM2|CALM3|HSP90AB1,-4.2
Kansl1l,Reactome Gene Sets,6,R-HSA-983705,Signaling by the B Cell Receptor (BCR),,-7.5,32,14,30286,112,50,6,12,4.6,801|805|808|4067|6500|7314,CALM1|CALM2|CALM3|LYN|SKP1|UBB,-4.2
Kansl1l,Reactome Gene Sets,6,R-HSA-442982,Ras activation upon Ca2+ influx through NMDA receptor,,-7.4,1.2e+02,21,30286,21,50,4,8,3.8,801|805|808|4747,CALM1|CALM2|CALM3|NEFL,-4.2
Kansl1l,GO Biological Processes,19,GO:1905913,negative regulation of calcium ion export across plasma membrane,19_GO:0051179 localization,-7.4,3.6e+02,33,30286,5,50,3,6,3.4,801|805|808,CALM1|CALM2|CALM3,-4.2
Kansl1l,Reactome Gene Sets,6,R-HSA-9617324,Negative regulation of NMDA receptor-mediated neuronal transmission,,-7.3,1.1e+02,21,30286,22,50,4,8,3.8,801|805|808|4747,CALM1|CALM2|CALM3|NEFL,-4.2
Kansl1l,Reactome Gene Sets,6,R-HSA-438066,"Unblocking of NMDA receptors, glutamate binding and activation",,-7.3,1.1e+02,21,30286,22,50,4,8,3.8,801|805|808|4747,CALM1|CALM2|CALM3|NEFL,-4.2
Kansl1l,KEGG Pathway,24,hsa04114,Oocyte meiosis,,-7.1,28,12,30286,131,50,6,12,4.6,801|805|808|6500|7529|7534,CALM1|CALM2|CALM3|SKP1|YWHAB|YWHAZ,-4.1
Kansl1l,GO Biological Processes,19,GO:0051282,regulation of sequestering of calcium ion,19_GO:0042592 homeostatic process,-7.1,28,12,30286,132,50,6,12,4.6,801|805|808|3357|3358|4067,CALM1|CALM2|CALM3|HTR2B|HTR2C|LYN,-4.1
Kansl1l,Reactome Gene Sets,6,R-HSA-111957,Cam-PDE 1 activation,,-7.1,3e+02,30,30286,6,50,3,6,3.4,801|805|808,CALM1|CALM2|CALM3,-4.1
Kansl1l,Reactome Gene Sets,6,R-HSA-9022535,Loss of phosphorylation of MECP2 at T308,,-7.1,3e+02,30,30286,6,50,3,6,3.4,801|805|808,CALM1|CALM2|CALM3,-4.1
Kansl1l,GO Biological Processes,19,GO:1905912,regulation of calcium ion export across plasma membrane,19_GO:0051179 localization,-7.1,3e+02,30,30286,6,50,3,6,3.4,801|805|808,CALM1|CALM2|CALM3,-4.1
Kansl1l,Reactome Gene Sets,6,R-HSA-2454202,Fc epsilon receptor (FCERI) signaling,,-7,27,12,30286,134,50,6,12,4.6,801|805|808|4067|6500|7314,CALM1|CALM2|CALM3|LYN|SKP1|UBB,-4.1
