_MEMBER_Igfbp5,Gene,_PATTERN_,_WEIGHTED_RANK_,_RANK_
1,81792,M1,0.07142857142857142,1
1,6583,M1,0.07142857142857142,1
1,10260,M1,0.07142857142857142,1
1,57480,M1,0.07142857142857142,1
1,55160,M1,0.07142857142857142,1
1,57134,M1,0.07142857142857142,1
1,79033,M1,0.07142857142857142,1
1,116984,M1,0.07142857142857142,1
1,79658,M1,0.07142857142857142,1
1,8672,M1,0.07142857142857142,1
1,23097,M1,0.07142857142857142,1
1,26059,M1,0.07142857142857142,1
1,84898,M1,0.07142857142857142,1
1,57569,M1,0.07142857142857142,1
