_MEMBER_Sulf1,_LogP_Sulf1,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-4.9,C0017150,M1,1,0,DisGeNET,35,Gastrinoma,,-4.9,66,14,30286,49,28,3,11,5.8,960|2670|6344,CD44|GFAP|SCTR,-1.1,0
1,-4.1,C0014474,M1,1,0,DisGeNET,35,Ependymoma,,-4.1,18,8,30286,244,28,4,14,6.6,960|1903|2670|3554,CD44|S1PR3|GFAP|IL1R1,-0.41,0
1,-3.8,C1511789,M1,1,0,DisGeNET,35,Desmoplastic,,-3.8,28,8.8,30286,117,28,3,11,5.8,960|2670|8038,CD44|GFAP|ADAM12,-0.21,0
1,-3.5,C0037286,M1,1,0,DisGeNET,35,Skin Neoplasms,,-3.5,12,6.4,30286,363,28,4,14,6.6,960|8038|9630|57188,CD44|ADAM12|GNA14|ADAMTSL3,-0.085,0
1,-3.4,C0220605,M1,1,0,DisGeNET,35,Adult Non-Hodgkin Lymphoma,,-3.4,12,6.3,30286,370,28,4,14,6.6,710|960|8038|374569,SERPING1|CD44|ADAM12|ASPG,-0.085,0
1,-3.4,C0220612,M1,1,0,DisGeNET,35,Childhood Non-Hodgkin Lymphoma,,-3.4,12,6.3,30286,371,28,4,14,6.6,710|960|8038|374569,SERPING1|CD44|ADAM12|ASPG,-0.085,0
1,-3.3,C0018378,M1,1,0,DisGeNET,35,Guillain-Barre Syndrome,,-3.3,20,7.4,30286,163,28,3,11,5.8,710|2670|342035,SERPING1|GFAP|GLDN,-0.014,0
1,-3.3,C0162534,M1,1,0,DisGeNET,35,Prion Diseases,,-3.3,19,7.1,30286,175,28,3,11,5.8,960|2670|144402,CD44|GFAP|CPNE8,0,0
1,-3.2,C0154830,M1,1,0,DisGeNET,35,Proliferative diabetic retinopathy,,-3.2,18,7,30286,180,28,3,11,5.8,960|2670|5216,CD44|GFAP|PFN1,0,0
1,-3.2,C0035222,M1,1,0,DisGeNET,35,"Respiratory Distress Syndrome, Adult",,-3.2,10,5.7,30286,434,28,4,14,6.6,710|960|1903|3554,SERPING1|CD44|S1PR3|IL1R1,0,0
1,-3.1,C0020429,M1,1,0,DisGeNET,35,Hyperalgesia,,-3.1,9.6,5.6,30286,451,28,4,14,6.6,960|2670|3554|5074,CD44|GFAP|IL1R1|PAWR,0,0
1,-3.1,C4721532,M1,1,0,DisGeNET,35,"Lymphoma, Non-Hodgkin, Familial",,-3.1,9.4,5.5,30286,462,28,4,14,6.6,710|960|8038|374569,SERPING1|CD44|ADAM12|ASPG,0,0
1,-3,C0730328,M1,1,0,DisGeNET,35,Central Serous Chorioretinopathy,,-3,15,6.4,30286,211,28,3,11,5.8,960|8038|9180,CD44|ADAM12|OSMR,0,0
1,-2.9,C0281361,M1,1,0,DisGeNET,35,Adenocarcinoma of pancreas,,-2.9,8.4,5.1,30286,518,28,4,14,6.6,960|5074|5216|6344,CD44|PAWR|PFN1|SCTR,0,0
1,-2.7,C0005779,M1,1,0,DisGeNET,35,Blood Coagulation Disorders,,-2.7,12,5.6,30286,266,28,3,11,5.8,710|5074|374569,SERPING1|PAWR|ASPG,0,0
1,-2.7,C0028945,M1,1,0,DisGeNET,35,oligodendroglioma,,-2.7,12,5.4,30286,282,28,3,11,5.8,960|2670|8038,CD44|GFAP|ADAM12,0,0
1,-2.6,C0032580,M1,1,0,DisGeNET,35,Adenomatous Polyposis Coli,,-2.6,7.1,4.6,30286,609,28,4,14,6.6,960|2670|23671|60386,CD44|GFAP|TMEFF2|SLC25A19,0,0
1,-2.6,C0037274,M1,1,0,DisGeNET,35,Dermatologic disorders,,-2.6,7,4.6,30286,615,28,4,14,6.6,960|2670|3554|9180,CD44|GFAP|IL1R1|OSMR,0,0
1,-2.6,C0024314,M1,1,0,DisGeNET,35,Lymphoproliferative Disorders,,-2.6,11,5.2,30286,300,28,3,11,5.8,710|960|3554,SERPING1|CD44|IL1R1,0,0
1,-2.6,C0000737,M1,1,0,DisGeNET,35,Abdominal Pain,,-2.6,11,5.2,30286,302,28,3,11,5.8,710|10512|374569,SERPING1|SEMA3C|ASPG,0,0
1,-2.6,C0042963,M1,1,0,DisGeNET,35,Vomiting,,-2.6,11,5.2,30286,303,28,3,11,5.8,710|2670|374569,SERPING1|GFAP|ASPG,0,0
1,-2.5,C0007682,M1,1,0,DisGeNET,35,CNS disorder,,-2.5,10,5,30286,319,28,3,11,5.8,710|960|2670,SERPING1|CD44|GFAP,0,0
1,-2.4,C0011265,M1,1,0,DisGeNET,35,Presenile dementia,,-2.4,6,4.1,30286,718,28,4,14,6.6,710|2670|5074|5216,SERPING1|GFAP|PAWR|PFN1,0,0
1,-2.4,C0014556,M1,1,0,DisGeNET,35,"Epilepsy, Temporal Lobe",,-2.4,9.2,4.7,30286,354,28,3,11,5.8,710|2670|9630,SERPING1|GFAP|GNA14,0,0
1,-2.4,C0024305,M1,1,0,DisGeNET,35,"Lymphoma, Non-Hodgkin",,-2.4,5.9,4.1,30286,733,28,4,14,6.6,710|960|8038|374569,SERPING1|CD44|ADAM12|ASPG,0,0
1,-2.4,C0220641,M1,1,0,DisGeNET,35,Lip and Oral Cavity Carcinoma,,-2.4,5.9,4.1,30286,734,28,4,14,6.6,960|10512|23671|55601,CD44|SEMA3C|TMEFF2|DDX60,0,0
1,-2.4,C0521158,M1,1,0,DisGeNET,35,Recurrent tumor,,-2.4,5.9,4.1,30286,735,28,4,14,6.6,960|2670|5074|9180,CD44|GFAP|PAWR|OSMR,0,0
1,-2.3,C0409959,M1,1,0,DisGeNET,35,"Osteoarthritis, Knee",,-2.3,8.8,4.6,30286,368,28,3,11,5.8,960|3554|8038,CD44|IL1R1|ADAM12,0,0
1,-2.3,C0086692,M1,1,0,DisGeNET,35,Benign Neoplasm,,-2.3,8.7,4.6,30286,371,28,3,11,5.8,960|2670|8038,CD44|GFAP|ADAM12,0,0
1,-2.3,C0153381,M1,1,0,DisGeNET,35,Malignant neoplasm of mouth,,-2.3,5.7,4,30286,756,28,4,14,6.6,960|10512|23671|55601,CD44|SEMA3C|TMEFF2|DDX60,0,0
1,-2.3,C0278996,M1,1,0,DisGeNET,35,Malignant Head and Neck Neoplasm,,-2.3,5.6,4,30286,767,28,4,14,6.6,960|2788|5074|8038,CD44|GNG7|PAWR|ADAM12,0,0
1,-2.3,C0220650,M1,1,0,DisGeNET,35,Metastatic malignant neoplasm to brain,,-2.3,8.3,4.4,30286,392,28,3,11,5.8,960|1903|2670,CD44|S1PR3|GFAP,0,0
1,-2.3,C3887461,M1,1,0,DisGeNET,35,Head and Neck Carcinoma,,-2.3,5.5,3.9,30286,786,28,4,14,6.6,960|2788|5074|8038,CD44|GNG7|PAWR|ADAM12,0,0
1,-2.2,C1762616,M1,1,0,DisGeNET,35,"Meningioma, benign, no ICD-O subtype",,-2.2,8,4.3,30286,404,28,3,11,5.8,960|2670|57188,CD44|GFAP|ADAMTSL3,0,0
1,-2.2,C0278877,M1,1,0,DisGeNET,35,Adult Meningioma,,-2.2,8,4.3,30286,405,28,3,11,5.8,960|2670|57188,CD44|GFAP|ADAMTSL3,0,0
1,-2.2,C0006287,M1,1,0,DisGeNET,35,Bronchopulmonary Dysplasia,,-2.2,7.7,4.2,30286,423,28,3,11,5.8,960|2670|5216,CD44|GFAP|PFN1,0,0
1,-2.1,C0042834,M1,1,0,DisGeNET,35,Vital capacity,,-2.1,7.5,4.2,30286,430,28,3,11,5.8,3554|55799|57188,IL1R1|CACNA2D3|ADAMTSL3,0,0
1,-2.1,C0017661,M1,1,0,DisGeNET,35,IGA Glomerulonephritis,,-2.1,7.1,4,30286,456,28,3,11,5.8,960|29015|84166,CD44|SLC43A3|NLRC5,0,0
1,-2,C0021368,M1,1,0,DisGeNET,35,Inflammation,,-2,6.9,3.9,30286,467,28,3,11,5.8,710|721|960,SERPING1|C4B|CD44,0,0
1,-2,C0278764,M1,1,0,DisGeNET,35,Adult Burkitt Lymphoma,,-2,6.8,3.9,30286,475,28,3,11,5.8,721|960|374569,C4B|CD44|ASPG,0,0
1,-2,C0278879,M1,1,0,DisGeNET,35,Childhood Burkitt Lymphoma,,-2,6.8,3.9,30286,477,28,3,11,5.8,721|960|374569,C4B|CD44|ASPG,0,0
1,-2,C1445957,M1,1,0,DisGeNET,35,Serum total cholesterol measurement,,-2,6.7,3.8,30286,486,28,3,11,5.8,960|3554|8038,CD44|IL1R1|ADAM12,0,0
