Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
Reactome Gene Sets,6,R-HSA-9620244,Long-term potentiation,,-7.8,63,18,30286,24,100,5,5,2.2,801|805|808|4747|4900,CALM1|CALM2|CALM3|NEFL|NRGN,-3.5,Kansl1l
GO Biological Processes,19,GO:0051343,positive regulation of cyclic-nucleotide phosphodiesterase activity,19_GO:0065007 biological regulation,-6.9,2.3e+02,26,30286,4,100,3,3,1.7,801|805|808,CALM1|CALM2|CALM3,-2.8,Kansl1l
GO Biological Processes,19,GO:1905913,negative regulation of calcium ion export across plasma membrane,19_GO:0051179 localization,-6.5,1.8e+02,23,30286,5,100,3,3,1.7,801|805|808,CALM1|CALM2|CALM3,-2.8,Kansl1l
GO Biological Processes,19,GO:0032516,positive regulation of phosphoprotein phosphatase activity,19_GO:0048518 positive regulation of biological process,-6.4,64,16,30286,19,100,4,4,2,801|805|808|3326,CALM1|CALM2|CALM3|HSP90AB1,-2.8,Kansl1l
Reactome Gene Sets,6,R-HSA-5621481,C-type lectin receptors (CLRs),,-6.3,15,9.5,30286,143,100,7,7,2.6,801|805|808|4067|6500|7314|143662,CALM1|CALM2|CALM3|LYN|SKP1|UBB|MUC15,-2.8,Kansl1l
Reactome Gene Sets,6,R-HSA-442982,Ras activation upon Ca2+ influx through NMDA receptor,,-6.2,58,15,30286,21,100,4,4,2,801|805|808|4747,CALM1|CALM2|CALM3|NEFL,-2.8,Kansl1l
GO Biological Processes,19,GO:1905912,regulation of calcium ion export across plasma membrane,19_GO:0051179 localization,-6.2,1.5e+02,21,30286,6,100,3,3,1.7,801|805|808,CALM1|CALM2|CALM3,-2.8,Kansl1l
Reactome Gene Sets,6,R-HSA-9022535,Loss of phosphorylation of MECP2 at T308,,-6.2,1.5e+02,21,30286,6,100,3,3,1.7,801|805|808,CALM1|CALM2|CALM3,-2.8,Kansl1l
Reactome Gene Sets,6,R-HSA-111957,Cam-PDE 1 activation,,-6.2,1.5e+02,21,30286,6,100,3,3,1.7,801|805|808,CALM1|CALM2|CALM3,-2.8,Kansl1l
Reactome Gene Sets,6,R-HSA-9617324,Negative regulation of NMDA receptor-mediated neuronal transmission,,-6.1,55,15,30286,22,100,4,4,2,801|805|808|4747,CALM1|CALM2|CALM3|NEFL,-2.8,Kansl1l
Reactome Gene Sets,6,R-HSA-438066,"Unblocking of NMDA receptors, glutamate binding and activation",,-6.1,55,15,30286,22,100,4,4,2,801|805|808|4747,CALM1|CALM2|CALM3|NEFL,-2.8,Kansl1l
Reactome Gene Sets,6,R-HSA-109582,Hemostasis,,-6,5.8,7,30286,622,100,12,12,3.2,226|285|801|805|808|830|1794|3021|4067|4282|7534|64805,ALDOA|ANGPT2|CALM1|CALM2|CALM3|CAPZA2|DOCK2|H3-3B|LYN|MIF|YWHAZ|P2RY12,-2.7,Kansl1l
GO Biological Processes,19,GO:0060322,head development,19_GO:0032502 developmental process,-5.8,5.1,6.6,30286,778,100,13,13,3.4,801|805|808|2045|3624|4747|4826|7314|8633|9447|23767|27429|64805,CALM1|CALM2|CALM3|EPHA7|INHBA|NEFL|NNAT|UBB|UNC5C|AIM2|FLRT3|HTRA2|P2RY12,-2.6,Kansl1l
Reactome Gene Sets,6,R-HSA-9648002,RAS processing,,-5.7,45,13,30286,27,100,4,4,2,801|805|808|7314,CALM1|CALM2|CALM3|UBB,-2.6,Kansl1l
Reactome Gene Sets,6,R-HSA-8982491,Glycogen metabolism,,-5.7,45,13,30286,27,100,4,4,2,801|805|808|7314,CALM1|CALM2|CALM3|UBB,-2.6,Kansl1l
GO Biological Processes,19,GO:0051342,regulation of cyclic-nucleotide phosphodiesterase activity,19_GO:0065007 biological regulation,-5.7,1.1e+02,18,30286,8,100,3,3,1.7,801|805|808,CALM1|CALM2|CALM3,-2.6,Kansl1l
GO Biological Processes,19,GO:0060316,positive regulation of ryanodine-sensitive calcium-release channel activity,19_GO:0042592 homeostatic process,-5.7,1.1e+02,18,30286,8,100,3,3,1.7,801|805|808,CALM1|CALM2|CALM3,-2.6,Kansl1l
Reactome Gene Sets,6,R-HSA-983705,Signaling by the B Cell Receptor (BCR),,-5.7,16,9.3,30286,112,100,6,6,2.4,801|805|808|4067|6500|7314,CALM1|CALM2|CALM3|LYN|SKP1|UBB,-2.6,Kansl1l
GO Biological Processes,19,GO:0010922,positive regulation of phosphatase activity,19_GO:0048518 positive regulation of biological process,-5.7,43,13,30286,28,100,4,4,2,801|805|808|3326,CALM1|CALM2|CALM3|HSP90AB1,-2.6,Kansl1l
Reactome Gene Sets,6,R-HSA-442742,CREB1 phosphorylation through NMDA receptor-mediated activation of RAS signaling,,-5.6,42,13,30286,29,100,4,4,2,801|805|808|4747,CALM1|CALM2|CALM3|NEFL,-2.6,Kansl1l
Reactome Gene Sets,6,R-HSA-9619229,Activation of RAC1 downstream of NMDARs,,-5.5,1e+02,17,30286,9,100,3,3,1.7,801|805|808,CALM1|CALM2|CALM3,-2.5,Kansl1l
KEGG Pathway,24,hsa05012,Parkinson disease,,-5.5,9.1,7.6,30286,266,100,8,8,2.7,801|805|808|1350|4697|4718|7314|27429,CALM1|CALM2|CALM3|COX7C|NDUFA4|NDUFC2|UBB|HTRA2,-2.5,Kansl1l
Reactome Gene Sets,6,R-HSA-5339562,Uptake and actions of bacterial toxins,,-5.5,39,12,30286,31,100,4,4,2,801|805|808|3326,CALM1|CALM2|CALM3|HSP90AB1,-2.5,Kansl1l
GO Biological Processes,19,GO:0040011,locomotion,19_GO:0040011 locomotion,-5.4,7.4,7.1,30286,366,100,9,9,2.9,1794|2045|4282|4747|8633|10803|23767|57408|151647,DOCK2|EPHA7|MIF|NEFL|UNC5C|CCR9|FLRT3|LRTM1|TAFA4,-2.5,Kansl1l
Reactome Gene Sets,6,R-HSA-983695,Antigen activates B Cell Receptor (BCR) leading to generation of second messengers,,-5.4,38,12,30286,32,100,4,4,2,801|805|808|4067,CALM1|CALM2|CALM3|LYN,-2.5,Kansl1l
Reactome Gene Sets,6,R-HSA-442729,CREB1 phosphorylation through the activation of CaMKII/CaMKK/CaMKIV cascasde,,-5.4,91,16,30286,10,100,3,3,1.7,801|805|808,CALM1|CALM2|CALM3,-2.5,Kansl1l
Reactome Gene Sets,6,R-HSA-1445148,Translocation of SLC2A4 (GLUT4) to the plasma membrane,,-5.4,21,9.8,30286,72,100,5,5,2.2,801|805|808|7529|7534,CALM1|CALM2|CALM3|YWHAB|YWHAZ,-2.5,Kansl1l
Reactome Gene Sets,6,R-HSA-2871809,FCERI mediated Ca+2 mobilization,,-5.4,37,12,30286,33,100,4,4,2,801|805|808|4067,CALM1|CALM2|CALM3|LYN,-2.5,Kansl1l
Reactome Gene Sets,6,R-HSA-9824439,Bacterial Infection Pathways,,-5.4,21,9.7,30286,73,100,5,5,2.2,801|805|808|3326|7314,CALM1|CALM2|CALM3|HSP90AB1|UBB,-2.5,Kansl1l
GO Biological Processes,19,GO:0030162,regulation of proteolysis,19_GO:0008152 metabolic process,-5.3,5.6,6.5,30286,600,100,11,11,3.1,2045|2597|3326|4067|6613|7314|9447|23204|27429|55743|373509,EPHA7|GAPDH|HSP90AB1|LYN|SUMO2|UBB|AIM2|ARL6IP1|HTRA2|CHFR|USP50,-2.5,Kansl1l
KEGG Pathway,24,hsa04114,Oocyte meiosis,,-5.3,14,8.5,30286,131,100,6,6,2.4,801|805|808|6500|7529|7534,CALM1|CALM2|CALM3|SKP1|YWHAB|YWHAZ,-2.5,Kansl1l
GO Biological Processes,19,GO:0051282,regulation of sequestering of calcium ion,19_GO:0042592 homeostatic process,-5.3,14,8.5,30286,132,100,6,6,2.4,801|805|808|3357|3358|4067,CALM1|CALM2|CALM3|HTR2B|HTR2C|LYN,-2.5,Kansl1l
GO Biological Processes,19,GO:0007420,brain development,19_GO:0032502 developmental process,-5.3,5,6.3,30286,729,100,12,12,3.2,801|805|808|2045|3624|4747|4826|7314|8633|9447|27429|64805,CALM1|CALM2|CALM3|EPHA7|INHBA|NEFL|NNAT|UBB|UNC5C|AIM2|HTRA2|P2RY12,-2.5,Kansl1l
Reactome Gene Sets,6,R-HSA-2025928,Calcineurin activates NFAT,,-5.2,83,16,30286,11,100,3,3,1.7,801|805|808,CALM1|CALM2|CALM3,-2.5,Kansl1l
GO Biological Processes,19,GO:1901844,regulation of cell communication by electrical coupling involved in cardiac conduction,19_GO:0032501 multicellular organismal process,-5.2,83,16,30286,11,100,3,3,1.7,801|805|808,CALM1|CALM2|CALM3,-2.5,Kansl1l
GO Biological Processes,19,GO:0060315,negative regulation of ryanodine-sensitive calcium-release channel activity,19_GO:0042592 homeostatic process,-5.2,83,16,30286,11,100,3,3,1.7,801|805|808,CALM1|CALM2|CALM3,-2.5,Kansl1l
Reactome Gene Sets,6,R-HSA-2454202,Fc epsilon receptor (FCERI) signaling,,-5.2,14,8.4,30286,134,100,6,6,2.4,801|805|808|4067|6500|7314,CALM1|CALM2|CALM3|LYN|SKP1|UBB,-2.5,Kansl1l
Reactome Gene Sets,6,R-HSA-5673000,RAF activation,,-5.2,34,11,30286,36,100,4,4,2,801|805|808|7529,CALM1|CALM2|CALM3|YWHAB,-2.5,Kansl1l
