_MEMBER_Tbc1d13,_LogP_Tbc1d13,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-4.6,M41648,M1,1,0,Cell Type Signatures,7,TRAVAGLINI LUNG CLUB CELL,,-4.6,23,9.2,30286,114,46,4,8.7,4.2,6167|6223|6235|51170,RPL37|RPS19|RPS29|HSD17B11,-0.36,0
1,-3.1,M40009,M1,1,0,Cell Type Signatures,7,BUSSLINGER GASTRIC PPP1R1B POSITIVE CELLS,,-3.1,16,6.6,30286,121,46,3,6.5,3.6,6167|6223|6235,RPL37|RPS19|RPS29,0,0
1,-3,M41684,M1,1,0,Cell Type Signatures,7,TRAVAGLINI LUNG CD4 NAIVE T CELL,,-3,15,6.3,30286,132,46,3,6.5,3.6,6167|6223|6235,RPL37|RPS19|RPS29,0,0
1,-2.7,M41751,M1,1,0,Cell Type Signatures,7,RUBENSTEIN SKELETAL MUSCLE MYELOID CELLS,,-2.7,7.6,4.8,30286,347,46,4,8.7,4.2,6167|6223|6235|51170,RPL37|RPS19|RPS29|HSD17B11,0,0
1,-2.7,M39107,M1,1,0,Cell Type Signatures,7,AIZARANI LIVER C3 NK NKT CELLS 2,,-2.7,12,5.6,30286,162,46,3,6.5,3.6,6167|6223|6235,RPL37|RPS19|RPS29,0,0
1,-2.6,M41753,M1,1,0,Cell Type Signatures,7,RUBENSTEIN SKELETAL MUSCLE B CELLS,,-2.6,11,5.3,30286,177,46,3,6.5,3.6,6167|6223|6235,RPL37|RPS19|RPS29,0,0
1,-2.6,M41752,M1,1,0,Cell Type Signatures,7,RUBENSTEIN SKELETAL MUSCLE T CELLS,,-2.6,11,5.2,30286,181,46,3,6.5,3.6,6167|6223|6235,RPL37|RPS19|RPS29,0,0
1,-2.5,M40026,M1,1,0,Cell Type Signatures,7,BUSSLINGER DUODENAL TRANSIT AMPLIFYING CELLS,,-2.5,10,5,30286,194,46,3,6.5,3.6,6167|6223|6235,RPL37|RPS19|RPS29,0,0
1,-2.3,M41668,M1,1,0,Cell Type Signatures,7,TRAVAGLINI LUNG BRONCHIAL VESSEL 1 CELL,,-2.3,8.8,4.6,30286,224,46,3,6.5,3.6,6167|6223|6235,RPL37|RPS19|RPS29,0,0
1,-2.2,M39017,M1,1,0,Cell Type Signatures,7,FAN EMBRYONIC CTX BIG GROUPS CAJAL RETZIUS,,-2.2,5.3,3.8,30286,499,46,4,8.7,4.2,6307|56616|151835|440193,MSMO1|DIABLO|CPNE9|CCDC88C,0,0
