Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
DisGeNET,35,C1846176,Hyperactive deep tendon reflexes,,-4.8,62,13,30286,32,46,3,6.5,3.6,3748|5621|56006,KCNC3|PRNP|SMG9,-0.36,Tbc1d13
Cell Type Signatures,7,M41648,TRAVAGLINI LUNG CLUB CELL,,-4.6,23,9.2,30286,114,46,4,8.7,4.2,6167|6223|6235|51170,RPL37|RPS19|RPS29|HSD17B11,-0.36,Tbc1d13
DisGeNET,35,C0027066,Myoclonus,,-4.3,12,7.3,30286,264,46,5,11,4.6,1759|3748|5621|55005|79734,DNM1|KCNC3|PRNP|RMND1|KCTD17,-0.31,Tbc1d13
DisGeNET,35,C4021821,Abnormality of the urinary system,,-4.2,40,11,30286,50,46,3,6.5,3.6,2720|6223|6235,GLB1|RPS19|RPS29,-0.31,Tbc1d13
DisGeNET,35,C0040485,Torticollis,,-4.1,36,10,30286,55,46,3,6.5,3.6,3748|8558|79734,KCNC3|CDK10|KCTD17,-0.28,Tbc1d13
DisGeNET,35,C0007758,Cerebellar Ataxia,,-3.3,7.5,5.3,30286,440,46,5,11,4.6,1759|2720|3748|5621|402665,DNM1|GLB1|KCNC3|PRNP|IGLON5,0,Tbc1d13
DisGeNET,35,C1842876,Depressed nasal ridge,,-3.1,17,6.7,30286,117,46,3,6.5,3.6,2720|6223|6235,GLB1|RPS19|RPS29,0,Tbc1d13
Cell Type Signatures,7,M40009,BUSSLINGER GASTRIC PPP1R1B POSITIVE CELLS,,-3.1,16,6.6,30286,121,46,3,6.5,3.6,6167|6223|6235,RPL37|RPS19|RPS29,0,Tbc1d13
Cell Type Signatures,7,M41684,TRAVAGLINI LUNG CD4 NAIVE T CELL,,-3,15,6.3,30286,132,46,3,6.5,3.6,6167|6223|6235,RPL37|RPS19|RPS29,0,Tbc1d13
DisGeNET,35,C0002962,Angina Pectoris,,-2.9,14,6.1,30286,139,46,3,6.5,3.6,2720|3949|78987,GLB1|LDLR|CRELD1,0,Tbc1d13
DisGeNET,35,C0231686,"Gait, Unsteady",,-2.9,14,6,30286,143,46,3,6.5,3.6,1759|5621|440193,DNM1|PRNP|CCDC88C,0,Tbc1d13
DisGeNET,35,C1839739,Thick lower lip vermilion,,-2.9,14,5.9,30286,145,46,3,6.5,3.6,6223|6235|56006,RPS19|RPS29|SMG9,0,Tbc1d13
DisGeNET,35,C1858430,Death in infancy,,-2.8,14,5.9,30286,146,46,3,6.5,3.6,2720|55005|60386,GLB1|RMND1|SLC25A19,0,Tbc1d13
DisGeNET,35,C0454644,Delayed speech and language development,,-2.8,5.9,4.5,30286,560,46,5,11,4.6,1759|2720|5621|8558|55621,DNM1|GLB1|PRNP|CDK10|TRMT1,0,Tbc1d13
DisGeNET,35,C0087012,"Ataxia, Spinocerebellar",,-2.8,13,5.7,30286,155,46,3,6.5,3.6,3748|5621|440193,KCNC3|PRNP|CCDC88C,0,Tbc1d13
Cell Type Signatures,7,M41751,RUBENSTEIN SKELETAL MUSCLE MYELOID CELLS,,-2.7,7.6,4.8,30286,347,46,4,8.7,4.2,6167|6223|6235|51170,RPL37|RPS19|RPS29|HSD17B11,0,Tbc1d13
Cell Type Signatures,7,M39107,AIZARANI LIVER C3 NK NKT CELLS 2,,-2.7,12,5.6,30286,162,46,3,6.5,3.6,6167|6223|6235,RPL37|RPS19|RPS29,0,Tbc1d13
DisGeNET,35,C0008489,Chorea,,-2.7,12,5.5,30286,168,46,3,6.5,3.6,39|5621|402665,ACAT2|PRNP|IGLON5,0,Tbc1d13
DisGeNET,35,C0751837,Gait Ataxia,,-2.6,11,5.4,30286,172,46,3,6.5,3.6,3748|5621|440193,KCNC3|PRNP|CCDC88C,0,Tbc1d13
