Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
Cell Type Signatures,7,M39070,MANNO MIDBRAIN NEUROTYPES HNBGABA,,-7.2,23,12,30286,703,11,6,55,15,1740|2895|4978|6091|22871|80059,DLG2|GRID2|OPCML|ROBO1|NLGN1|LRRTM4,-2.7,Lrp1b
DisGeNET,35,C0869220,"Adverse effects, not elsewhere classified",,-6,1.5e+02,21,30286,55,11,3,27,13,22871|23236|23245,NLGN1|PLCB1|ASTN2,-2,Lrp1b
DisGeNET,35,C1837461,"SCOLIOSIS, ISOLATED, SUSCEPTIBILITY TO, 3",,-6,24,11,30286,578,11,5,45,15,1740|4978|10718|22871|23245,DLG2|OPCML|NRG3|NLGN1|ASTN2,-2,Lrp1b
DisGeNET,35,C0410702,Adolescent idiopathic scoliosis,,-5.7,21,9.9,30286,656,11,5,45,15,1740|4978|10718|22871|23245,DLG2|OPCML|NRG3|NLGN1|ASTN2,-1.8,Lrp1b
Cell Type Signatures,7,M39052,MANNO MIDBRAIN NEUROTYPES HOPC,,-5.2,30,11,30286,366,11,4,36,15,2895|4978|22871|80059,GRID2|OPCML|NLGN1|LRRTM4,-1.4,Lrp1b
DisGeNET,35,C0019569,Hirschsprung Disease,,-5.1,29,10,30286,384,11,4,36,15,6091|10718|22871|23236,ROBO1|NRG3|NLGN1|PLCB1,-1.4,Lrp1b
Cell Type Signatures,7,M40251,DESCARTES FETAL MUSCLE SCHWANN CELLS,,-5,71,14,30286,117,11,3,27,13,2895|4978|80059,GRID2|OPCML|LRRTM4,-1.4,Lrp1b
Cell Type Signatures,7,M39069,MANNO MIDBRAIN NEUROTYPES HDA2,,-4.6,21,8.9,30286,513,11,4,36,15,1496|1740|6091|80059,CTNNA2|DLG2|ROBO1|LRRTM4,-1,Lrp1b
DisGeNET,35,C1535926,Neurodevelopmental Disorders,,-4.5,21,8.7,30286,534,11,4,36,15,1740|6091|10718|23245,DLG2|ROBO1|NRG3|ASTN2,-1,Lrp1b
Cell Type Signatures,7,M39223,LAKE ADULT KIDNEY C4 PROXIMAL TUBULE EPITHELIAL CELLS S2,,-4.5,47,12,30286,176,11,3,27,13,1740|10718|22871,DLG2|NRG3|NLGN1,-1,Lrp1b
DisGeNET,35,C0205682,Waist-Hip Ratio,,-4.4,19,8.5,30286,565,11,4,36,15,1740|4978|6091|23245,DLG2|OPCML|ROBO1|ASTN2,-0.98,Lrp1b
Cell Type Signatures,7,M39068,MANNO MIDBRAIN NEUROTYPES HDA1,,-4.4,19,8.3,30286,584,11,4,36,15,1496|6091|23236|80059,CTNNA2|ROBO1|PLCB1|LRRTM4,-0.97,Lrp1b
DisGeNET,35,C0041696,Unipolar Depression,,-4.2,17,7.9,30286,641,11,4,36,15,1740|4978|10718|23236,DLG2|OPCML|NRG3|PLCB1,-0.86,Lrp1b
Cell Type Signatures,7,M39222,LAKE ADULT KIDNEY C3 PROXIMAL TUBULE EPITHELIAL CELLS S1 S2,,-4.2,37,10,30286,221,11,3,27,13,1740|22871|23245,DLG2|NLGN1|ASTN2,-0.86,Lrp1b
DisGeNET,35,C1314691,Age at menarche,,-4,31,9.4,30286,267,11,3,27,13,1740|23236|440279,DLG2|PLCB1|UNC13C,-0.65,Lrp1b
Cell Type Signatures,7,M39063,MANNO MIDBRAIN NEUROTYPES HNBM,,-3.8,28,8.9,30286,295,11,3,27,13,1496|6091|80059,CTNNA2|ROBO1|LRRTM4,-0.55,Lrp1b
Cell Type Signatures,7,M39064,MANNO MIDBRAIN NEUROTYPES HNBML1,,-3.7,25,8.4,30286,328,11,3,27,13,1496|6091|80059,CTNNA2|ROBO1|LRRTM4,-0.44,Lrp1b
DisGeNET,35,C0042834,Vital capacity,,-3.4,19,7.2,30286,430,11,3,27,13,1496|23236|23245,CTNNA2|PLCB1|ASTN2,-0.13,Lrp1b
DisGeNET,35,C0523465,Serum albumin measurement,,-3.4,19,7.2,30286,433,11,3,27,13,4978|22871|80059,OPCML|NLGN1|LRRTM4,-0.13,Lrp1b
Cell Type Signatures,7,M39067,MANNO MIDBRAIN NEUROTYPES HDA,,-3.2,16,6.6,30286,506,11,3,27,13,1496|1740|6091,CTNNA2|DLG2|ROBO1,0,Lrp1b
DisGeNET,35,C0424605,Developmental delay (disorder),,-3,14,6.1,30286,584,11,3,27,13,2895|4978|10718,GRID2|OPCML|NRG3,0,Lrp1b
DisGeNET,35,C0021704,Intelligence,,-2.9,13,5.8,30286,645,11,3,27,13,1496|2895|23236,CTNNA2|GRID2|PLCB1,0,Lrp1b
DisGeNET,35,C0023508,White Blood Cell Count procedure,,-2.8,12,5.6,30286,681,11,3,27,13,22871|23236|23245,NLGN1|PLCB1|ASTN2,0,Lrp1b
