_MEMBER_Lrp1b,_LogP_Lrp1b,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-6,C0869220,M1,1,0,DisGeNET,35,"Adverse effects, not elsewhere classified",,-6,1.5e+02,21,30286,55,11,3,27,13,22871|23236|23245,NLGN1|PLCB1|ASTN2,-2,0
1,-6,C1837461,M1,1,0,DisGeNET,35,"SCOLIOSIS, ISOLATED, SUSCEPTIBILITY TO, 3",,-6,24,11,30286,578,11,5,45,15,1740|4978|10718|22871|23245,DLG2|OPCML|NRG3|NLGN1|ASTN2,-2,0
1,-5.7,C0410702,M1,1,0,DisGeNET,35,Adolescent idiopathic scoliosis,,-5.7,21,9.9,30286,656,11,5,45,15,1740|4978|10718|22871|23245,DLG2|OPCML|NRG3|NLGN1|ASTN2,-1.8,0
1,-5.1,C0019569,M1,1,0,DisGeNET,35,Hirschsprung Disease,,-5.1,29,10,30286,384,11,4,36,15,6091|10718|22871|23236,ROBO1|NRG3|NLGN1|PLCB1,-1.4,0
1,-4.5,C1535926,M1,1,0,DisGeNET,35,Neurodevelopmental Disorders,,-4.5,21,8.7,30286,534,11,4,36,15,1740|6091|10718|23245,DLG2|ROBO1|NRG3|ASTN2,-1,0
1,-4.4,C0205682,M1,1,0,DisGeNET,35,Waist-Hip Ratio,,-4.4,19,8.5,30286,565,11,4,36,15,1740|4978|6091|23245,DLG2|OPCML|ROBO1|ASTN2,-0.98,0
1,-4.2,C0041696,M1,1,0,DisGeNET,35,Unipolar Depression,,-4.2,17,7.9,30286,641,11,4,36,15,1740|4978|10718|23236,DLG2|OPCML|NRG3|PLCB1,-0.86,0
1,-4,C1314691,M1,1,0,DisGeNET,35,Age at menarche,,-4,31,9.4,30286,267,11,3,27,13,1740|23236|440279,DLG2|PLCB1|UNC13C,-0.65,0
1,-3.4,C0042834,M1,1,0,DisGeNET,35,Vital capacity,,-3.4,19,7.2,30286,430,11,3,27,13,1496|23236|23245,CTNNA2|PLCB1|ASTN2,-0.13,0
1,-3.4,C0523465,M1,1,0,DisGeNET,35,Serum albumin measurement,,-3.4,19,7.2,30286,433,11,3,27,13,4978|22871|80059,OPCML|NLGN1|LRRTM4,-0.13,0
1,-3,C0424605,M1,1,0,DisGeNET,35,Developmental delay (disorder),,-3,14,6.1,30286,584,11,3,27,13,2895|4978|10718,GRID2|OPCML|NRG3,0,0
1,-2.9,C0021704,M1,1,0,DisGeNET,35,Intelligence,,-2.9,13,5.8,30286,645,11,3,27,13,1496|2895|23236,CTNNA2|GRID2|PLCB1,0,0
1,-2.8,C0023508,M1,1,0,DisGeNET,35,White Blood Cell Count procedure,,-2.8,12,5.6,30286,681,11,3,27,13,22871|23236|23245,NLGN1|PLCB1|ASTN2,0,0
