_MEMBER_Lrp1b,_LogP_Lrp1b,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-7.2,M39070,M1,1,0,Cell Type Signatures,7,MANNO MIDBRAIN NEUROTYPES HNBGABA,,-7.2,23,12,30286,703,11,6,55,15,1740|2895|4978|6091|22871|80059,DLG2|GRID2|OPCML|ROBO1|NLGN1|LRRTM4,-2.7,0
1,-5.2,M39052,M1,1,0,Cell Type Signatures,7,MANNO MIDBRAIN NEUROTYPES HOPC,,-5.2,30,11,30286,366,11,4,36,15,2895|4978|22871|80059,GRID2|OPCML|NLGN1|LRRTM4,-1.4,0
1,-5,M40251,M1,1,0,Cell Type Signatures,7,DESCARTES FETAL MUSCLE SCHWANN CELLS,,-5,71,14,30286,117,11,3,27,13,2895|4978|80059,GRID2|OPCML|LRRTM4,-1.4,0
1,-4.6,M39069,M1,1,0,Cell Type Signatures,7,MANNO MIDBRAIN NEUROTYPES HDA2,,-4.6,21,8.9,30286,513,11,4,36,15,1496|1740|6091|80059,CTNNA2|DLG2|ROBO1|LRRTM4,-1,0
1,-4.5,M39223,M1,1,0,Cell Type Signatures,7,LAKE ADULT KIDNEY C4 PROXIMAL TUBULE EPITHELIAL CELLS S2,,-4.5,47,12,30286,176,11,3,27,13,1740|10718|22871,DLG2|NRG3|NLGN1,-1,0
1,-4.4,M39068,M1,1,0,Cell Type Signatures,7,MANNO MIDBRAIN NEUROTYPES HDA1,,-4.4,19,8.3,30286,584,11,4,36,15,1496|6091|23236|80059,CTNNA2|ROBO1|PLCB1|LRRTM4,-0.97,0
1,-4.2,M39222,M1,1,0,Cell Type Signatures,7,LAKE ADULT KIDNEY C3 PROXIMAL TUBULE EPITHELIAL CELLS S1 S2,,-4.2,37,10,30286,221,11,3,27,13,1740|22871|23245,DLG2|NLGN1|ASTN2,-0.86,0
1,-3.8,M39063,M1,1,0,Cell Type Signatures,7,MANNO MIDBRAIN NEUROTYPES HNBM,,-3.8,28,8.9,30286,295,11,3,27,13,1496|6091|80059,CTNNA2|ROBO1|LRRTM4,-0.55,0
1,-3.7,M39064,M1,1,0,Cell Type Signatures,7,MANNO MIDBRAIN NEUROTYPES HNBML1,,-3.7,25,8.4,30286,328,11,3,27,13,1496|6091|80059,CTNNA2|ROBO1|LRRTM4,-0.44,0
1,-3.2,M39067,M1,1,0,Cell Type Signatures,7,MANNO MIDBRAIN NEUROTYPES HDA,,-3.2,16,6.6,30286,506,11,3,27,13,1496|1740|6091,CTNNA2|DLG2|ROBO1,0,0
